,time_index,Drug category,individuals_pct,individuals_n
1,2020-01-01,Aspirin,9.8,93701
2,2020-01-01,Clopidogrel,4.9,46736
3,2020-01-01,Apixaban,31.4,299195
4,2020-01-01,Rivaroxaban,20.5,195548
5,2020-01-01,Dabigatran,2.8,26751
6,2020-01-01,Edoxaban,5.6,52944
7,2020-01-01,Warfarin,24.8,236156
8,2020-07-01,Aspirin,8.9,86004
9,2020-07-01,Clopidogrel,4.5,43907
10,2020-07-01,Apixaban,33.2,321885
11,2020-07-01,Rivaroxaban,20.6,199919
12,2020-07-01,Dabigatran,2.6,25657
13,2020-07-01,Edoxaban,8,77642
14,2020-07-01,Warfarin,22,213636
15,2021-01-01,Aspirin,8.8,84334
16,2021-01-01,Clopidogrel,4.6,43929
17,2021-01-01,Apixaban,35.3,338604
18,2021-01-01,Rivaroxaban,21,201182
19,2021-01-01,Dabigatran,2.6,24781
20,2021-01-01,Edoxaban,9.3,89340
21,2021-01-01,Warfarin,18.2,174189
22,2021-05-01,Aspirin,8.6,80959
23,2021-05-01,Clopidogrel,4.5,42737
24,2021-05-01,Apixaban,36.2,341160
25,2021-05-01,Rivaroxaban,21,198396
26,2021-05-01,Dabigatran,2.5,23939
27,2021-05-01,Edoxaban,9.8,92709
28,2021-05-01,Warfarin,17.1,161533
