var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
age_z,1.01731913849149,1.00503068480902,1.0297578424063,0.00561833353641248,dem*,Age (SD)
female,1.21803491415551,1.1970430008885,1.23939495156031,1.50270105839963e-109,dem*,Female
ethnicity_catBlack or Black British,0.690162044809979,0.6381286542532,0.746438269025439,1.82435076434875e-20,eth**,Black or black british
ethnicity_catAsian or Asian British,0.532706803834468,0.507757626603932,0.558881883763195,4.94237666476759e-146,eth**,Asian or asian british
ethnicity_catMixed,0.773680186755779,0.674789699723802,0.887063082947859,0.00023556797560407,eth**,Mixed
ethnicity_catOther Ethnic Groups,0.773905418141816,0.705654080544122,0.848758071047264,5.29435057272324e-08,eth**,Other
region_catNorth West,1.04535929888679,1.01463599591596,1.07701290725703,0.00356120290642288,reg****,North West
region_catEast of England,1.06069840117496,1.02685374572501,1.09565856183419,0.000368594833862345,reg****,East of England
region_catSouth West,0.99891493722261,0.967712535818662,1.03112341203921,0.946540971691231,reg****,South West
region_catYorkshire and The Humber,1.04873707806263,1.01580787565397,1.08273373859723,0.0034607159886394,reg****,The Humber
region_catWest Midlands,1.12686992129512,1.09101199288959,1.16390638031068,4.50976439306513e-13,reg****,West Midlands
region_catEast Midlands,1.11096839057085,1.07269556904263,1.15060675224859,4.02297143288964e-09,reg****,East Midlands
region_catLondon,1.00311409378211,0.969456818077538,1.03793987146297,0.858282631139719,reg****,London
region_catNorth East,1.10169619325709,1.05511945618097,1.15032899367652,1.11084313648516e-05,reg****,North East
imd_decile_cat2,1.06445002450942,1.02315459765838,1.10741217140717,0.00197585249505035,imd***,IMD dec 2
imd_decile_cat3,1.04838853734799,1.00798985406121,1.09040633773672,0.0184287914851306,imd***,IMD dec 3
imd_decile_cat4,1.07856132758268,1.03741610645477,1.12133841967455,0.000138411030685455,imd***,IMD dec 4
imd_decile_cat5,1.0940716133932,1.05284453991239,1.13691304827625,4.48343568530648e-06,imd***,IMD dec 5
imd_decile_cat6,1.16398786477837,1.11993155277614,1.20977728147117,1.22316712129021e-14,imd***,IMD dec 6
imd_decile_cat7,1.14636755799177,1.10350480807181,1.19089519900896,2.13018295634766e-12,imd***,IMD dec 7
imd_decile_cat8,1.18336272047128,1.13894838242076,1.22950903641905,6.36212257719481e-18,imd***,IMD dec 8
imd_decile_cat9,1.20919902725421,1.16345705605024,1.25673936988817,4.69184157779525e-22,imd***,IMD dec 9
imd_decile_cat10,1.20493165018289,1.15875798423271,1.25294522356524,8.68227517618894e-21,imd***,IMD dec 10
congestive_heart_failure_chads,1.74379389468743,1.70804706392377,1.78028885232454,0,comorbidity,Congestive heart failure
hypertension_chads,1.02723120436867,1.00850587658037,1.04630421272972,0.00420555512222323,comorbidity,Hypertension
vascular_disease_chads,0.3068999095221,0.301311587076495,0.312591876663412,0,comorbidity,Vascular disease
diabetes_chads,0.964824553707038,0.947274958649831,0.982699279586989,0.000131662574982118,comorbidity,Diabetes
renal_disease_hasbled,1.00537041271977,0.986792517769181,1.02429806526842,0.573550020872384,comorbidity,Renal disease
liver_disease_hasbled,0.723236390549377,0.669052023091785,0.781808975328565,3.49146668729241e-16,comorbidity,Liver disease
alcohol_hasbled,0.964671346376427,0.921865014939535,1.00946536796468,0.120386190462438,comorbidity,Hazardous alcohol use
stroke_hasbled,0.889975853913432,0.872660660995419,0.907634612113104,2.98131377454703e-31,comorbidity,Stroke
bleeding_hasbled,0.862294782863777,0.847624837561021,0.877218622679353,3.03980698011598e-64,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.851891621403246,0.829380055945494,0.875014210209976,8.80729725601395e-32,comorbidity,Uncontrolled hypertension
yrs_since_af_diagnosis_cat2-5yrs,1.76367005314475,1.71842419179045,1.81010723150882,0,dem*,2-5 years since AF
yrs_since_af_diagnosis_cat>=5yrs,1.0522953300965,1.03025875521284,1.07480325320229,2.35100346023224e-06,dem*,>=5 years since AF
fall,0.812251465200246,0.792937657961754,0.832035704314813,2.45192276239077e-64,comorbidity,Fall
