var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
age_z,1.12008983961632,1.1104896161222,1.12977305739494,4.95201118320227e-147,dem*,Age (SD)
female,0.803015528928776,0.792808939357305,0.813353517713233,1.05872164849089e-247,dem*,Female
ethnicity_catBlack or Black British,0.604876391842656,0.572399250935881,0.639196240753946,2.67372902085357e-71,eth**,Black or black british
ethnicity_catAsian or Asian British,0.797133743995113,0.764398934953747,0.831270396594829,3.05520490894765e-26,eth**,Asian or asian british
ethnicity_catMixed,0.647360071577894,0.589252404200715,0.711197882750748,1.27679947756857e-19,eth**,Mixed
ethnicity_catOther Ethnic Groups,0.747971865070561,0.701229782848507,0.797829648171118,1.14436106336016e-18,eth**,Other
region_catNorth West,1.18549538164528,1.15899380841658,1.21260294032316,3.01002580402602e-49,reg****,North West
region_catEast of England,1.19096894921027,1.162492947693,1.22014248843219,1.75951936608369e-45,reg****,East of England
region_catSouth West,1.03491729675586,1.01099939812651,1.05940103733913,0.00401561165347403,reg****,South West
region_catYorkshire and The Humber,1.14579306990719,1.11830630174594,1.17395543331705,4.49074162556787e-28,reg****,The Humber
region_catWest Midlands,1.05540426164859,1.03091646504516,1.08047372728421,6.730004972333e-06,reg****,West Midlands
region_catEast Midlands,1.1663743162181,1.13597477463343,1.19758737245925,3.25301194601108e-30,reg****,East Midlands
region_catLondon,0.938165522867005,0.915700855709004,0.961181310259712,2.44721068253093e-07,reg****,London
region_catNorth East,1.29018506601318,1.24607149941213,1.33586034617495,1.00692091376535e-46,reg****,North East
imd_decile_cat2,1.06738401207816,1.03441793715147,1.10140068952927,4.62021021114308e-05,imd***,IMD dec 2
imd_decile_cat3,1.01180347827887,0.981097400863331,1.04347058483323,0.455495478196451,imd***,IMD dec 3
imd_decile_cat4,1.06259279353608,1.03067250693667,1.09550166253167,9.56534243635045e-05,imd***,IMD dec 4
imd_decile_cat5,1.07562352762008,1.04376492018188,1.10845454833666,2.01160013260845e-06,imd***,IMD dec 5
imd_decile_cat6,1.07596803433367,1.04435342429183,1.1085396801307,1.49358072679272e-06,imd***,IMD dec 6
imd_decile_cat7,1.07328529009,1.04204868118372,1.10545825231027,2.68946668093734e-06,imd***,IMD dec 7
imd_decile_cat8,1.09450882716286,1.06262444606771,1.12734990915228,2.13903106849036e-09,imd***,IMD dec 8
imd_decile_cat9,1.1090023005731,1.07657302913355,1.14240842877726,8.33474198758445e-12,imd***,IMD dec 9
imd_decile_cat10,1.15561339881576,1.12125855627682,1.19102085780902,5.83906572674461e-21,imd***,IMD dec 10
congestive_heart_failure_chads,1.77529050941915,1.74568061882491,1.80540263714174,0,comorbidity,Congestive heart failure
hypertension_chads,1.27287009596977,1.25601095290104,1.28995553539712,1.62809130688859e-275,comorbidity,Hypertension
vascular_disease_chads,2.13884074186616,2.09278201512432,2.18591314623604,0,comorbidity,Vascular disease
diabetes_chads,1.25463537514552,1.23572231386486,1.27383790589921,2.4210267553295e-188,comorbidity,Diabetes
renal_disease_hasbled,1.13967909474889,1.12304783966025,1.15655664268103,4.7133830999222e-68,comorbidity,Renal disease
liver_disease_hasbled,0.490898552364467,0.46485131998443,0.518405301552335,2.63131770124724e-144,comorbidity,Liver disease
alcohol_hasbled,0.941763181875239,0.907253597341461,0.977585421909291,0.0016318994556964,comorbidity,Hazardous alcohol use
stroke_hasbled,2.06726570754943,2.02876868855582,2.10649322898018,0,comorbidity,Stroke
bleeding_hasbled,0.831918475933692,0.821079891527817,0.842900134007715,1.62024900885796e-166,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.981407003428041,0.956601867167912,1.00685534853607,0.150746019155328,comorbidity,Uncontrolled hypertension
yrs_since_af_diagnosis_cat2-5yrs,1.22665728447531,1.20421267027851,1.24952023068179,3.00428697545925e-104,dem*,2-5 years since AF
yrs_since_af_diagnosis_cat>=5yrs,0.892393209938517,0.878679663769997,0.906320783307473,4.56588883618622e-47,dem*,>=5 years since AF
fall,0.733552329316875,0.719783729904684,0.747584305521145,2.12506163017835e-225,comorbidity,Fall
