var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
age_z,0.999255531612213,0.990243081648557,1.00835000613716,0.872006363498417,dem*,Age (SD)
female,1.16263026129197,1.14822413561685,1.17721713256417,4.92467339069445e-124,dem*,Female
ethnicity_catBlack or Black British,0.931401326547034,0.871194165831196,0.995769330325916,0.0371318689909709,eth**,Black or black british
ethnicity_catAsian or Asian British,0.96309870082769,0.919153352202396,1.0091451065412,0.114584217343973,eth**,Asian or asian british
ethnicity_catMixed,0.925935332381721,0.827659318334387,1.03588061024701,0.178889532970059,eth**,Mixed
ethnicity_catOther Ethnic Groups,0.940655815284601,0.873225657328963,1.01329290476334,0.106959775727609,eth**,Other
region_catNorth West,0.647144590066404,0.633501328835623,0.661081676374637,0,reg****,North West
region_catEast of England,0.792694600250885,0.774319618917941,0.811505628831938,5.82265996437544e-84,reg****,East of England
region_catSouth West,1.31831196252738,1.2860021896577,1.35143349250858,1.25239347673286e-105,reg****,South West
region_catYorkshire and The Humber,0.811818263940717,0.793049400028197,0.831031324964481,2.47943411031392e-68,reg****,The Humber
region_catWest Midlands,1.05031429281146,1.02566392598316,1.07555709598209,5.09525100601538e-05,reg****,West Midlands
region_catEast Midlands,0.758514169012035,0.73991154340819,0.777584496035651,1.61782388744219e-105,reg****,East Midlands
region_catLondon,0.913399043429374,0.890273263365465,0.937125539841365,4.41921199070833e-12,reg****,London
region_catNorth East,0.646552709112105,0.627184370327096,0.666519169542103,8.90541061908052e-174,reg****,North East
imd_decile_cat2,0.98290674232501,0.954004541938206,1.01268455404329,0.257545063844605,imd***,IMD dec 2
imd_decile_cat3,1.01121351180276,0.981543398993551,1.04178049335462,0.463007419452753,imd***,IMD dec 3
imd_decile_cat4,1.00071950177186,0.971910042362825,1.03038293419821,0.961510272726439,imd***,IMD dec 4
imd_decile_cat5,1.04582880439969,1.01614552733799,1.07637917865704,0.00228672555367415,imd***,IMD dec 5
imd_decile_cat6,1.06357265569805,1.03358423265103,1.09443116314499,2.40419845932465e-05,imd***,IMD dec 6
imd_decile_cat7,1.07803166483095,1.04797624130274,1.10894906256035,1.90724587775417e-07,imd***,IMD dec 7
imd_decile_cat8,1.11855952429808,1.08735449351187,1.1506600808325,8.40824038958655e-15,imd***,IMD dec 8
imd_decile_cat9,1.11019394996741,1.07919853416489,1.14207957806206,4.63402340456382e-13,imd***,IMD dec 9
imd_decile_cat10,1.16565254330376,1.13257014426525,1.19970127995208,1.72517832957068e-25,imd***,IMD dec 10
congestive_heart_failure_chads,0.854495934155023,0.843071050961794,0.866075641732068,5.09350751913594e-116,comorbidity,Congestive heart failure
hypertension_chads,1.00241029863747,0.989108873618704,1.01589059972564,0.723923111192765,comorbidity,Hypertension
vascular_disease_chads,1.10848008768105,1.08933868528369,1.12795783477147,4.72464571427484e-31,comorbidity,Vascular disease
diabetes_chads,0.946432155688798,0.933724399580932,0.959312861186622,1.43350248949246e-15,comorbidity,Diabetes
renal_disease_hasbled,0.819054961231441,0.80820443270431,0.830051163259673,3.70603279123761e-189,comorbidity,Renal disease
liver_disease_hasbled,0.924450235083717,0.866338904627522,0.986459493601728,0.0177145345298833,comorbidity,Liver disease
alcohol_hasbled,1.38608373658244,1.33594454550528,1.43810469624821,1.44754555935672e-67,comorbidity,Hazardous alcohol use
stroke_hasbled,1.20467896117337,1.18663342359975,1.22299892336697,3.46737936852243e-129,comorbidity,Stroke
bleeding_hasbled,0.942077058889714,0.930245305902353,0.954059299471977,2.18093509687768e-20,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,1.10112945134188,1.07756421551274,1.12521003496347,2.59154129722605e-18,comorbidity,Uncontrolled hypertension
yrs_since_af_diagnosis_cat2-5yrs,0.49138221237221,0.476379952121685,0.506856927039891,0,dem*,2-5 years since AF
yrs_since_af_diagnosis_cat>=5yrs,0.087113652696428,0.0847388744504505,0.089554983298147,0,dem*,>=5 years since AF
fall,1.39019166038398,1.36322692867798,1.41768975652159,2.54242335296709e-238,comorbidity,Fall
