var,or,ci_or_lower,ci_or_upper,p
age_z,0.959453890020772,0.948583349542128,0.97044900431821,1.08245237316057e-12
female,1.19031872751336,1.17085043922324,1.21011072431163,3.02165793362236e-95
ethnicity_catBlack or Black British,0.677136677678803,0.627984230077325,0.730136296896228,3.6590622217527e-24
ethnicity_catAsian or Asian British,0.497578886435709,0.475180031174572,0.521033570401956,7.36627912657104e-194
ethnicity_catMixed,0.726005397584857,0.638751870688756,0.825177759172744,9.51780413518517e-07
ethnicity_catOther Ethnic Groups,0.777068039963319,0.711497034557604,0.848682017498341,2.05027321162323e-08
region_catNorth West,0.969709216431701,0.942314308515774,0.997900547550523,0.0354043791402474
region_catEast of England,1.00292810085696,0.972114718898381,1.03471818287909,0.854294654893366
region_catSouth West,0.955868126389104,0.92701526486923,0.985619018016392,0.00389852479094684
region_catYorkshire and The Humber,0.960786716499812,0.931904867231425,0.990563679901082,0.0102051857173459
region_catWest Midlands,1.0236095844912,0.992495713144631,1.05569884845392,0.138425758570775
region_catEast Midlands,1.06409682792081,1.02870201868846,1.1007094752616,0.000318844496888687
region_catLondon,0.902987262190556,0.874107808735584,0.932820857484239,7.5934630749628e-10
region_catNorth East,1.0343445693605,0.992483828091958,1.07797090278274,0.109148505332772
imd_decile_cat2,1.05215800969945,1.01357450155029,1.09221026740655,0.00764608090634455
imd_decile_cat3,1.05819167608805,1.01943040965801,1.09842674177013,0.00297133087436071
imd_decile_cat4,1.07724919517686,1.03828721114717,1.11767323727991,7.52682364737184e-05
imd_decile_cat5,1.11121867203666,1.07137262094749,1.15254666111487,1.51174794670044e-08
imd_decile_cat6,1.16949979131127,1.1274623390753,1.21310461065942,5.14844209787245e-17
imd_decile_cat7,1.18924985116684,1.14679627186186,1.23327503167076,9.16357657359834e-21
imd_decile_cat8,1.21838865806342,1.17477557875608,1.26362085571222,2.38516544107434e-26
imd_decile_cat9,1.22976018166883,1.18551590234954,1.27565568831338,1.89804911237843e-28
imd_decile_cat10,1.29176517897781,1.24413315761732,1.34122080695547,1.10198558329269e-40
congestive_heart_failure_chads,1.6365101992375,1.60478798834059,1.66885947032647,0
hypertension_chads,1.01168343145092,0.994043354305331,1.02963654556854,0.195573243716937
stroke_chads,0.9604305104522,0.942569532843301,0.97862994003735,2.49356223545132e-05
vascular_disease_chads,0.33362727302017,0.327694430181635,0.339667528804746,0
diabetes_chads,0.95096379256585,0.934278184065672,0.967947395320598,2.59167668833015e-08
renal_disease_hasbled,0.986001624980174,0.968784205365204,1.00352503589491,0.116774030328073
liver_disease_hasbled,0.694774309783202,0.643084232327446,0.750619152622821,2.65039619859401e-20
uncontrolled_hypertension_hasbled,0.875003705616708,0.848617987840047,0.902209823281853,1.26047286465767e-17
yrs_since_af_diagnosis_cat2-5yrs,1.70937607088903,1.66728360165828,1.75253121233954,0
yrs_since_af_diagnosis_cat>=5yrs,0.907989448187467,0.890232674121144,0.926100402721895,9.81622276649595e-22
fall,0.775981095018248,0.758317867997498,0.794055745271858,2.27397101237431e-103
