var,or,ci_or_lower,ci_or_upper,p
age_z,1.12124864782975,1.11168652325558,1.1308930206137,3.50612284795223e-151
female,0.803485795939749,0.79333510411886,0.813766365467938,2.12603102109764e-249
ethnicity_catBlack or Black British,0.603797571158483,0.571424386129948,0.638004810060689,5.3519774325462e-72
ethnicity_catAsian or Asian British,0.807624876613991,0.774548656265974,0.842113579371808,1.32176064602476e-23
ethnicity_catMixed,0.64670463516125,0.588958695873079,0.710112420564673,6.6375060778668e-20
ethnicity_catOther Ethnic Groups,0.748985843687301,0.702400956177878,0.79866035077252,1.12623430241351e-18
region_catNorth West,1.18462738105372,1.15820087354009,1.21165685849711,4.84869863782493e-49
region_catEast of England,1.18592518695231,1.1576502366643,1.21489073686054,1.26769256771939e-43
region_catSouth West,1.03298263778082,1.00915950985412,1.0573681559131,0.00641319367171155
region_catYorkshire and The Humber,1.14385058648812,1.11647030370277,1.17190234247157,1.55879976045916e-27
region_catWest Midlands,1.056212114274,1.0317443679099,1.08126011155176,4.80193112240292e-06
region_catEast Midlands,1.16428021503919,1.13400069740953,1.19536824115564,1.12909117111268e-29
region_catLondon,0.932451116010103,0.910174044931392,0.95527343214234,1.4378644425281e-08
region_catNorth East,1.28676290540406,1.24287416963593,1.33220145303116,5.18811876045425e-46
imd_decile_cat2,1.06658758085426,1.03373900568288,1.10047996774684,5.36819031065561e-05
imd_decile_cat3,1.01337341395116,0.982692470423889,1.04501225664225,0.397037536914466
imd_decile_cat4,1.06143874116485,1.02963434544344,1.0942255434966,0.000122300868850231
imd_decile_cat5,1.07473514774783,1.04299368051767,1.10744260428429,2.45247568154385e-06
imd_decile_cat6,1.07532519199308,1.04381109791571,1.10779073995659,1.70677128764596e-06
imd_decile_cat7,1.07146194191608,1.04036613065077,1.10348718508979,4.35875655875024e-06
imd_decile_cat8,1.09140865064836,1.05970463055807,1.12406118493866,6.04350210660165e-09
imd_decile_cat9,1.10686874478635,1.07459077302737,1.14011626466264,1.76507142544768e-11
imd_decile_cat10,1.15271754539931,1.11854422655524,1.18793491390461,2.12063168903844e-20
congestive_heart_failure_chads,1.77866705086658,1.74908141279133,1.80875312875778,0
hypertension_chads,1.27118021763346,1.25439643589195,1.28818856580508,3.1099110117089e-274
stroke_chads,1.98476672702086,1.9481311105957,2.02209129522322,0
vascular_disease_chads,1.89002000929947,1.84965637818611,1.93126446494644,0
diabetes_chads,1.26443920418038,1.24543209086734,1.28373639381243,1.760178937079e-202
renal_disease_hasbled,1.13789005671987,1.12132705636904,1.15469770735276,8.37519467531282e-67
liver_disease_hasbled,0.474506545172246,0.449466431264634,0.500941662712816,5.5921059659216e-160
uncontrolled_hypertension_hasbled,0.983876360714128,0.959065244774357,1.00932934276002,0.212261154480265
yrs_since_af_diagnosis_cat2-5yrs,1.22808199259926,1.20568805188097,1.25089186891558,3.93481105352867e-106
yrs_since_af_diagnosis_cat>=5yrs,0.888354129125021,0.874772093302655,0.902147044670793,2.96928876590061e-51
fall,0.726366949638827,0.712790860042603,0.740201614672892,7.47743283582656e-242
