var,or,ci_or_lower,ci_or_upper,p
age_z,0.99333111358986,0.98427483027256,1.00247072349949,0.152174689114722
female,1.14481585710631,1.13051580388967,1.15929679370493,1.02356448120178e-98
ethnicity_catBlack or Black British,0.906212966819121,0.847017255589517,0.969545703835217,0.00427279312039524
ethnicity_catAsian or Asian British,0.942635808715798,0.899203404443238,0.988166040611756,0.0141040431891155
ethnicity_catMixed,0.933107976965107,0.832404387332569,1.04599460301505,0.234749938383409
ethnicity_catOther Ethnic Groups,0.910978406773506,0.844984979363111,0.982125928715443,0.015097418597398
region_catNorth West,0.650139953111146,0.636304053874427,0.664276702399853,0
region_catEast of England,0.789270441441282,0.770774589272318,0.808210128360661,3.41688521793613e-85
region_catSouth West,1.31184916352161,1.27932534661366,1.3451998214431,1.1452046343224e-99
region_catYorkshire and The Humber,0.815182060722154,0.796112911766018,0.834707969563148,3.19864455059015e-64
region_catWest Midlands,1.05011538221455,1.02517358130724,1.07566400078069,6.68856036945595e-05
region_catEast Midlands,0.758867977881109,0.740048655535632,0.778165872670294,7.17353757644567e-103
region_catLondon,0.921869366092308,0.898242057849387,0.946118165713781,8.19653806955176e-10
region_catNorth East,0.649477971277549,0.629831062623615,0.669737744305064,6.15603977439032e-167
imd_decile_cat2,0.978074934691686,0.948977207614122,1.00806486203948,0.150240065319113
imd_decile_cat3,1.00848102332618,0.978540121097768,1.03933804294919,0.582863517043612
imd_decile_cat4,0.987266180563468,0.9585182969057,1.01687627083479,0.395330518378369
imd_decile_cat5,1.03174742143367,1.00214041409202,1.06222913143315,0.0353876377415942
imd_decile_cat6,1.05174230552545,1.02175739280473,1.08260716782832,0.000629700967390876
imd_decile_cat7,1.06333993641457,1.03337066469089,1.09417836117147,2.54910503254268e-05
imd_decile_cat8,1.10871483363388,1.07743659982738,1.14090108180541,1.56886035430197e-12
imd_decile_cat9,1.09512943389079,1.06422410143534,1.12693226488334,4.91685742610976e-10
imd_decile_cat10,1.15145742597269,1.11842546085731,1.18546496859196,2.1707767023879e-21
congestive_heart_failure_chads,0.856035362269591,0.844509617087745,0.867718409155655,7.25916368072909e-112
hypertension_chads,1.00614174918519,0.992645930942645,1.01982105391004,0.374180202550188
stroke_chads,1.1937020271507,1.17563238078142,1.21204940670021,1.39441380296364e-114
vascular_disease_chads,1.07001657286674,1.05105988060614,1.08931516399352,1.16831871458091e-13
diabetes_chads,0.948380224200529,0.93555510857656,0.961381153722857,2.35857030266184e-14
renal_disease_hasbled,0.81975792090828,0.808812846684594,0.830851106836982,1.1758590056457e-184
liver_disease_hasbled,0.920069720832129,0.862506983999652,0.981474129364793,0.0114957645998541
uncontrolled_hypertension_hasbled,1.10150278158386,1.07836282568335,1.12513928423684,4.47624419575386e-19
yrs_since_af_diagnosis_cat2-5yrs,0.538339364201108,0.521044427684573,0.556208368519193,2.09301836265486e-302
yrs_since_af_diagnosis_cat>=5yrs,0.0900117328064966,0.0874356984560276,0.0926636623930301,0
fall,1.38305501303339,1.35607113122294,1.41057583561397,2.62596691954182e-228
