var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
ac_only,1.17497095099928,1.11338524026656,1.23996320928562,4.35767058874499e-09,meds,AC vs AP
age_z,1.49687658404279,1.46070555464105,1.5339433061896,3.52391663088219e-229,dem*,Age (SD)
female,0.650173825561029,0.627788337322314,0.673357528825245,3.75083099455097e-128,dem*,Female
ethnicity_catBlack or Black British,1.42576152186982,1.21748148503834,1.66967296195106,1.07133047624236e-05,eth**,Black or black british
ethnicity_catAsian or Asian British,1.00923916921326,0.914263434838847,1.11408119570461,0.855283851556013,eth**,Asian or asian british
ethnicity_catMixed,1.21118453241307,0.910458437086397,1.6112410098051,0.188253203114874,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.15331578545256,0.955399288981099,1.39223183051831,0.137551023049621,eth**,Other
region_catNorth West,0.996151247265523,0.937730778952146,1.05821130083574,0.900478431727142,reg****,North West
region_catEast of England,1.00986970189453,0.942102476128215,1.08251155330342,0.781688364606489,reg****,East of England
region_catSouth West,0.806225424698221,0.741960099635492,0.876057129957739,3.73263960773735e-07,reg****,South West
region_catYorkshire and The Humber,0.86043395102067,0.805544066937995,0.919064039392927,7.84362564053176e-06,reg****,The Humber
region_catWest Midlands,0.4732774712566,0.445594074168869,0.502680753142499,1.0469796883848e-130,reg****,West Midlands
region_catEast Midlands,0.75668990293413,0.706489527356087,0.810457320358649,1.71513800459579e-15,reg****,East Midlands
region_catLondon,1.25723297573657,1.17385728022444,1.34653060632483,6.212535551152e-11,reg****,London
region_catNorth East,0.789892255902767,0.724966025100684,0.86063312532268,7.06186300737656e-08,reg****,North East
imd_decile_cat2,0.967028895196053,0.899827424636465,1.03924914771508,0.361590603998147,imd***,IMD dec 2
imd_decile_cat3,0.872025956994694,0.81087118369384,0.937792937971299,0.000223165924069363,imd***,IMD dec 3
imd_decile_cat4,0.849354582171237,0.789358206734166,0.91391107370627,1.25111378292873e-05,imd***,IMD dec 4
imd_decile_cat5,0.84485206035266,0.784624252519724,0.909702958568937,7.89562310162888e-06,imd***,IMD dec 5
imd_decile_cat6,0.820003003301611,0.761597236662577,0.882887821875813,1.41039845491699e-07,imd***,IMD dec 6
imd_decile_cat7,0.808814184880358,0.751043480802515,0.871028645325121,2.00062188399182e-08,imd***,IMD dec 7
imd_decile_cat8,0.793419466689297,0.736780037722348,0.854413010520187,9.13917496415583e-10,imd***,IMD dec 8
imd_decile_cat9,0.736787649550553,0.683580217098327,0.794136557717474,1.38103251450382e-15,imd***,IMD dec 9
imd_decile_cat10,0.795364081531035,0.734983557531252,0.860704999054088,1.31757256449294e-08,imd***,IMD dec 10
congestive_heart_failure_chads,1.26762391966691,1.22205054909018,1.31489683704821,6.34825881675256e-37,comorbidity,Congestive heart failure
hypertension_chads,1.01330722219262,0.974424104659861,1.05374191959891,0.507858886252357,comorbidity,Hypertension
vascular_disease_chads,1.16886093403166,1.11921280298349,1.22071144956829,1.84527188345582e-12,comorbidity,Vascular disease
diabetes_chads,1.23801690857252,1.1927880323013,1.28496080142117,2.47791137133718e-29,comorbidity,Diabetes
liver_disease_hasbled,1.18414915209622,0.994950512305651,1.40932558661714,0.057044449457181,comorbidity,Liver disease
renal_disease_hasbled,1.19516092327258,1.15340060899253,1.23843322205755,8.8217672025426e-23,comorbidity,Renal disease
alcohol_hasbled,1.03758671181299,0.937567889684597,1.14827544370473,0.47556756311412,comorbidity,Hazardous alcohol use
stroke_hasbled,0.913850901496878,0.879248544056685,0.949815016256445,4.77708188213245e-06,comorbidity,Stroke
bleeding_hasbled,1.176252119669,1.13678486089394,1.21708961530137,1.13710081640272e-20,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.986193227588402,0.922084501045219,1.05475916907699,0.685181468424122,comorbidity,Uncontrolled hypertension
antihypertensives,1.08585758135679,1.04743201611282,1.12569280760175,7.43114453147537e-06,meds,Antihypertensives
lipid_regulating_drugs,1.10421048812966,1.06477819972969,1.14510308569905,9.14328022207332e-08,meds,Lipid regulating drugs
proton_pump_inhibitors,1.04209801188402,1.00707950739491,1.07833419148979,0.0180557499724269,meds,Proton pump inhibitors
nsaids,0.911431179718388,0.798077487901004,1.04088488643837,0.171121594746722,meds,NSAIDs
corticosteroids,1.62202907863586,1.53531418533487,1.71364164877201,1.04169495527019e-66,meds,Corticosteroids
other_immunosuppressants,1.41251289208038,1.23249808834661,1.61882009323829,6.857485989545e-07,meds,Other immunosuppressants
bmi_z,1.12004968143358,1.10077674232093,1.13966006061718,1.59428558302388e-37,dem*,BMI (SD)
smoking_status,1.21100595346107,1.16759182345675,1.25603433482119,8.83362188572324e-25,dem*,Smoking status
vaccine_status,0.567980529370248,0.539507570285533,0.597956172464774,4.54079703668724e-103,meds,Vaccine status
