var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,0.834319221741795,0.779676820272001,0.89279114842095,1.59468261695078e-07,meds,Any AT vs no AT
age_z,2.04069539382137,1.96575163807098,2.11849636022706,1.48050819903285e-305,dem*,Age (SD)
female,0.653614221451839,0.62236540108195,0.686432037740865,6.61121133085918e-65,dem*,Female
ethnicity_catBlack or Black British,1.16039582994123,0.931965551814944,1.44481572255835,0.183513539815942,eth**,Black or black british
ethnicity_catAsian or Asian British,1.11406172800494,0.966381117640332,1.28431062150293,0.136578677076712,eth**,Asian or asian british
ethnicity_catMixed,1.86274578138983,1.24483212063586,2.78738135734579,0.00248695003986378,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.60205550290505,1.26837567865688,2.02351864481206,7.65145580789625e-05,eth**,Other
region_catNorth West,0.862331867491082,0.793887507499012,0.936677101814179,0.000447520641670839,reg****,North West
region_catEast of England,1.07425243049555,0.968702026632543,1.19130367512213,0.174667214877102,reg****,East of England
region_catSouth West,0.919713035369727,0.81766804080482,1.03449324813578,0.163074703583135,reg****,South West
region_catYorkshire and The Humber,0.835349415519525,0.762855912499255,0.914731910148881,0.000102684179109994,reg****,The Humber
region_catWest Midlands,0.440772371012565,0.403803022870749,0.481126371137207,4.84831703856264e-75,reg****,West Midlands
region_catEast Midlands,0.691932746293481,0.626830400460982,0.763796594806413,2.78061999567196e-13,reg****,East Midlands
region_catLondon,1.04377381970243,0.946771799326798,1.15071423490948,0.389303341969459,reg****,London
region_catNorth East,0.83448054370933,0.743348165128261,0.936785493657962,0.00216441353598593,reg****,North East
imd_decile_cat2,0.937103540027757,0.850875944309573,1.03206942281712,0.187160404063164,imd***,IMD dec 2
imd_decile_cat3,0.969194749367687,0.879748157636383,1.06773564007865,0.526508551355788,imd***,IMD dec 3
imd_decile_cat4,0.893551101351953,0.808750664200332,0.987243171561107,0.0269441237398395,imd***,IMD dec 4
imd_decile_cat5,0.861402885555946,0.778769380224451,0.952804450311403,0.00373688803288941,imd***,IMD dec 5
imd_decile_cat6,0.790880301863966,0.714175028355706,0.8758240305833,6.56691743293761e-06,imd***,IMD dec 6
imd_decile_cat7,0.77862888295572,0.703554013816023,0.861714844158941,1.31808103776353e-06,imd***,IMD dec 7
imd_decile_cat8,0.820287777930282,0.741557689079662,0.907376524484418,0.000119100320407342,imd***,IMD dec 8
imd_decile_cat9,0.806261302360471,0.72796185082615,0.892982629441728,3.60369556707176e-05,imd***,IMD dec 9
imd_decile_cat10,0.859158844116403,0.771185750073185,0.957167477943392,0.00588288902312519,imd***,IMD dec 10
congestive_heart_failure_chads,1.19973211931648,1.14127292948949,1.26118575226652,9.02008218340259e-13,comorbidity,Congestive heart failure
hypertension_chads,1.01014939296074,0.957756961124413,1.06540786182436,0.710177284370989,comorbidity,Hypertension
vascular_disease_chads,1.1930609519177,1.12809579309317,1.26176734609381,6.44517323126847e-10,comorbidity,Vascular disease
diabetes_chads,1.23115630995289,1.16948870787653,1.29607566907507,2.1635559235366e-15,comorbidity,Diabetes
liver_disease_hasbled,1.09513740204258,0.873932612566271,1.37233227380174,0.429859020556569,comorbidity,Liver disease
renal_disease_hasbled,1.17632668878349,1.12091494699619,1.23447767598468,4.20886572045187e-11,comorbidity,Renal disease
alcohol_hasbled,0.859376144929592,0.744025113997399,0.992610793076845,0.039320361118723,comorbidity,Hazardous alcohol use
stroke_hasbled,1.15664484089369,1.09762853132677,1.21883428663145,5.14836320852812e-08,comorbidity,Stroke
bleeding_hasbled,1.0769310998622,1.02769294185674,1.12852832457429,0.0019093050703271,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.29465758989241,0.257942749280515,0.336598316965223,2.06036437188565e-72,comorbidity,Uncontrolled hypertension
antihypertensives,0.866636417940416,0.824290557335508,0.911157690958353,2.14331861762317e-08,meds,Antihypertensives
lipid_regulating_drugs,0.916435279409349,0.87083027116884,0.96442860239439,0.000806096218845099,meds,Lipid regulating drugs
proton_pump_inhibitors,0.972892002985787,0.927925618455094,1.02003741533676,0.255012464804556,meds,Proton pump inhibitors
nsaids,0.736953395840695,0.600502384652559,0.904409909971235,0.00348129650710586,meds,NSAIDs
corticosteroids,1.30476089560906,1.21598403677769,1.40001919698046,1.37064173634027e-13,meds,Corticosteroids
other_immunosuppressants,1.27764395504675,1.07033210531381,1.52510988670092,0.00667991841124788,meds,Other immunosuppressants
bmi_z,1.03322289257004,1.00702233125121,1.06010513630257,0.0126331657547921,dem*,BMI (SD)
smoking_status,1.24108200194619,1.17834820832512,1.3071556647454,3.31763793111996e-16,dem*,Smoking status
