var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,1.20122534601617,1.1479315770776,1.25699332671474,2.4044288940608e-15,meds,Any AT vs no AT
age_z,1.46194181075541,1.4312483669561,1.49329348237458,1.40313200074024e-269,dem*,Age (SD)
female,0.660483274944858,0.640132254166888,0.6814812933456,9.32703995079321e-149,dem*,Female
ethnicity_catBlack or Black British,1.39787233474761,1.21824868284044,1.60398044486017,1.81315517265109e-06,eth**,Black or black british
ethnicity_catAsian or Asian British,0.972503632632184,0.892870220036162,1.05923939925389,0.522402227654441,eth**,Asian or asian british
ethnicity_catMixed,1.06842760890056,0.8340460582377,1.3686744804873,0.600404588757027,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.1731114809436,0.99552635803591,1.38237479662197,0.056594917127178,eth**,Other
region_catNorth West,1.01680583881569,0.963524749244593,1.07303327149641,0.543920170088451,reg****,North West
region_catEast of England,1.00815287086788,0.947740322238544,1.07241634358079,0.796762220602223,reg****,East of England
region_catSouth West,0.800167463905073,0.743325215995303,0.861356451408642,3.03512979330032e-09,reg****,South West
region_catYorkshire and The Humber,0.848481193768946,0.799959015532878,0.899946525010427,4.53398411148799e-08,reg****,The Humber
region_catWest Midlands,0.474350133758086,0.449554403651341,0.500513503079425,3.15406920038656e-163,reg****,West Midlands
region_catEast Midlands,0.773333243102637,0.727062112626344,0.822549125448643,3.19971554186467e-16,reg****,East Midlands
region_catLondon,1.31617581431526,1.23894832170068,1.39821713613568,5.33989237428364e-19,reg****,London
region_catNorth East,0.769445740539287,0.712131182996283,0.831373153950403,3.22440196532419e-11,reg****,North East
imd_decile_cat2,0.954204891434615,0.894723392142127,1.01764073995856,0.153446471651549,imd***,IMD dec 2
imd_decile_cat3,0.857836739302362,0.80404394871839,0.915228418135445,3.46902987944813e-06,imd***,IMD dec 3
imd_decile_cat4,0.840965343786929,0.787697066914802,0.897835905649198,2.12760782897934e-07,imd***,IMD dec 4
imd_decile_cat5,0.827183482941381,0.774381724098409,0.883585566598523,1.72491362092969e-08,imd***,IMD dec 5
imd_decile_cat6,0.796378808846638,0.745437420767075,0.850801408020758,1.47157108358606e-11,imd***,IMD dec 6
imd_decile_cat7,0.785289510406384,0.735070700651097,0.838939185860717,7.58824921025465e-13,imd***,IMD dec 7
imd_decile_cat8,0.769387307141814,0.720047357563671,0.822108187986214,9.00011578500639e-15,imd***,IMD dec 8
imd_decile_cat9,0.713868784569189,0.667564993978992,0.763384308911693,6.80066839559075e-23,imd***,IMD dec 9
imd_decile_cat10,0.782203466380043,0.728834517630396,0.839480359418474,9.57352096841386e-12,imd***,IMD dec 10
congestive_heart_failure_chads,1.25997400681719,1.2190885655473,1.30223065224326,6.6835944040479e-43,comorbidity,Congestive heart failure
hypertension_chads,1.02072858054039,0.985859275804123,1.05683119356176,0.247312942730053,comorbidity,Hypertension
vascular_disease_chads,1.13130358054977,1.08941356861574,1.17480434266205,1.46893546166168e-10,comorbidity,Vascular disease
diabetes_chads,1.24364427315635,1.20287047091334,1.28580018842779,1.26478650172006e-37,comorbidity,Diabetes
liver_disease_hasbled,1.2458243521488,1.07404110422525,1.44508279087379,0.00368975886092286,comorbidity,Liver disease
renal_disease_hasbled,1.20170591592842,1.16404106670432,1.24058948578674,1.18500698021801e-29,comorbidity,Renal disease
alcohol_hasbled,1.03757245473886,0.947876587445381,1.13575608163744,0.423972847837294,comorbidity,Hazardous alcohol use
stroke_hasbled,0.916584602698195,0.885110746391125,0.94917764509003,1.03055053723622e-06,comorbidity,Stroke
bleeding_hasbled,1.1832763611175,1.14782024938253,1.21982771042129,2.17935298811657e-27,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.996345888537829,0.93810335289799,1.05820443615255,0.905181225359243,comorbidity,Uncontrolled hypertension
antihypertensives,1.08708655512444,1.05230808627168,1.12301444201505,4.82097559266711e-07,meds,Antihypertensives
lipid_regulating_drugs,1.11688390108467,1.08063105119991,1.15435295618887,5.17001198456573e-11,meds,Lipid regulating drugs
proton_pump_inhibitors,1.04416905265968,1.0127052854394,1.07661036849349,0.00562757747626702,meds,Proton pump inhibitors
nsaids,0.914544117599999,0.817260874684856,1.02340754212574,0.119531580228323,meds,NSAIDs
corticosteroids,1.62907022852585,1.55124928597257,1.71079518518869,4.97714347480899e-85,meds,Corticosteroids
other_immunosuppressants,1.41028415726584,1.25022625727,1.59083317333135,2.22664352590752e-08,meds,Other immunosuppressants
bmi_z,1.12399228761432,1.10666145617363,1.14159452790977,3.40928262504921e-49,dem*,BMI (SD)
smoking_status,1.21928770385949,1.18012315755519,1.25975199729392,1.14743361539678e-32,dem*,Smoking status
vaccine_status,0.569931013023941,0.544146000927712,0.596937878901451,3.19818246335191e-125,meds,Vaccine status
