var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,1.03465784045931,0.969923366536398,1.10371281253565,0.301340223424441,meds,DOACs vs warfarin
age_z,2.07352377963535,1.97751862824504,2.17418981712899,1.07751877048947e-199,dem*,Age (SD)
female,0.64585656933706,0.608333875533688,0.685693703625974,1.74308710203739e-46,dem*,Female
ethnicity_catBlack or Black British,1.29073123143597,0.978301202159943,1.70293883737029,0.0711025345627698,eth**,Black or black british
ethnicity_catAsian or Asian British,1.02015706456847,0.839415558494393,1.23981551909239,0.841027335867502,eth**,Asian or asian british
ethnicity_catMixed,1.65176812927208,0.991701385790162,2.75116884172258,0.053861338099573,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.92928302474763,1.44725457629325,2.57185781309643,7.45499946953382e-06,eth**,Other
region_catNorth West,0.887191083500122,0.80181306808615,0.981660252209247,0.0204218848064978,reg****,North West
region_catEast of England,1.08385833298471,0.955324386689503,1.22968585576598,0.211180892896585,reg****,East of England
region_catSouth West,0.888369581876961,0.768182292330134,1.02736098174088,0.110488675572795,reg****,South West
region_catYorkshire and The Humber,0.827616247030899,0.740172752895716,0.925390254734241,0.00089713727406287,reg****,The Humber
region_catWest Midlands,0.437260933012594,0.392416063648634,0.487230623948769,9.40594811804052e-51,reg****,West Midlands
region_catEast Midlands,0.688111651220498,0.61042869221249,0.775680518602779,9.59062602224505e-10,reg****,East Midlands
region_catLondon,1.07859607292476,0.955918253288023,1.21701775703846,0.219388485064837,reg****,London
region_catNorth East,0.84017948508573,0.730216553260342,0.966701677751818,0.0149684083774408,reg****,North East
imd_decile_cat2,0.981596367563865,0.871731296616458,1.10530783115672,0.759061930635068,imd***,IMD dec 2
imd_decile_cat3,0.952620611694859,0.845030307275969,1.07390944681174,0.427304753405135,imd***,IMD dec 3
imd_decile_cat4,0.884752013178074,0.782372497247015,1.00052868368596,0.050992819207184,imd***,IMD dec 4
imd_decile_cat5,0.912188745025874,0.805786294255536,1.03264142426329,0.146394295560821,imd***,IMD dec 5
imd_decile_cat6,0.875206053508697,0.772973463567053,0.990959809361969,0.0354433562924736,imd***,IMD dec 6
imd_decile_cat7,0.773597054267189,0.68227683849869,0.877140141071961,6.19334929897281e-05,imd***,IMD dec 7
imd_decile_cat8,0.854085995805764,0.754823404436336,0.966402053704535,0.0123451840686578,imd***,IMD dec 8
imd_decile_cat9,0.80510904912167,0.70992137741845,0.913059673360885,0.000733441611515649,imd***,IMD dec 9
imd_decile_cat10,0.894527454875253,0.784227050295572,1.02034145241995,0.0969053947143298,imd***,IMD dec 10
congestive_heart_failure_chads,1.20715552340293,1.13652558459335,1.28217479433478,9.3422035751816e-10,comorbidity,Congestive heart failure
hypertension_chads,0.990889532993627,0.92798090473657,1.05806279157765,0.784484845971323,comorbidity,Hypertension
vascular_disease_chads,1.24228095273276,1.1572241459049,1.33358949602271,2.03183206256176e-09,comorbidity,Vascular disease
diabetes_chads,1.2272602589968,1.15277715521849,1.306555856433,1.44945872716681e-10,comorbidity,Diabetes
liver_disease_hasbled,1.06624351749801,0.792211089579853,1.43506604939028,0.672159557226781,comorbidity,Liver disease
renal_disease_hasbled,1.15471369267469,1.08817004404169,1.22532661080986,2.03258734405929e-06,comorbidity,Renal disease
alcohol_hasbled,0.881198362107005,0.740313531380017,1.04889417856861,0.154765731926991,comorbidity,Hazardous alcohol use
stroke_hasbled,1.12004841600152,1.05053451627095,1.19416205251457,0.00052433683858822,comorbidity,Stroke
bleeding_hasbled,1.0576554814058,0.998558597974389,1.12024984774746,0.0560310658409584,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.28077580437462,0.237135098284582,0.332447844677999,3.70571663613274e-49,comorbidity,Uncontrolled hypertension
antihypertensives,0.887249775631367,0.834938412810905,0.94283860016415,0.000114142826634255,meds,Antihypertensives
lipid_regulating_drugs,0.914642475021112,0.860213664271803,0.972515192281825,0.00436800603599624,meds,Lipid regulating drugs
proton_pump_inhibitors,0.979280019827669,0.924253940995671,1.03758211320212,0.477948678827578,meds,Proton pump inhibitors
nsaids,0.725238610324907,0.554035361882263,0.949345615989356,0.0193701172715126,meds,NSAIDs
corticosteroids,1.30290855790388,1.1960812516309,1.4192770833457,1.34345787017107e-09,meds,Corticosteroids
other_immunosuppressants,1.31245910089263,1.05947765692275,1.62584730339574,0.0128173244288383,meds,Other immunosuppressants
bmi_z,1.02661846815277,0.994963392647225,1.05928065991272,0.100180271504714,dem*,BMI (SD)
smoking_status,1.2563133849055,1.17886223216954,1.33885307207444,2.08962688977496e-12,dem*,Smoking status
