var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,0.859745318374466,0.825466627373979,0.895447481406092,3.34800672961693e-13,meds,DOACs vs warfarin
age_z,1.5388605000809,1.49855272725042,1.58025246335794,2.54378270848603e-222,dem*,Age (SD)
female,0.65843797237068,0.634195704307199,0.683606906377923,1.11205258947971e-105,dem*,Female
ethnicity_catBlack or Black British,1.49851769523357,1.25980721324303,1.78245945833852,4.90639435182576e-06,eth**,Black or black british
ethnicity_catAsian or Asian British,1.00874364246571,0.902793240548051,1.12712821774924,0.877796159260802,eth**,Asian or asian british
ethnicity_catMixed,1.18304379088707,0.871776386431749,1.60544909559331,0.280560166998857,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.15545465344769,0.9445275159294,1.41348497916467,0.1600140231364,eth**,Other
region_catNorth West,0.98426237508328,0.922616466794389,1.05002724086484,0.630737088597735,reg****,North West
region_catEast of England,1.01651654141161,0.943749107021963,1.09489468257517,0.665546423729626,reg****,East of England
region_catSouth West,0.798442226790249,0.730560124251311,0.8726317908127,6.85899626931857e-07,reg****,South West
region_catYorkshire and The Humber,0.873299321870174,0.813597648631561,0.9373818949227,0.000177000500864072,reg****,The Humber
region_catWest Midlands,0.472190540090189,0.442726045362957,0.503615968579109,2.53815255843041e-115,reg****,West Midlands
region_catEast Midlands,0.748727368285809,0.695793311146722,0.805688504099433,1.03101027731791e-14,reg****,East Midlands
region_catLondon,1.26573420497581,1.17603478782391,1.36227524409391,3.30795827459916e-10,reg****,London
region_catNorth East,0.781746889923933,0.713116219315277,0.85698261146344,1.50436849187275e-07,reg****,North East
imd_decile_cat2,0.960759533883893,0.88892586900975,1.03839804209666,0.312666992776782,imd***,IMD dec 2
imd_decile_cat3,0.863288844101578,0.798172704388533,0.933717257245943,0.000238838234938558,imd***,IMD dec 3
imd_decile_cat4,0.842288962630534,0.778228089525176,0.91162309111983,2.11334743892254e-05,imd***,IMD dec 4
imd_decile_cat5,0.839269234240883,0.775046277536936,0.908813922417311,1.6032905053649e-05,imd***,IMD dec 5
imd_decile_cat6,0.831306236716035,0.767895540282835,0.899953213621266,5.02222072643345e-06,imd***,IMD dec 6
imd_decile_cat7,0.809683324202191,0.747742703835276,0.876754907976386,2.00182031904383e-07,imd***,IMD dec 7
imd_decile_cat8,0.800857582292749,0.73959553792182,0.867194073287642,4.51549072105649e-08,imd***,IMD dec 8
imd_decile_cat9,0.726353415789956,0.670144064439267,0.787277411866939,7.24910109971623e-15,imd***,IMD dec 9
imd_decile_cat10,0.795984050253689,0.731432895491914,0.866232038732898,1.23729367844752e-07,imd***,IMD dec 10
congestive_heart_failure_chads,1.27009413475383,1.22134837583355,1.32078540656767,4.86149774770813e-33,comorbidity,Congestive heart failure
hypertension_chads,1.00765599474092,0.966247164043104,1.05083941409842,0.72166759829899,comorbidity,Hypertension
vascular_disease_chads,1.17015548315468,1.11531626969061,1.22769109710628,1.39461777321706e-10,comorbidity,Vascular disease
diabetes_chads,1.2375238626745,1.18901858839691,1.28800787946774,1.52137548505266e-25,comorbidity,Diabetes
liver_disease_hasbled,1.23482200449662,1.02040779193382,1.49429021891274,0.0301912929893881,comorbidity,Liver disease
renal_disease_hasbled,1.1648177668293,1.12097700614174,1.21037311424535,6.47592215559655e-15,comorbidity,Renal disease
alcohol_hasbled,1.08418643657077,0.972774095412819,1.20835889317673,0.144008773184602,comorbidity,Hazardous alcohol use
stroke_hasbled,0.927187397540261,0.889272361953474,0.966718979401341,0.00038690470680198,comorbidity,Stroke
bleeding_hasbled,1.15980138475195,1.11797017988401,1.20319779210219,2.57627264043141e-15,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.963658523089018,0.895931052169048,1.03650581914074,0.319433939531353,comorbidity,Uncontrolled hypertension
antihypertensives,1.07753892900393,1.03651393195842,1.12018768655153,0.000162726446732829,meds,Antihypertensives
lipid_regulating_drugs,1.07527593615703,1.0342544352337,1.11792446760658,0.000255071203100891,meds,Lipid regulating drugs
proton_pump_inhibitors,1.0522004842534,1.01430391956341,1.09151294568557,0.00655104491260878,meds,Proton pump inhibitors
nsaids,0.906316877306408,0.782897028090544,1.04919325609631,0.187834948714593,meds,NSAIDs
corticosteroids,1.6486091793544,1.55437019524482,1.74856172266191,3.19945900705369e-62,meds,Corticosteroids
other_immunosuppressants,1.43201066941271,1.23570864786466,1.65949680845514,1.81037009576299e-06,meds,Other immunosuppressants
bmi_z,1.12082741760363,1.10032733540028,1.1417094346702,9.20579309913898e-34,dem*,BMI (SD)
smoking_status,1.20047429898956,1.15447650069568,1.24830478720532,4.90310601790105e-20,dem*,Smoking status
vaccine_status,0.563737140556987,0.533465563345987,0.59572648260569,4.31490616253499e-92,meds,Vaccine status
