var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
ac_only,0.903085257793211,0.847151791702124,0.962711748746675,0.00177880112038198,meds,AC vs AP
age_z,1.82178278497069,1.75070534952532,1.89574591550509,8.70266274297132e-192,dem*,Age (SD)
female,0.694826749399473,0.662260502707134,0.728994420937913,5.49962737476182e-50,dem*,Female
ethnicity_catBlack or Black British,1.22162421802269,0.971208333399081,1.53660721262193,0.087200034201533,eth**,Black or black british
ethnicity_catAsian or Asian British,1.25635022687912,1.03651502501619,1.52281043157532,0.0200500205858725,eth**,Asian or asian british
ethnicity_catMixed,1.74162312319022,1.22787059905566,2.47033450069061,0.00186426663520333,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.70530786710045,1.4002051149465,2.07689208570402,1.11538210549051e-07,eth**,Other
region_catNorth West,0.86847016156102,0.804755168687982,0.937229670424467,0.000286174647418718,reg****,North West
region_catEast of England,1.00517802240509,0.915853486170408,1.10321451190961,0.913384651361702,reg****,East of England
region_catSouth West,0.971348082649432,0.870645442484449,1.08369842834568,0.602663085217593,reg****,South West
region_catYorkshire and The Humber,0.875179037636874,0.802573796074922,0.954352548843374,0.00255003761165574,reg****,The Humber
region_catWest Midlands,0.493079015851633,0.45315568105535,0.53651962457361,1.52814151298351e-60,reg****,West Midlands
region_catEast Midlands,0.727747410320404,0.663608129624435,0.798085902786917,1.46645419483149e-11,reg****,East Midlands
region_catLondon,1.00560271772492,0.919173090312425,1.10015930247918,0.903017174788382,reg****,London
region_catNorth East,0.867666320881494,0.780473123103163,0.964600602002429,0.00861517929384989,reg****,North East
imd_decile_cat2,0.985425007388132,0.901300616795685,1.0774012877504,0.747085300308614,imd***,IMD dec 2
imd_decile_cat3,0.959764457004814,0.876949946257284,1.05039953176472,0.372402963714137,imd***,IMD dec 3
imd_decile_cat4,0.912038163866794,0.83069812045253,1.00134283666896,0.0533831342867848,imd***,IMD dec 4
imd_decile_cat5,0.903666540177981,0.822446724871567,0.992907128379366,0.0350220226334994,imd***,IMD dec 5
imd_decile_cat6,0.871727977956262,0.792305169781057,0.959112342737463,0.00485545018716718,imd***,IMD dec 6
imd_decile_cat7,0.825904192540194,0.74992299849372,0.909583699427217,0.000102502311162035,imd***,IMD dec 7
imd_decile_cat8,0.879097461057888,0.798931085151472,0.967307894762794,0.00825986351516347,imd***,IMD dec 8
imd_decile_cat9,0.838004055489109,0.760837572533578,0.922997000105698,0.00033618213917583,imd***,IMD dec 9
imd_decile_cat10,0.886927025146367,0.800507603349426,0.98267592293138,0.0217860938763976,imd***,IMD dec 10
congestive_heart_failure_chads,1.10146879104227,1.0301116732501,1.17776890520254,0.00468224722316907,comorbidity,Congestive heart failure
hypertension_chads,1.01446324832815,0.963000221400976,1.0686764751843,0.588782397203622,comorbidity,Hypertension
vascular_disease_chads,1.29971806530652,1.13526404931061,1.48799484164933,0.000145877117613017,comorbidity,Vascular disease
diabetes_chads,1.1675355447028,1.11372112285849,1.22395025124944,1.24655819553769e-10,comorbidity,Diabetes
liver_disease_hasbled,1.07068821567133,0.853613810850764,1.34296474659298,0.554635387573581,comorbidity,Liver disease
renal_disease_hasbled,1.12844280655692,1.07901911372473,1.18013031601857,1.23513716102129e-07,comorbidity,Renal disease
alcohol_hasbled,0.874600654083979,0.760129256856385,1.00631083098627,0.0611973780016141,comorbidity,Hazardous alcohol use
stroke_hasbled,1.1504996390776,1.09344126134783,1.21053545929489,6.59088643560981e-08,comorbidity,Stroke
bleeding_hasbled,1.06640258149535,1.01811200161603,1.11698365603672,0.00654507702963306,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.340290275291817,0.295282153349575,0.392158720547842,3.69052783314807e-50,comorbidity,Uncontrolled hypertension
antihypertensives,0.867395379189443,0.822111998029523,0.915173048979367,1.99084285536463e-07,meds,Antihypertensives
lipid_regulating_drugs,0.947419404058546,0.90158498612401,0.995583933851344,0.0327694299769882,meds,Lipid regulating drugs
proton_pump_inhibitors,1.03588523462882,0.96220575627677,1.11520660973198,0.348994120349284,meds,Proton pump inhibitors
nsaids,0.832707261739333,0.672325399554229,1.03134789227532,0.0935060669605226,meds,NSAIDs
corticosteroids,1.18220847482459,1.10513242174092,1.26466009905439,1.13830329877981e-06,meds,Corticosteroids
other_immunosuppressants,1.200749145251,1.02208008128792,1.41065121629628,0.026036904973059,meds,Other immunosuppressants
bmi_z,1.00492383952989,0.974859788979078,1.03591504611456,0.751280950235315,dem*,BMI (SD)
smoking_status,1.18606124388711,1.12947029670082,1.24548762225986,7.87171201984736e-12,dem*,Smoking status
prop_score_z,1.08137161241684,0.997238754959249,1.17260240672133,0.0583507402457626,meds,AT propensity score (sd)
