var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
ac_only,0.928325934885753,0.878330640437068,0.981167002158401,0.00846124066089295,meds,AC vs AP
age_z,1.85475260159892,1.79625557661275,1.91515464610279,2.32950355401488e-312,dem,Age (SD)
female,0.678465857705251,0.650913646886524,0.707184312809423,3.99108992791745e-75,dem,Female
ethnicity_catBlack or Black British,1.17097590588751,0.980426042716246,1.3985599243878,0.0815410366545783,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.22302519298517,1.05778678379096,1.41407573397325,0.00655678643773176,eth 1),Asian or asian british
ethnicity_catMixed,1.43866708643018,1.07540969282548,1.92462742281919,0.0143013471810628,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.38640143486627,1.15515755575223,1.66393660243825,0.000449434771327414,eth 1),Other
region_catNorth West,0.952530255697223,0.893808544915619,1.01510988363204,0.134126810987444,reg 3),North West
region_catEast of England,1.13033606112185,1.05348191018373,1.21279691537334,0.000649205225985501,reg 3),East of England
region_catSouth West,0.879752472251633,0.802905340931692,0.963954744073256,0.00601149498501341,reg 3),South West
region_catYorkshire and The Humber,0.831284799668855,0.772549450354864,0.894485677056748,7.71330562157235e-07,reg 3),The Humber
region_catWest Midlands,0.649932957315423,0.606883174764589,0.696036513400832,6.82337363959682e-35,reg 3),West Midlands
region_catEast Midlands,0.86744501481879,0.805308935084007,0.934375394277075,0.000176929597143324,reg 3),East Midlands
region_catLondon,0.999949418193538,0.930235027549539,1.07488839845084,0.998905411799857,reg 3),London
region_catNorth East,0.868608057669416,0.791640181947849,0.953059199182918,0.00292458711386751,reg 3),North East
imd_decile_cat9,0.973480396709603,0.893288358402962,1.0608714127565,0.540025761705863,imd 2),IMD dec 9
imd_decile_cat8,1.01031003395096,0.927723477249008,1.10024850047858,0.813632529440936,imd 2),IMD dec 8
imd_decile_cat7,1.01189473257879,0.928657746998253,1.1025923739186,0.787169194343581,imd 2),IMD dec 7
imd_decile_cat6,1.0607104140968,0.974967453070223,1.15399399131774,0.170536262231434,imd 2),IMD dec 6
imd_decile_cat5,1.06733870061067,0.979664437045557,1.1628593003303,0.136179866326396,imd 2),IMD dec 5
imd_decile_cat4,1.06176212636907,0.973574340650572,1.15793809051957,0.175538630914767,imd 2),IMD dec 4
imd_decile_cat3,1.12152385197909,1.02937562839951,1.22192105180661,0.00874589265653754,imd 2),IMD dec 3
imd_decile_cat2,1.13709384315479,1.0438153116665,1.23870802975311,0.00326189651666887,imd 2),IMD dec 2
imd_decile_cat1,1.16397425996725,1.06540833058601,1.27165898648558,0.000769865325817048,imd 2),IMD dec 1
congestive_heart_failure_chads,1.14386000726438,1.07767652245717,1.21410802680901,9.87106668720701e-06,comorbidity,Congestive heart failure
hypertension_chads,0.997370927675951,0.955512793123774,1.04106274089868,0.904211154531293,comorbidity,Hypertension
vascular_disease_chads,1.16092759930309,1.03039583905289,1.3079952769049,0.0142067839427572,comorbidity,Vascular disease
diabetes_chads,1.16289348706002,1.11741436238146,1.2102236267704,1.22372093332996e-13,comorbidity,Diabetes
renal_disease_hasbled,1.15262703506915,1.10961639608309,1.19730484035928,2.46723720675289e-13,comorbidity,Renal disease
liver_disease_hasbled,1.06458376011759,0.875015652089434,1.29522092501983,0.531632086779585,comorbidity,Liver disease
alcohol_hasbled,0.826457942865945,0.729398704773488,0.936432607922333,0.00278648015785688,comorbidity,Hazardous alcohol use
stroke_hasbled,1.08786187399148,1.04347807442276,1.13413351549234,7.41703276477314e-05,comorbidity,Stroke
bleeding_hasbled,1.04710017349806,1.00639558448896,1.08945109680346,0.0228995510726019,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.672129819197799,0.617521216752046,0.73156756658656,3.9464912943321e-20,comorbidity,Uncontrolled hypertension
fall,1.13188256377124,1.07994185427228,1.18632140526924,2.35597227695418e-07,comorbidity,Fall
antihypertensives,0.900313311152021,0.863391455291491,0.938814084005336,8.87092128778891e-07,meds,Antihypertensives
lipid_regulating_drugs,0.942299748560818,0.901684844126501,0.984744084279197,0.00819658094671769,meds,Lipid regulating drugs
proton_pump_inhibitors,1.04298143586692,0.982282035362867,1.10743171146479,0.168942022290591,meds,Proton pump inhibitors
nsaids,0.787208502036198,0.653476649220224,0.948308139881573,0.011779325223867,meds,NSAIDs
corticosteroids,1.23875981566378,1.16705138232826,1.31487430985429,1.95702081551084e-12,meds,Corticosteroids
other_immunosuppressants,1.24229226579997,1.08442652855474,1.42313935801923,0.00175501213790551,meds,Other immunosuppressants
bmi_z,1.03617481905759,1.01140919223409,1.06154686341879,0.00398815445447612,comorbidity,BMI (SD)
smoking_status,1.18295043449071,1.1352164646498,1.23269153860752,1.2967319342953e-15,comorbidity,Smoking status
vaccine_status,0.660920671891673,0.620231870214104,0.704278763332415,2.29178711480151e-37,meds,Vaccine status
prop_score_z,1.03095602436391,0.963527646681389,1.10310308981067,0.377029830367853,meds,AT propensity score (sd)
