var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
ac_only,1.09992306958023,1.04655714893382,1.15601021905713,0.000174529737630278,meds,AC vs AP
age_z,1.24094685326725,1.20976180049204,1.27293578951455,4.65299892993973e-62,dem,Age (SD)
female,0.756513726829673,0.730633885143888,0.783310260471991,1.25646805801594e-55,dem,Female
ethnicity_catBlack or Black British,1.50032930538676,1.295715782575,1.73725446187657,5.86077494437167e-08,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.1071172069922,0.973058485543569,1.25964526102818,0.122288358665678,eth 1),Asian or asian british
ethnicity_catMixed,1.19087238582225,0.912390939733079,1.55435239167199,0.19867500616066,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.16979939827174,1.00082891240038,1.36729726254098,0.0487955492169221,eth 1),Other
region_catNorth West,0.893022661157467,0.844140422795356,0.944735557977299,8.17110221700698e-05,reg 3),North West
region_catEast of England,1.05226756467552,0.981567533795152,1.12805995465946,0.151089880564509,reg 3),East of England
region_catSouth West,0.830533569499782,0.764332239396834,0.902468814622275,1.17950055491305e-05,reg 3),South West
region_catYorkshire and The Humber,0.760465343543632,0.713586818783114,0.810423516114167,3.31305810927394e-17,reg 3),The Humber
region_catWest Midlands,0.463863745052675,0.435967831664087,0.493544611199849,3.62841299560933e-130,reg 3),West Midlands
region_catEast Midlands,0.678855557051162,0.634637190058971,0.72615484021102,1.81596330289605e-29,reg 3),East Midlands
region_catLondon,1.16880695121502,1.09512894152616,1.24744186497781,2.66126539221545e-06,reg 3),London
region_catNorth East,0.71721716056204,0.662051246928454,0.776979815069006,3.97094760932832e-16,reg 3),North East
imd_decile_cat9,0.942955837619636,0.873387358087801,1.01806569956279,0.133075528287429,imd 2),IMD dec 9
imd_decile_cat8,1.01040511765046,0.937260461880977,1.08925804863823,0.787170245243499,imd 2),IMD dec 8
imd_decile_cat7,1.01216500412757,0.938261282647166,1.09188987601636,0.754601894079536,imd 2),IMD dec 7
imd_decile_cat6,1.01559328540243,0.94187300466398,1.09508364317381,0.687365557446879,imd 2),IMD dec 6
imd_decile_cat5,1.0628713582778,0.985005526831853,1.14689257417756,0.116237586460222,imd 2),IMD dec 5
imd_decile_cat4,1.07224075022927,0.994435202968003,1.15613387681855,0.0695585690691413,imd 2),IMD dec 4
imd_decile_cat3,1.0756831890435,0.997933407523668,1.15949051757079,0.0566605915979157,imd 2),IMD dec 3
imd_decile_cat2,1.14099331885029,1.05868423748897,1.22970164999228,0.000554843731504285,imd 2),IMD dec 2
imd_decile_cat1,1.20472782807686,1.11761214243295,1.29863401142303,1.15330456308534e-06,imd 2),IMD dec 1
congestive_heart_failure_chads,1.1210991489764,1.06983533503286,1.17481939573159,1.69511122938872e-06,comorbidity,Congestive heart failure
hypertension_chads,1.01403046473475,0.976379698700894,1.05313310465007,0.470457084547712,comorbidity,Hypertension
vascular_disease_chads,1.21698457521312,1.11034406295506,1.33386713697104,2.70484138815286e-05,comorbidity,Vascular disease
diabetes_chads,1.13927088443437,1.10118772602159,1.1786710998034,5.62338048084802e-14,comorbidity,Diabetes
renal_disease_hasbled,1.11449142179976,1.07838843201194,1.15180309097705,1.10620427648967e-10,comorbidity,Renal disease
liver_disease_hasbled,1.17050088183407,1.00587991498212,1.36206349681283,0.0417729090178937,comorbidity,Liver disease
alcohol_hasbled,1.01253002533826,0.926645541571328,1.10637455879086,0.783049097030559,comorbidity,Hazardous alcohol use
stroke_hasbled,0.945153332580615,0.910183590290746,0.981466631147333,0.00336241070213272,comorbidity,Stroke
bleeding_hasbled,1.11996330876301,1.0833942316815,1.15776674482436,2.24646764949499e-11,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.910098706623064,0.848691061774368,0.975949545250636,0.00821795017897534,comorbidity,Uncontrolled hypertension
fall,1.00631663312462,0.964182627335158,1.05029186109911,0.772929855096429,comorbidity,Fall
antihypertensives,1.06695223624351,1.02749941745734,1.10791992198117,0.000748602587054736,meds,Antihypertensives
lipid_regulating_drugs,1.11319187885935,1.07360189012263,1.15424178232107,6.48138563806835e-09,meds,Lipid regulating drugs
proton_pump_inhibitors,1.03822473953969,0.987661466144,1.09137659688253,0.140862267027094,meds,Proton pump inhibitors
nsaids,1.05817832681689,0.929990131509257,1.20403575630183,0.390721185573011,meds,NSAIDs
corticosteroids,1.33064322485716,1.26926123348497,1.39499367438866,2.02367678481081e-32,meds,Corticosteroids
other_immunosuppressants,1.21625800177576,1.08600811784648,1.36212934560466,0.000704947482043523,meds,Other immunosuppressants
bmi_z,1.06193301090968,1.04075733578271,1.08353953499794,4.99842988707908e-09,comorbidity,BMI (SD)
smoking_status,1.12358195878667,1.0846545448079,1.16390644759108,9.35986735889586e-11,comorbidity,Smoking status
prop_score_z,1.05659926077191,0.998701400380562,1.11785364217807,0.0555217464178507,meds,AT propensity score (sd)
