var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,0.927613512026713,0.890833264280216,0.96591232298648,0.000272502897015946,meds,Any AT vs no AT
age_z,1.87213164760207,1.82787896517825,1.9174556809955,0,dem,Age (SD)
female,0.672659114031871,0.652746718199415,0.693178948395589,1.75584124643971e-147,dem,Female
ethnicity_catBlack or Black British,1.0718150774003,0.945215488300831,1.21537107078909,0.279508919128551,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.11552098369158,1.02621948412174,1.21259348931696,0.0102313222674697,eth 1),Asian or asian british
ethnicity_catMixed,1.33400821644805,1.07285652689451,1.65872870876973,0.00952461735133617,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.35048804219308,1.1792923597441,1.54653588402985,1.3959686738675e-05,eth 1),Other
region_catNorth West,0.896859304613652,0.854676201092691,0.941124382829106,9.48397494389775e-06,reg 3),North West
region_catEast of England,1.04527016232504,0.990730103928403,1.1028126710945,0.105373589744224,reg 3),East of England
region_catSouth West,0.884545900484248,0.827859964591007,0.94511328428599,0.000282861851127585,reg 3),South West
region_catYorkshire and The Humber,0.866318305326567,0.821436200150856,0.91365270486748,1.24313390745561e-07,reg 3),The Humber
region_catWest Midlands,0.602989757249983,0.572828958500562,0.634738593349305,3.524970143258e-83,reg 3),West Midlands
region_catEast Midlands,0.802583434969986,0.75788228092107,0.849921137231742,5.41946966916849e-14,reg 3),East Midlands
region_catLondon,0.988742561193873,0.937478726313277,1.04280963916991,0.676839749382389,reg 3),London
region_catNorth East,0.877104929181674,0.817893981833256,0.940602417773542,0.000235893511720557,reg 3),North East
imd_decile_cat9,1.00362583945295,0.941421703432808,1.06994009373774,0.911721602341613,imd 2),IMD dec 9
imd_decile_cat8,0.980628666967694,0.919681754574382,1.04561450490433,0.550169618369782,imd 2),IMD dec 8
imd_decile_cat7,0.999326832590956,0.936912364017718,1.06589917764965,0.983672474098341,imd 2),IMD dec 7
imd_decile_cat6,1.02472337322812,0.961414657753806,1.09220093865983,0.452891422750334,imd 2),IMD dec 6
imd_decile_cat5,1.02925469634171,0.965081365927613,1.09769524865215,0.380013378887146,imd 2),IMD dec 5
imd_decile_cat4,1.04862861503389,0.983707447967783,1.11783434652199,0.145338510261132,imd 2),IMD dec 4
imd_decile_cat3,1.10790232218234,1.03965131777955,1.18063386686082,0.0015852009096776,imd 2),IMD dec 3
imd_decile_cat2,1.08729796617883,1.01945792265023,1.1596524397822,0.0108890720180204,imd 2),IMD dec 2
imd_decile_cat1,1.13149378218017,1.0599924193226,1.20781824074795,0.000207837427612295,imd 2),IMD dec 1
congestive_heart_failure_chads,1.20958894449808,1.16634763506379,1.25443338732534,1.24969969583349e-24,comorbidity,Congestive heart failure
hypertension_chads,1.00145369073743,0.970150222752484,1.03376721580931,0.928562877659425,comorbidity,Hypertension
vascular_disease_chads,1.16154668054168,1.11959805135849,1.20506702333067,1.46872710557884e-15,comorbidity,Vascular disease
diabetes_chads,1.16211153568683,1.12744589305524,1.19784304479277,2.39607148399867e-22,comorbidity,Diabetes
renal_disease_hasbled,1.16183037456829,1.1290659665307,1.19554557420343,8.93187249972463e-25,comorbidity,Renal disease
liver_disease_hasbled,0.956656900200763,0.827585451986259,1.1058585219269,0.549023878435954,comorbidity,Liver disease
alcohol_hasbled,0.877561352709968,0.800767935547632,0.96171923672678,0.00518405963300165,comorbidity,Hazardous alcohol use
stroke_hasbled,1.12396304994615,1.08126500129447,1.16834720085443,3.3397751255864e-09,comorbidity,Stroke
bleeding_hasbled,1.04729390130728,1.01495802826405,1.08065997329111,0.00387907675490525,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.65559175067397,0.61558061565921,0.698203505143674,1.9125570038576e-39,comorbidity,Uncontrolled hypertension
fall,1.11406531977115,1.07827119371099,1.15104766217975,9.00401114183756e-11,comorbidity,Fall
antihypertensives,0.95365949012274,0.914818352749037,0.994149735155849,0.0253170022884984,meds,Antihypertensives
lipid_regulating_drugs,0.990217255607578,0.934820545259127,1.04889673026089,0.73785636840382,meds,Lipid regulating drugs
proton_pump_inhibitors,1.01492071023728,0.983077617584746,1.04779523980949,0.36250282829428,meds,Proton pump inhibitors
nsaids,0.761228090158274,0.665451305221967,0.870789794382816,6.9911935248515e-05,meds,NSAIDs
corticosteroids,1.27587449569897,1.22417849611003,1.32975357265938,7.85191945383859e-31,meds,Corticosteroids
other_immunosuppressants,1.31355350826717,1.18856518649093,1.45168547648199,8.98668952291042e-08,meds,Other immunosuppressants
bmi_z,1.03401608297145,1.01669298719703,1.05163434124919,0.000104245656968733,comorbidity,BMI (SD)
smoking_status,1.19139005306877,1.15482593958399,1.22911185997651,3.37592336507441e-28,comorbidity,Smoking status
vaccine_status,0.630079022741102,0.600198104799025,0.661447564935774,1.712664612653e-77,meds,Vaccine status
prop_score_z,0.941157100437701,0.898891838322181,0.985409645455943,0.00968364640285729,meds,AT propensity score (sd)
