var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,1.13040768974326,1.08116240486285,1.1818960216183,6.89767661596728e-08,meds,Any AT vs no AT
age_z,1.2057591918766,1.18010280114115,1.23197337332734,3.44326947450969e-65,dem,Age (SD)
female,0.776078481852053,0.752713974026698,0.800168232259263,2.09680690644229e-59,dem,Female
ethnicity_catBlack or Black British,1.39503621759517,1.24516355472819,1.56294812919342,9.39857533054392e-09,eth 1),Black or black british
ethnicity_catAsian or Asian British,0.990451661630467,0.912631457643029,1.07490760460973,0.818246890647307,eth 1),Asian or asian british
ethnicity_catMixed,1.09749677676904,0.862436925192088,1.39662291796025,0.449340340105991,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.17430596181971,1.02657841738792,1.3432919186769,0.0191618782478282,eth 1),Other
region_catNorth West,0.898930489824256,0.854492022654383,0.945680011178431,3.8032459179523e-05,reg 3),North West
region_catEast of England,1.04950346579568,0.986168427508994,1.11690609229841,0.128159788668315,reg 3),East of England
region_catSouth West,0.809884054029352,0.752210541693791,0.871979511871859,2.21371562220524e-08,reg 3),South West
region_catYorkshire and The Humber,0.739635437186269,0.699527138880581,0.782043396939764,2.9002654080797e-26,reg 3),The Humber
region_catWest Midlands,0.460589195818543,0.435769735930619,0.486822259126661,1.17891038513635e-165,reg 3),West Midlands
region_catEast Midlands,0.680259958842676,0.639621031440539,0.723480918947328,1.50603081427513e-34,reg 3),East Midlands
region_catLondon,1.20638951937251,1.13944517773496,1.27726695490948,1.18256169652867e-10,reg 3),London
region_catNorth East,0.690508068432881,0.641894626719651,0.742803215237307,2.72233893416877e-23,reg 3),North East
imd_decile_cat9,0.929757959135319,0.867959644080021,0.995956284916602,0.0379467566200365,imd 2),IMD dec 9
imd_decile_cat8,1.00375150322479,0.938061882488579,1.07404116832164,0.913653498134179,imd 2),IMD dec 8
imd_decile_cat7,1.01174892515304,0.94544418989216,1.08270366298944,0.735548698149992,imd 2),IMD dec 7
imd_decile_cat6,0.997779455893341,0.932485701094716,1.06764515684696,0.948668981216092,imd 2),IMD dec 6
imd_decile_cat5,1.05788860481802,0.988427165116336,1.13223142756513,0.104367937916215,imd 2),IMD dec 5
imd_decile_cat4,1.06459714119033,0.995333600660068,1.13868061148445,0.0681983105709537,imd 2),IMD dec 4
imd_decile_cat3,1.07927699587368,1.00982891697194,1.15350116662829,0.0245638605918739,imd 2),IMD dec 3
imd_decile_cat2,1.12942031669993,1.05715612633399,1.20662428188167,0.000309144239046499,imd 2),IMD dec 2
imd_decile_cat1,1.2097128346753,1.13169899506729,1.29310456999313,2.1750469843119e-08,imd 2),IMD dec 1
congestive_heart_failure_chads,1.1248130966515,1.08477847954438,1.16632522331209,2.00613291987131e-10,comorbidity,Congestive heart failure
hypertension_chads,1.01309097097899,0.980519438807648,1.04674448548133,0.435357545499646,comorbidity,Hypertension
vascular_disease_chads,1.06849209436234,1.02922574453856,1.10925650837337,0.000524500173611262,comorbidity,Vascular disease
diabetes_chads,1.15011407142883,1.11554306859948,1.18575643964986,2.66360146559961e-19,comorbidity,Diabetes
renal_disease_hasbled,1.10952237349301,1.07717806896171,1.14283787681285,5.77018364692504e-12,comorbidity,Renal disease
liver_disease_hasbled,1.24825484596151,1.09633055604057,1.42123208359133,0.000811274397482237,comorbidity,Liver disease
alcohol_hasbled,1.03726872643682,0.958413819585916,1.12261153674591,0.364382436109784,comorbidity,Hazardous alcohol use
stroke_hasbled,0.910113785243263,0.874345625429964,0.947345166486647,4.14042777273325e-06,comorbidity,Stroke
bleeding_hasbled,1.12292553871675,1.0868649134151,1.16018260405534,3.35979993030749e-12,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.895191849151834,0.841624695480129,0.952168408426652,0.000436739597903498,comorbidity,Uncontrolled hypertension
fall,0.998223988608518,0.963099572215052,1.03462939884994,0.922518282331906,comorbidity,Fall
antihypertensives,1.05055210689246,1.00555287925769,1.09756508291332,0.0272526551773049,meds,Antihypertensives
lipid_regulating_drugs,1.05156391136381,0.989030068723299,1.11805160899727,0.107981349995226,meds,Lipid regulating drugs
proton_pump_inhibitors,0.986491052965727,0.955473972919422,1.01851502517432,0.404035123792365,meds,Proton pump inhibitors
nsaids,1.03014194421965,0.92017160562822,1.15325491326821,0.606150452550235,meds,NSAIDs
corticosteroids,1.33635462195562,1.28312110790172,1.39179666254772,2.06795905041844e-44,meds,Corticosteroids
other_immunosuppressants,1.19833490664783,1.08309270037522,1.32583900527921,0.000452838702041239,meds,Other immunosuppressants
bmi_z,1.06952838515403,1.05250643015457,1.08682563248776,2.17975555370761e-16,comorbidity,BMI (SD)
smoking_status,1.13078451468567,1.09558944949131,1.16711019738881,2.55879949269346e-14,comorbidity,Smoking status
prop_score_z,1.05614769426499,1.00627183409155,1.10849565128519,0.0268786059038539,meds,AT propensity score (sd)
