var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,1.11289743654283,1.0703599929417,1.15712537130587,7.46710934760636e-08,meds,Any AT vs no AT
age_z,1.29767616390266,1.27270480054106,1.32313748297738,2.91718267076339e-152,dem,Age (SD)
female,0.734012435566115,0.714657832063548,0.753891206943061,6.93337918444926e-114,dem,Female
ethnicity_catBlack or Black British,1.36579751062168,1.24166848987419,1.50233565177239,1.43178679009799e-10,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.07868802036488,1.0076029969,1.15478799572704,0.029426305744396,eth 1),Asian or asian british
ethnicity_catMixed,1.24982378244775,1.03869564878159,1.50386640110058,0.0181713382219155,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.23614051703991,1.09996006588291,1.38918077597769,0.000371134406161981,eth 1),Other
region_catNorth West,1.04564360588905,1.00083810063678,1.09245496333623,0.0457756637529357,reg 3),North West
region_catEast of England,1.12519898255478,1.07061650251867,1.18256420236735,3.32752425807966e-06,reg 3),East of England
region_catSouth West,0.920912205588512,0.865534409577134,0.979833130858698,0.00921913774522094,reg 3),South West
region_catYorkshire and The Humber,0.934763623905401,0.89040532051675,0.981331773792249,0.00653457671437586,reg 3),The Humber
region_catWest Midlands,0.681170029064521,0.650174829436004,0.713642834956026,9.88311168717152e-59,reg 3),West Midlands
region_catEast Midlands,0.880518137078973,0.835792069527847,0.927637648156931,1.71807347687454e-06,reg 3),East Midlands
region_catLondon,1.32092252277735,1.26061736193665,1.38411254982236,1.72851261645964e-31,reg 3),London
region_catNorth East,0.898672226166983,0.842587575190205,0.958490006100092,0.00115631892336577,reg 3),North East
imd_decile_cat9,0.926259553804133,0.8731753445961,0.982570987972974,0.0109629723441969,imd 2),IMD dec 9
imd_decile_cat8,0.997758747230524,0.941474911219378,1.0574073783715,0.939626613689008,imd 2),IMD dec 8
imd_decile_cat7,0.969138223709312,0.913951388599096,1.02765738787715,0.294662837433664,imd 2),IMD dec 7
imd_decile_cat6,0.988416947377705,0.932772050523985,1.04738136323301,0.693516989511656,imd 2),IMD dec 6
imd_decile_cat5,1.01389046285481,0.956677015908203,1.07452552279837,0.641583194191229,imd 2),IMD dec 5
imd_decile_cat4,1.0147945337923,0.957943978075221,1.07501896706308,0.617584743622423,imd 2),IMD dec 4
imd_decile_cat3,1.04185486934913,0.983607778699286,1.1035512246781,0.162448508294715,imd 2),IMD dec 3
imd_decile_cat2,1.10707780688333,1.04564158381699,1.17212368890267,0.000479245251599693,imd 2),IMD dec 2
imd_decile_cat1,1.14000216470037,1.07569284817554,1.20815615510111,9.7401632901285e-06,imd 2),IMD dec 1
congestive_heart_failure_chads,1.13177080220543,1.09602362016541,1.16868389070978,4.05501780314558e-14,comorbidity,Congestive heart failure
hypertension_chads,0.990095550845965,0.962285960831947,1.01870882430568,0.493485013297133,comorbidity,Hypertension
vascular_disease_chads,1.05953699155314,1.02556309491051,1.09463634372242,0.000505170986512859,comorbidity,Vascular disease
diabetes_chads,1.16161859039458,1.13116790882686,1.19288899465838,2.10066972275858e-28,comorbidity,Diabetes
renal_disease_hasbled,1.12079711354227,1.0923396630267,1.14999593280718,3.59616462270104e-18,comorbidity,Renal disease
liver_disease_hasbled,1.02004105340774,0.902540167174882,1.15283927350744,0.750652887446119,comorbidity,Liver disease
alcohol_hasbled,0.999731247702647,0.929837035560178,1.07487928465978,0.994200457043803,comorbidity,Hazardous alcohol use
stroke_hasbled,0.940580983598559,0.90840097896328,0.973900961353978,0.000562880583369348,comorbidity,Stroke
bleeding_hasbled,1.10059474123681,1.07040053229894,1.1316406783137,1.44448518008337e-11,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.913083425396927,0.867957790561775,0.960555168466163,0.000437771293847314,comorbidity,Uncontrolled hypertension
fall,1.02770076672766,0.996493619273488,1.05988522706512,0.082438752474196,comorbidity,Fall
antihypertensives,0.984641681989121,0.948355342567266,1.02231642338388,0.419150608743032,meds,Antihypertensives
lipid_regulating_drugs,1.00863792281341,0.956765444752508,1.06332274531561,0.749513894052967,meds,Lipid regulating drugs
proton_pump_inhibitors,1.02069378903154,0.992221397972499,1.04998321251325,0.155905722851362,meds,Proton pump inhibitors
nsaids,0.97590769220344,0.879188454285095,1.0832669822493,0.646971025734274,meds,NSAIDs
corticosteroids,1.40002067966263,1.35135804306157,1.45043566621501,1.46261337145225e-77,meds,Corticosteroids
other_immunosuppressants,1.2635936405278,1.15913357664608,1.3774675503769,1.0708192622343e-07,meds,Other immunosuppressants
bmi_z,1.10075502925255,1.08540931076756,1.11631770835644,5.90619339060549e-41,comorbidity,BMI (SD)
smoking_status,1.19596538400894,1.16304646010484,1.22981604674564,3.22605285014643e-36,comorbidity,Smoking status
vaccine_status,0.662501664901847,0.634931403542395,0.691269093872143,2.26741291651828e-80,meds,Vaccine status
prop_score_z,1.04340171224181,1.00031378398582,1.08834562768013,0.0483198309253217,meds,AT propensity score (sd)
