var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
dabigatran,0.837367738632047,0.750458821993315,0.934341377771149,0.0014999702340751,meds,Dabigatran vs Factor Xa
age_z,1.81622871499387,1.7452788352772,1.89006288192589,2.22440896926213e-189,dem,Age (SD)
female,0.62861756300456,0.597834163406517,0.660986047144132,2.15327835438287e-73,dem,Female
ethnicity_catBlack or Black British,0.997579147268954,0.816972309778364,1.21811246618117,0.981023917759811,eth 1),Black or black british
ethnicity_catAsian or Asian British,0.995333414114233,0.867292251996223,1.1422777073957,0.946918586639353,eth 1),Asian or asian british
ethnicity_catMixed,1.42036281834571,1.02085540157052,1.97621576242363,0.0373008888125812,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.34420103509603,1.10854476874715,1.62995349731823,0.00263153043516441,eth 1),Other
region_catNorth West,0.916049228961675,0.854477798883789,0.982057334874543,0.0135122808379556,reg 3),North West
region_catEast of England,1.00265196505388,0.923164297030913,1.08898379872324,0.949888984768337,reg 3),East of England
region_catSouth West,0.861043591689222,0.784687443855639,0.944829782347674,0.00158974664292839,reg 3),South West
region_catYorkshire and The Humber,0.866701611858358,0.798732195987318,0.940454995769072,0.000596304644143462,reg 3),The Humber
region_catWest Midlands,0.702201543396202,0.646763763965372,0.762391208383172,3.58922514658604e-17,reg 3),West Midlands
region_catEast Midlands,0.762885218728403,0.694996332200361,0.837405652360333,1.25879576203873e-08,reg 3),East Midlands
region_catLondon,0.876132662369782,0.769153911457046,0.997990689037835,0.0465650098428101,reg 3),London
region_catNorth East,0.931334369332255,0.842872522764014,1.0290805359927,0.162409020062495,reg 3),North East
imd_decile_cat9,0.97427157694019,0.8894359884126,1.06719889682853,0.574959936960225,imd 2),IMD dec 9
imd_decile_cat8,0.970085489362989,0.885583901215956,1.06265014007198,0.513658953178876,imd 2),IMD dec 8
imd_decile_cat7,0.978653923709332,0.893353354632712,1.0720992957881,0.642839116734472,imd 2),IMD dec 7
imd_decile_cat6,1.01704240374808,0.927484425071201,1.11524810882109,0.719358712075329,imd 2),IMD dec 6
imd_decile_cat5,1.00932675538452,0.92083055945274,1.10632785660425,0.842820344830247,imd 2),IMD dec 5
imd_decile_cat4,0.965658584551995,0.879301145806706,1.06049731240081,0.464722935594959,imd 2),IMD dec 4
imd_decile_cat3,1.05135209465254,0.958947619338245,1.15266069245062,0.286022835661052,imd 2),IMD dec 3
imd_decile_cat2,0.994529481061141,0.895714219736879,1.10424604958297,0.918170194819916,imd 2),IMD dec 2
imd_decile_cat1,1.01490481283961,0.908855341759357,1.13332862975869,0.79274924774306,imd 2),IMD dec 1
congestive_heart_failure_chads,1.12049268332866,1.07379345317161,1.16922286095593,1.62405299389241e-07,comorbidity,Congestive heart failure
hypertension_chads,0.977728815419631,0.931162560151014,1.02662378988567,0.365666104796767,comorbidity,Hypertension
vascular_disease_chads,1.18977393193277,1.13308287372871,1.24930138997555,3.04003287632394e-12,comorbidity,Vascular disease
diabetes_chads,1.0980438125267,1.04085572576728,1.15837400360109,0.00060962683602178,comorbidity,Diabetes
renal_disease_hasbled,1.09741162696939,1.04723607182769,1.14999121153817,9.90565069223585e-05,comorbidity,Renal disease
liver_disease_hasbled,1.13802182202734,0.924106369590328,1.40145518960611,0.223597922162447,comorbidity,Liver disease
alcohol_hasbled,0.811218898643039,0.708372407150971,0.928997367588562,0.00248843360451322,comorbidity,Hazardous alcohol use
stroke_hasbled,1.21455913488268,1.13112005316956,1.3041532488027,8.6561844970597e-08,comorbidity,Stroke
bleeding_hasbled,1.02198164708751,0.981833415567554,1.06377158326798,0.287617619568393,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.640054473532338,0.584749835609418,0.70058972938711,3.76107749026913e-22,comorbidity,Uncontrolled hypertension
fall,1.0709785482161,1.01953768148542,1.12501486857056,0.00632562556020871,comorbidity,Fall
antihypertensives,0.997976539989845,0.943601025495551,1.05548547263082,0.943510591885967,meds,Antihypertensives
lipid_regulating_drugs,0.931479137936364,0.891195070227285,0.973584138194786,0.00165071762846874,meds,Lipid regulating drugs
proton_pump_inhibitors,1.02136730519921,0.976764253691083,1.06800711449851,0.353398519363302,meds,Proton pump inhibitors
nsaids,0.829913418271041,0.693764266166098,0.992781432276054,0.0414293972035515,meds,NSAIDs
corticosteroids,1.27419270722626,1.19967253899795,1.35334185152283,3.25529777054537e-15,meds,Corticosteroids
other_immunosuppressants,1.33258610362547,1.1534743156774,1.53951041600163,9.6716360304341e-05,meds,Other immunosuppressants
bmi_z,1.04972677819336,1.02409406068518,1.07600107368942,0.000119314183930408,comorbidity,BMI (SD)
smoking_status,1.20019052268319,1.14803326823312,1.25471737674944,8.28999345937485e-16,comorbidity,Smoking status
vaccine_status,0.651630422042741,0.6081666169572,0.698200452132813,5.05774754030261e-34,meds,Vaccine status
prop_score_z,0.872166710172105,0.804463428069492,0.945567870198722,0.000908163960900629,meds,AT propensity score (sd)
