var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
dabigatran,0.806593300260372,0.707238902074392,0.919905211826832,0.00135185345072763,meds,Dabigatran vs Factor Xa
age_z,1.79813421673269,1.7160400328272,1.88415573036369,9.99539833033359e-134,dem,Age (SD)
female,0.644777814500858,0.607953618001243,0.683832479588357,1.91004637213506e-48,dem,Female
ethnicity_catBlack or Black British,0.946882942741187,0.745822213231872,1.20214615674831,0.654025843385563,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.08888598038973,0.930554928248472,1.27415657291829,0.288149960703307,eth 1),Asian or asian british
ethnicity_catMixed,1.60984271688568,1.12057471463939,2.31273608020314,0.00999993464751848,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.33284771740507,1.06245617654437,1.67205300040694,0.0130037772251248,eth 1),Other
region_catNorth West,0.967389409454375,0.89162429544137,1.04959260790581,0.425588978827679,reg 3),North West
region_catEast of England,1.10252012251803,1.00173863826704,1.21344088579833,0.0459904479957862,reg 3),East of England
region_catSouth West,0.847284733392788,0.75832879021537,0.946675675120553,0.00340861281145917,reg 3),South West
region_catYorkshire and The Humber,0.826164998503871,0.749291645772305,0.910925149911941,0.000127003821947139,reg 3),The Humber
region_catWest Midlands,0.732550259469481,0.665047793716989,0.806904237136928,2.79416083637956e-10,reg 3),West Midlands
region_catEast Midlands,0.835635612180442,0.749624444152553,0.931515616641334,0.00119504638039192,reg 3),East Midlands
region_catLondon,0.907421659663675,0.778954313820153,1.05707620308126,0.212286841494424,reg 3),London
region_catNorth East,0.908304965576006,0.806189986681197,1.02335420201179,0.11397688707589,reg 3),North East
imd_decile_cat9,0.952131709534224,0.854943064282097,1.06036861420919,0.371896997867152,imd 2),IMD dec 9
imd_decile_cat8,0.972082825015709,0.873202489498766,1.08216024353405,0.604931504443655,imd 2),IMD dec 8
imd_decile_cat7,0.977516034473855,0.87796899592238,1.08835004663191,0.678153435283243,imd 2),IMD dec 7
imd_decile_cat6,1.02222547341007,0.917192870032507,1.13928591535105,0.691085064828388,imd 2),IMD dec 6
imd_decile_cat5,1.01744436082558,0.913372020403257,1.13337501505545,0.753429152220478,imd 2),IMD dec 5
imd_decile_cat4,0.99695234740903,0.893353365547163,1.11256533118406,0.956517722911826,imd 2),IMD dec 4
imd_decile_cat3,1.05908047854778,0.95042142721232,1.18016221849177,0.298669935291757,imd 2),IMD dec 3
imd_decile_cat2,1.03900469907864,0.919094958009279,1.17455846678315,0.540831453929507,imd 2),IMD dec 2
imd_decile_cat1,1.05903438490512,0.930554945307761,1.20525266569877,0.384722534268766,imd 2),IMD dec 1
congestive_heart_failure_chads,1.10953458312071,1.05537919478102,1.16646888362839,4.67916545939706e-05,comorbidity,Congestive heart failure
hypertension_chads,0.977749748165285,0.923373032206696,1.03532866641407,0.440860188651509,comorbidity,Hypertension
vascular_disease_chads,1.12825439386396,1.06476362124193,1.19553105673218,4.43606233194242e-05,comorbidity,Vascular disease
diabetes_chads,1.1210330987761,1.05293284390933,1.19353785554415,0.000352851343515788,comorbidity,Diabetes
renal_disease_hasbled,1.09287382813908,1.03443417653533,1.15461498790743,0.00153830699579876,comorbidity,Renal disease
liver_disease_hasbled,1.05503545057212,0.818359179875312,1.36016046417848,0.679346653617704,comorbidity,Liver disease
alcohol_hasbled,0.811476681308604,0.690620186660968,0.953482705872434,0.0111204710727794,comorbidity,Hazardous alcohol use
stroke_hasbled,1.17871919701732,1.08440422991995,1.28123711350676,0.000111407580141762,comorbidity,Stroke
bleeding_hasbled,1.00307277769484,0.956900235419903,1.05147324674963,0.898461318831555,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.683116406408445,0.615163675178397,0.758575389824604,1.01324598766498e-12,comorbidity,Uncontrolled hypertension
fall,1.09526804005304,1.03392276558528,1.16025308610219,0.00197248900656296,comorbidity,Fall
antihypertensives,0.990974606036258,0.927978587456185,1.05824712238318,0.786737554582464,meds,Antihypertensives
lipid_regulating_drugs,0.930376854875458,0.883305444238799,0.979956704369567,0.0064438459122128,meds,Lipid regulating drugs
proton_pump_inhibitors,1.0177910492278,0.965832567683748,1.07254471898012,0.509503209067434,meds,Proton pump inhibitors
nsaids,0.73550071480663,0.588331595459659,0.919483681746542,0.00699917600123929,meds,NSAIDs
corticosteroids,1.27175139232677,1.1848281079373,1.36505168391114,2.8304000138315e-11,meds,Corticosteroids
other_immunosuppressants,1.22073182061982,1.02523631884735,1.45350506071533,0.02510040855393,meds,Other immunosuppressants
bmi_z,1.06108367300744,1.03085853211074,1.09219502584667,5.79018187951888e-05,comorbidity,BMI (SD)
smoking_status,1.18496784459745,1.12471634753568,1.24844703805231,1.83911815658201e-10,comorbidity,Smoking status
vaccine_status,0.682600673450994,0.630036144263789,0.73955071250748,9.67632928052865e-21,meds,Vaccine status
prop_score_z,0.8964258408873,0.815476289104901,0.985410978769896,0.0235548611063609,meds,AT propensity score (sd)
