var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
dabigatran,0.91457530340725,0.84716886784147,0.987345046960563,0.0222540359880867,meds,Dabigatran vs Factor Xa
age_z,1.28738098259324,1.2528858483534,1.32282585562036,3.03724661096871e-74,dem,Age (SD)
female,0.736869823157842,0.71017456004157,0.764568553749499,3.74284572472917e-59,dem,Female
ethnicity_catBlack or Black British,1.15655150394857,1.01008724147075,1.32425331829561,0.0352702091316145,eth 1),Black or black british
ethnicity_catAsian or Asian British,0.915389390049831,0.831336058105476,1.0079410453161,0.0720176558934236,eth 1),Asian or asian british
ethnicity_catMixed,1.34086281278249,1.06287028417689,1.69156397489777,0.0133491014116754,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.09995399767509,0.950575968472082,1.27280600091981,0.20078754636611,eth 1),Other
region_catNorth West,0.98978761902604,0.939639772919758,1.04261181679556,0.698796080278901,reg 3),North West
region_catEast of England,0.967517915220275,0.908332246878969,1.03056003955447,0.305222536387996,reg 3),East of England
region_catSouth West,0.830073241814238,0.773031903565306,0.891323609799488,2.94030675076922e-07,reg 3),South West
region_catYorkshire and The Humber,0.897226957700485,0.844351495632856,0.953413617182135,0.000466374928928944,reg 3),The Humber
region_catWest Midlands,0.661800093730463,0.62252226936877,0.703556138651483,6.43655586366127e-40,reg 3),West Midlands
region_catEast Midlands,0.764926725198851,0.713724262532912,0.819802444219777,3.43483014355948e-14,reg 3),East Midlands
region_catLondon,1.01860319751101,0.926895523227795,1.11938449154066,0.701784138700153,reg 3),London
region_catNorth East,0.855607415011313,0.792475998296732,0.923768101741587,6.67573147408802e-05,reg 3),North East
imd_decile_cat9,0.926412370524219,0.863511922888979,0.993894649872306,0.0331159802537062,imd 2),IMD dec 9
imd_decile_cat8,1.01356177861994,0.945959375096328,1.08599534623209,0.702096838374976,imd 2),IMD dec 8
imd_decile_cat7,1.0034503063258,0.936522109731771,1.0751615010496,0.922090609116531,imd 2),IMD dec 7
imd_decile_cat6,1.0094545807615,0.941046398823869,1.0828356092685,0.792681423459285,imd 2),IMD dec 6
imd_decile_cat5,1.04111723820205,0.9714038720811,1.11583362475106,0.254495654900434,imd 2),IMD dec 5
imd_decile_cat4,1.02476668793284,0.955314422982875,1.09926819844075,0.494447465046767,imd 2),IMD dec 4
imd_decile_cat3,1.0313421844901,0.961831092033826,1.10587681175875,0.386024683592558,imd 2),IMD dec 3
imd_decile_cat2,1.06575190252597,0.986620788081679,1.15122966337061,0.105710721260417,imd 2),IMD dec 2
imd_decile_cat1,1.07591555560741,0.991883501744221,1.16706677826819,0.0778083025882735,imd 2),IMD dec 1
congestive_heart_failure_chads,1.17632663378618,1.13967694312187,1.21415490390135,8.63923039135437e-24,comorbidity,Congestive heart failure
hypertension_chads,0.981399648238665,0.946285017432479,1.01781730854858,0.312508221408605,comorbidity,Hypertension
vascular_disease_chads,1.10535026258032,1.06487075839406,1.14736853590476,1.42592648038437e-07,comorbidity,Vascular disease
diabetes_chads,1.10723140428575,1.06492555007847,1.15121792555946,2.98002303032341e-07,comorbidity,Diabetes
renal_disease_hasbled,1.07536806083488,1.03851832464125,1.11352533588008,4.41795339834579e-05,comorbidity,Renal disease
liver_disease_hasbled,1.13008074657668,0.974472898765109,1.31053669671232,0.105692718996046,comorbidity,Liver disease
alcohol_hasbled,1.02861213950459,0.941208369050645,1.1241325176522,0.533518843492235,comorbidity,Hazardous alcohol use
stroke_hasbled,1.01603931423405,0.964456847579857,1.07038058847286,0.549457115198513,comorbidity,Stroke
bleeding_hasbled,1.08843778128235,1.05643998053409,1.12140474191815,2.60056499219158e-08,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.980361247789945,0.923688355954259,1.04051130445976,0.51385979347949,comorbidity,Uncontrolled hypertension
fall,0.972377211812051,0.935914567949345,1.01026041738305,0.150867493803805,comorbidity,Fall
antihypertensives,1.14277636389364,1.09724046374033,1.19020202137116,1.25164658015659e-10,meds,Antihypertensives
lipid_regulating_drugs,1.07460856136042,1.03962656414005,1.11076765444554,2.03108616966828e-05,meds,Lipid regulating drugs
proton_pump_inhibitors,1.06267661989727,1.02821999688082,1.09828791688748,0.000300652144188392,meds,Proton pump inhibitors
nsaids,0.949506239924162,0.847139429167752,1.06424287267638,0.37335479442586,meds,NSAIDs
corticosteroids,1.34987859475617,1.29152587424011,1.41086776264006,2.12203050165074e-40,meds,Corticosteroids
other_immunosuppressants,1.22788304215641,1.1015121599602,1.36875181229933,0.000211600132406981,meds,Other immunosuppressants
bmi_z,1.09415068585899,1.07525610428111,1.11337728621041,4.32672645911707e-24,comorbidity,BMI (SD)
smoking_status,1.16885309067302,1.13095284798719,1.20802343794207,1.74001464756422e-20,comorbidity,Smoking status
vaccine_status,0.664090255237028,0.631703752051794,0.698137165828678,6.04635171363017e-58,meds,Vaccine status
prop_score_z,0.911775258137831,0.862918001514912,0.963398746917835,0.00101274446808621,meds,AT propensity score (sd)
