var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
dabigatran,0.863841321404032,0.787377650698986,0.947730517754236,0.00196638008227228,meds,Dabigatran vs Factor Xa
age_z,1.29778776451224,1.25697617889431,1.3399244233882,1.5215520936907e-57,dem,Age (SD)
female,0.724744919125248,0.694076880117844,0.75676803657353,3.08670231400064e-48,dem,Female
ethnicity_catBlack or Black British,1.19883594177085,1.02657580563611,1.40000144888575,0.0219423701614755,eth 1),Black or black british
ethnicity_catAsian or Asian British,0.971661706668235,0.869149447300184,1.08626482492527,0.613304125556149,eth 1),Asian or asian british
ethnicity_catMixed,1.54854507517754,1.19812022766247,2.00146178529602,0.000835361788616073,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.23302860226458,1.04686205522698,1.45230169191,0.0121290081979079,eth 1),Other
region_catNorth West,1.08332077927858,1.01808961393241,1.15273144402656,0.0115446231691182,reg 3),North West
region_catEast of England,1.12098782128101,1.04060964352801,1.2075745244874,0.00262483013978204,reg 3),East of England
region_catSouth West,0.873927664967096,0.802080623741745,0.952210464868124,0.00207879956250026,reg 3),South West
region_catYorkshire and The Humber,0.971914630073999,0.904067737893712,1.04485317698941,0.440365462345249,reg 3),The Humber
region_catWest Midlands,0.78985578181562,0.734790736700612,0.849047388469949,1.57196794429445e-10,reg 3),West Midlands
region_catEast Midlands,0.865103578419269,0.796990121993471,0.939038239924328,0.000533692034393815,reg 3),East Midlands
region_catLondon,1.17570388318344,1.05314206402071,1.31252911469068,0.00395417573875754,reg 3),London
region_catNorth East,0.913725819935619,0.833490790807382,1.00168458155162,0.0543458108398572,reg 3),North East
imd_decile_cat9,0.881469048693307,0.811276604756156,0.957734611412617,0.00288285171113829,imd 2),IMD dec 9
imd_decile_cat8,0.998156456603948,0.920683733364088,1.08214827280559,0.964295663787351,imd 2),IMD dec 8
imd_decile_cat7,0.962285083192285,0.887293720167915,1.0436144878374,0.353043887513772,imd 2),IMD dec 7
imd_decile_cat6,0.956797901795743,0.880994427261966,1.03912374080037,0.294330536963556,imd 2),IMD dec 6
imd_decile_cat5,0.999303575001117,0.9212549047745,1.08396452473102,0.98660366027939,imd 2),IMD dec 5
imd_decile_cat4,0.97210740528389,0.895210821261843,1.05560923188547,0.501059716042405,imd 2),IMD dec 4
imd_decile_cat3,0.991075362572399,0.913337634707131,1.07542965161287,0.829688822294244,imd 2),IMD dec 3
imd_decile_cat2,1.02802680388022,0.939315332803403,1.12511642532442,0.548294542695977,imd 2),IMD dec 2
imd_decile_cat1,1.03151111838494,0.937890193316321,1.13447735666098,0.522765011873674,imd 2),IMD dec 1
congestive_heart_failure_chads,1.15587293011612,1.11365681799347,1.19968935581289,2.33569047057475e-14,comorbidity,Congestive heart failure
hypertension_chads,0.947517118354294,0.908015332797424,0.988737367251835,0.013091133450896,comorbidity,Hypertension
vascular_disease_chads,1.11026283611349,1.06281795824629,1.15982568387232,2.67760676579715e-06,comorbidity,Vascular disease
diabetes_chads,1.11679391222745,1.06693031470586,1.16898791345351,2.13817822916909e-06,comorbidity,Diabetes
renal_disease_hasbled,1.08120798714565,1.03789138198883,1.12633241951335,0.000182032911066975,comorbidity,Renal disease
liver_disease_hasbled,0.993541525074091,0.82824090832472,1.19183289804316,0.944362466398065,comorbidity,Liver disease
alcohol_hasbled,0.979858731432972,0.881626127350484,1.08903661515891,0.705802736661986,comorbidity,Hazardous alcohol use
stroke_hasbled,1.02059877409199,0.960276417919418,1.08471044195265,0.511858040341669,comorbidity,Stroke
bleeding_hasbled,1.07078503063224,1.03383822031618,1.10905222818655,0.000134822871485053,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.95021713438902,0.885072591212184,1.02015655150937,0.158765644191593,comorbidity,Uncontrolled hypertension
fall,0.98170881711721,0.938754472497996,1.02662861252864,0.418686220161589,comorbidity,Fall
antihypertensives,1.07512518985042,1.02516370448246,1.12752155465204,0.00284876549675939,meds,Antihypertensives
lipid_regulating_drugs,1.05886846839272,1.01841778660373,1.10092581659969,0.00399823376905749,meds,Lipid regulating drugs
proton_pump_inhibitors,1.06520521941328,1.02478003525572,1.10722508287562,0.00137432227334828,meds,Proton pump inhibitors
nsaids,0.932353737705878,0.814623311951859,1.06709871846325,0.309151704661618,meds,NSAIDs
corticosteroids,1.3901815325125,1.32107730772155,1.46290052977441,9.40109451143534e-37,meds,Corticosteroids
other_immunosuppressants,1.22092092136538,1.07578941341255,1.38563168371321,0.00199211767202855,meds,Other immunosuppressants
bmi_z,1.1240187572428,1.10146961592583,1.14702952161935,1.21001655276399e-29,comorbidity,BMI (SD)
smoking_status,1.21681986037769,1.1701025744938,1.26540237145459,8.82686288625191e-23,comorbidity,Smoking status
vaccine_status,0.660277247967941,0.621778251526343,0.701160008594553,8.79724702779927e-42,meds,Vaccine status
prop_score_z,0.916750587812289,0.859743267605571,0.977537913841213,0.0079659145148387,meds,AT propensity score (sd)
