var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,1.0067733473842,0.969365958785207,1.0456242699851,0.726764786088879,meds,DOACs vs warfarin
age_z,1.89546630243734,1.84214625844415,1.95032966964844,0,dem*,Age (SD)
female,0.703815351124906,0.656819611561498,0.754173657058494,2.24298503863309e-23,dem*,Female
ethnicity_catBlack or Black British,1.2046369135294,1.03451472764732,1.40273507438395,0.0165389596596424,eth**,Black or black british
ethnicity_catAsian or Asian British,1.07214032866808,0.958997406219849,1.19863190129731,0.220884868226606,eth**,Asian or asian british
ethnicity_catMixed,1.15666432361117,0.863451903937904,1.54944629968769,0.329212086306578,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.43315975816247,1.18472588472581,1.73368955544655,0.000211244307451888,eth**,Other
region_catNorth West,0.850183505001704,0.764158939491823,0.945892215378208,0.00286379857410268,reg****,North West
region_catEast of England,1.04926244646484,0.979255271082731,1.12427445026064,0.172271571389996,reg****,East of England
region_catSouth West,0.935714853848479,0.828995603123754,1.05617241444159,0.282187393502972,reg****,South West
region_catYorkshire and The Humber,0.855398761779476,0.793188501448175,0.9224882109586,5.03002611372193e-05,reg****,The Humber
region_catWest Midlands,0.593754977749718,0.55473913997771,0.635514872119413,4.53069637864133e-51,reg****,West Midlands
region_catEast Midlands,0.791538389627025,0.734557646570967,0.852939214747952,8.62483204770565e-10,reg****,East Midlands
region_catLondon,1.01695826368221,0.951351061589235,1.08708987862366,0.62114808291352,reg****,London
region_catNorth East,0.846100084329181,0.755603533542631,0.947435157357502,0.00378521757912037,reg****,North East
imd_decile_cat2,0.962350464827789,0.894396452999083,1.03546745299448,0.304356344816423,imd***,IMD dec 2
imd_decile_cat3,0.980389898448735,0.911772396775568,1.05417136598939,0.592674866055334,imd***,IMD dec 3
imd_decile_cat4,0.892393660635517,0.82388997708835,0.966593195315761,0.00521007339878996,imd***,IMD dec 4
imd_decile_cat5,0.903018463703923,0.832570183606038,0.979427754977173,0.0138338975790323,imd***,IMD dec 5
imd_decile_cat6,0.916844591861963,0.846898541303506,0.992567544552282,0.0320155351704671,imd***,IMD dec 6
imd_decile_cat7,0.876736461058867,0.812840796691267,0.94565482598677,0.000656198769935343,imd***,IMD dec 7
imd_decile_cat8,0.882816710376992,0.817454829136994,0.953404783165386,0.00149446657927552,imd***,IMD dec 8
imd_decile_cat9,0.860277423009339,0.795068521035954,0.930834544392837,0.000182505637009531,imd***,IMD dec 9
imd_decile_cat10,0.867193388749401,0.795379105300774,0.945491739069875,0.00123438430779625,imd***,IMD dec 10
congestive_heart_failure_chads,1.13911889603973,1.0729665584779,1.20934976869691,1.97968632035299e-05,comorbidity,Congestive heart failure
hypertension_chads,1.03229176490162,0.97414582590619,1.09390838573107,0.282633450724714,comorbidity,Hypertension
vascular_disease_chads,1.20615938494779,1.14444382353659,1.27120303502702,2.65857879685899e-12,comorbidity,Vascular disease
diabetes_chads,1.16937609343105,1.1270518436341,1.21328974848118,8.88031347576256e-17,comorbidity,Diabetes
liver_disease_hasbled,1.01748641448121,0.845619931541196,1.22428358774252,0.8542985895497,comorbidity,Liver disease
renal_disease_hasbled,1.06931130663017,0.971317318000136,1.17719168524797,0.17177263561787,comorbidity,Renal disease
alcohol_hasbled,0.948255793201754,0.819190587162754,1.09765549486476,0.476617722514164,comorbidity,Hazardous alcohol use
stroke_hasbled,1.13500131442333,1.05130484173893,1.22536103002423,0.00119485027113894,comorbidity,Stroke
bleeding_hasbled,0.999968400739853,0.941254981249744,1.06234423445022,0.999183328286214,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.699452809602955,0.635751531652106,0.76953685284896,2.186253932355e-13,comorbidity,Uncontrolled hypertension
antihypertensives,0.841931161155174,0.748302755139616,0.947274449085577,0.00422979280543706,meds,Antihypertensives
lipid_regulating_drugs,0.878432995838185,0.816171427718802,0.945444182399271,0.000548991618691468,meds,Lipid regulating drugs
proton_pump_inhibitors,1.05736104163279,0.974819127305529,1.14689211674892,0.178631669513874,meds,Proton pump inhibitors
nsaids,0.949701677005254,0.741370316475961,1.21657592064631,0.682952530681135,meds,NSAIDs
corticosteroids,1.30771666324897,1.22834212351231,1.39222032575836,4.56322318129261e-17,meds,Corticosteroids
other_immunosuppressants,1.26960649865599,1.11851336325874,1.44110988243654,0.000222107432950048,meds,Other immunosuppressants
bmi_z,1.00455015227336,0.977984833857078,1.03183707302755,0.73988949152337,dem*,BMI (SD)
smoking_status,1.19473083389901,1.15034751078118,1.24082657813526,3.21572026771467e-20,dem*,Smoking status
vaccine_status,0.613558583721682,0.574375304233303,0.655414905348448,1.08301007140904e-47,meds,Vaccine status
prop_score_z,0.907698378511737,0.802694792892397,1.02643788604131,0.122601271724778,meds,AT propensity score (sd)
