var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,1.01888804351499,0.974218232216958,1.06560605302509,0.4133294344163,meds,DOACs vs warfarin
age_z,1.85441310060026,1.78715308490655,1.92420446615388,1.97644426130692e-235,dem,Age (SD)
female,0.685326688597338,0.636502376394655,0.7378961768598,1.23853154037164e-23,dem,Female
ethnicity_catBlack or Black British,1.14602064827506,0.954690103671841,1.37569596796013,0.143621854239065,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.18579651181924,1.04514699227009,1.34537378745985,0.00815829962574281,eth 1),Asian or asian british
ethnicity_catMixed,1.29835130112417,0.934685444105843,1.80351166455089,0.119438664342626,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.38804176303037,1.11424874715147,1.7291111530005,0.00344465173312914,eth 1),Other
region_catNorth West,0.948807561350843,0.843481783723054,1.0672853947159,0.381409916511647,reg 3),North West
region_catEast of England,1.1355162082454,1.04511742818558,1.23373414739291,0.00267719712730215,reg 3),East of England
region_catSouth West,0.873647065188077,0.761883056260879,1.00180623291141,0.0530977877415829,reg 3),South West
region_catYorkshire and The Humber,0.830703799449889,0.759495850394062,0.908587982491861,4.98115770967451e-05,reg 3),The Humber
region_catWest Midlands,0.639583189742192,0.591255914554772,0.691860574297735,7.20888177755027e-29,reg 3),West Midlands
region_catEast Midlands,0.868333324416807,0.796806902109478,0.946280410343566,0.00128684636607498,reg 3),East Midlands
region_catLondon,1.03732184191206,0.95919948323098,1.12180690515313,0.359023605147448,reg 3),London
region_catNorth East,0.873912800538961,0.765395579902549,0.997815512656983,0.0463391122493944,reg 3),North East
imd_decile_cat9,0.960414889939701,0.874635861601003,1.05460660980612,0.397475627131587,imd 2),IMD dec 9
imd_decile_cat8,1.01515558344039,0.925195668107305,1.11386260670502,0.750699748514311,imd 2),IMD dec 8
imd_decile_cat7,1.01402441436757,0.921573099098402,1.1157503554948,0.775240772144173,imd 2),IMD dec 7
imd_decile_cat6,1.07254627549918,0.979776210521245,1.17410026976994,0.129185076028789,imd 2),IMD dec 6
imd_decile_cat5,1.07503485314633,0.980863894210778,1.17824699461413,0.121892847544374,imd 2),IMD dec 5
imd_decile_cat4,1.04693961009319,0.954980016211717,1.14775443315567,0.32811478358856,imd 2),IMD dec 4
imd_decile_cat3,1.11300930105731,1.0070263247825,1.23014629682858,0.0359842108367119,imd 2),IMD dec 3
imd_decile_cat2,1.13547347363681,1.03324512834461,1.24781619962579,0.00830581316209121,imd 2),IMD dec 2
imd_decile_cat1,1.16176605788841,1.05168159901263,1.28337357478608,0.00315668523500612,imd 2),IMD dec 1
congestive_heart_failure_chads,1.14805883605419,1.07051722788747,1.23121707592048,0.000108926674445864,comorbidity,Congestive heart failure
hypertension_chads,0.989717768472141,0.928175697506638,1.05534034543333,0.752353514602793,comorbidity,Hypertension
vascular_disease_chads,1.12961682012049,1.06426919573985,1.19897688048,6.10602909124588e-05,comorbidity,Vascular disease
diabetes_chads,1.17258143019132,1.12307383122242,1.22427143452622,4.70641328149043e-13,comorbidity,Diabetes
renal_disease_hasbled,1.11527242149505,1.00244662158647,1.24079681387816,0.0449769671217275,comorbidity,Renal disease
liver_disease_hasbled,1.03349957342516,0.830068611840458,1.2867868427186,0.768276645234579,comorbidity,Liver disease
alcohol_hasbled,0.870340753123289,0.736244582693114,1.02886057752218,0.103803707682319,comorbidity,Hazardous alcohol use
stroke_hasbled,1.07682487420805,0.992294442434003,1.16855618667873,0.0759784974281148,comorbidity,Stroke
bleeding_hasbled,1.00919904818697,0.941121339885787,1.0822012802144,0.79719590887369,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.686018951028624,0.616581827545086,0.763275821871349,4.47179654030581e-12,comorbidity,Uncontrolled hypertension
fall,1.14522628485152,1.03864431828817,1.2627453117699,0.00651409737886622,comorbidity,Fall
antihypertensives,0.897695905369726,0.792867307708572,1.01638436934239,0.0884835668730347,meds,Antihypertensives
lipid_regulating_drugs,0.914847660429073,0.843990608328521,0.991653501275419,0.030484459719473,meds,Lipid regulating drugs
proton_pump_inhibitors,1.02733055685172,0.940579472169751,1.12208282688397,0.549154249034796,meds,Proton pump inhibitors
nsaids,0.767106023009058,0.573483171284055,1.02610099127966,0.0740409842199103,meds,NSAIDs
corticosteroids,1.277682826759,1.18898914190117,1.37299269460491,2.45948244106513e-11,meds,Corticosteroids
other_immunosuppressants,1.21703935966042,1.04653307803548,1.41532535764954,0.0107547477026671,meds,Other immunosuppressants
bmi_z,1.03569799308628,1.00474407387267,1.0676055333658,0.0234710467428533,comorbidity,BMI (SD)
smoking_status,1.18073970361387,1.12915245616492,1.23468380206627,3.12093716412771e-13,comorbidity,Smoking status
vaccine_status,0.659831036749605,0.615965199686112,0.706820770523921,2.26833925954969e-32,meds,Vaccine status
prop_score_z,0.973898384332926,0.847627670087885,1.11897959030519,0.708929236924339,meds,AT propensity score (sd)
