var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,0.896062468662928,0.87191859900021,0.920874894361679,3.4091103191978e-15,meds,DOACs vs warfarin
age_z,1.34796455726447,1.31940537133487,1.3771419209874,1.92300912975991e-164,dem,Age (SD)
female,0.724619527877818,0.691310675552637,0.759533273172911,4.87448037943668e-41,dem,Female
ethnicity_catBlack or Black British,1.30196357145979,1.17341877970771,1.44459009070109,6.51787517662395e-07,eth 1),Black or black british
ethnicity_catAsian or Asian British,0.991375856027377,0.91834608364707,1.0702131858731,0.824425688096055,eth 1),Asian or asian british
ethnicity_catMixed,1.16905564608805,0.954009600340612,1.43257583902971,0.132063787815591,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.03803961932626,0.900567757448145,1.19649659048898,0.606502195415491,eth 1),Other
region_catNorth West,1.03101289878023,0.956732672492722,1.11106020314081,0.423383277891522,reg 3),North West
region_catEast of England,1.00891717096553,0.95567605402411,1.0651243730372,0.74824953847485,reg 3),East of England
region_catSouth West,0.803085166772902,0.736139632360596,0.876118818684571,7.89225984624449e-07,reg 3),South West
region_catYorkshire and The Humber,0.917804084736802,0.868200614197313,0.970241582630483,0.00248097229836399,reg 3),The Humber
region_catWest Midlands,0.581347749929945,0.553267011305858,0.610853709768313,2.7809663904985e-102,reg 3),West Midlands
region_catEast Midlands,0.815519175380484,0.772054853288204,0.861430405599686,2.92491961606549e-13,reg 3),East Midlands
region_catLondon,1.15170557740666,1.09731830971461,1.20878848487872,1.04851375765088e-08,reg 3),London
region_catNorth East,0.888240920745638,0.81665858629857,0.966097640463197,0.00570075083705239,reg 3),North East
imd_decile_cat9,0.937322808071849,0.883401377963578,0.994535517430355,0.0322556361248322,imd 2),IMD dec 9
imd_decile_cat8,0.996435599026866,0.93964826160703,1.05665486073475,0.905062179050822,imd 2),IMD dec 8
imd_decile_cat7,0.991638839430742,0.933755247185166,1.05311064203589,0.784380512477161,imd 2),IMD dec 7
imd_decile_cat6,1.02352211019931,0.966354064823679,1.08407213070293,0.42786721176069,imd 2),IMD dec 6
imd_decile_cat5,1.03076882064383,0.972712229071433,1.09229053553252,0.305563728386716,imd 2),IMD dec 5
imd_decile_cat4,1.03033385288976,0.972518680552759,1.09158607401482,0.310483541236601,imd 2),IMD dec 4
imd_decile_cat3,1.02199612667476,0.959211001945653,1.0888908496875,0.501199903165767,imd 2),IMD dec 3
imd_decile_cat2,1.08941327366905,1.02692390000992,1.15570518987322,0.00449057028172671,imd 2),IMD dec 2
imd_decile_cat1,1.12701548621294,1.05914013851242,1.19924064812401,0.000161331525106963,imd 2),IMD dec 1
congestive_heart_failure_chads,1.21072795520133,1.15799736391741,1.26585968775188,3.87625664458769e-17,comorbidity,Congestive heart failure
hypertension_chads,0.982155929723799,0.942802458537954,1.02315205222048,0.388156125649574,comorbidity,Hypertension
vascular_disease_chads,1.08030263358994,1.04008659898753,1.12207366317133,6.59235340971938e-05,comorbidity,Vascular disease
diabetes_chads,1.14577443256017,1.11551445141946,1.17685526049267,2.16923156748268e-23,comorbidity,Diabetes
renal_disease_hasbled,1.17210322761288,1.09464508806182,1.25504237963835,5.30515130314339e-06,comorbidity,Renal disease
liver_disease_hasbled,1.18109382195091,1.04073197064278,1.34038605097241,0.00992415910985409,comorbidity,Liver disease
alcohol_hasbled,0.985441772659218,0.894094015815118,1.08612234298025,0.767632662943809,comorbidity,Hazardous alcohol use
stroke_hasbled,0.909522583972575,0.863034280880065,0.958515031306281,0.000395914498619419,comorbidity,Stroke
bleeding_hasbled,1.13515484359428,1.08595340281334,1.18658546084693,2.05530992105904e-08,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.930920940154952,0.874862923484348,0.99057094952371,0.0238873846633352,comorbidity,Uncontrolled hypertension
fall,0.960775745288469,0.90218353847992,1.02317321627251,0.212622198708329,comorbidity,Fall
antihypertensives,1.13738425279656,1.05163908427502,1.2301206353522,0.0012864146355081,meds,Antihypertensives
lipid_regulating_drugs,1.09491510387241,1.0401081674967,1.15261000937359,0.00053842000793982,meds,Lipid regulating drugs
proton_pump_inhibitors,0.98404314866288,0.930168906011324,1.04103772139914,0.575514903425743,meds,Proton pump inhibitors
nsaids,0.845873060233462,0.712854051782013,1.003713498212,0.0551741210051212,meds,NSAIDs
corticosteroids,1.32730676242706,1.26886651399173,1.38843859630461,6.6469276020394e-35,meds,Corticosteroids
other_immunosuppressants,1.25859645822288,1.14793855996407,1.37992145215574,9.66769991720337e-07,meds,Other immunosuppressants
bmi_z,1.08755062257222,1.06744736704295,1.10803248307571,1.18161641162698e-18,comorbidity,BMI (SD)
smoking_status,1.13836004079817,1.10731937590508,1.17027084568698,4.03911630918384e-20,comorbidity,Smoking status
vaccine_status,0.670385643774935,0.643154207154003,0.698770071594855,1.12140766760301e-79,meds,Vaccine status
prop_score_z,1.08509853556966,0.993729991588086,1.18486796399669,0.068787351041513,meds,AT propensity score (sd)
