var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,0.956275936631604,0.925632456410149,0.987933883095659,0.00713452545183598,meds,DOACs vs warfarin
age_z,1.36149864220949,1.32716890884251,1.396716379044,5.39271083561758e-124,dem,Age (SD)
female,0.702203125995074,0.663981906671621,0.742624498051445,3.33144811855047e-35,dem,Female
ethnicity_catBlack or Black British,1.36559817660966,1.21301153977735,1.53737892741063,2.54629786690346e-07,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.07914649745548,0.987680452448968,1.17908293120806,0.091864980171921,eth 1),Asian or asian british
ethnicity_catMixed,1.41558457462531,1.13083912119094,1.77202897420699,0.00242093417942914,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.151022689276,0.979583584579012,1.35246573348566,0.0873986609139149,eth 1),Other
region_catNorth West,1.12824129009191,1.03173338888404,1.23377649922244,0.00817608887508397,reg 3),North West
region_catEast of England,1.15841891246677,1.08605714236129,1.23560199958087,7.87906931851975e-06,reg 3),East of England
region_catSouth West,0.838995942358707,0.755613727541937,0.931579411062654,0.00101254203495487,reg 3),South West
region_catYorkshire and The Humber,0.998733723309798,0.934351113680858,1.06755269563146,0.970270812846806,reg 3),The Humber
region_catWest Midlands,0.706064716007475,0.665796979264042,0.748767865756581,3.38630909092744e-31,reg 3),West Midlands
region_catEast Midlands,0.893510015205903,0.836612239989615,0.95427739293315,0.000796311112555598,reg 3),East Midlands
region_catLondon,1.32508164264278,1.25161228633731,1.40286363343966,3.98361726542261e-22,reg 3),London
region_catNorth East,0.973091062638372,0.880016994754015,1.07600901099797,0.594879312531926,reg 3),North East
imd_decile_cat9,0.890688338085967,0.830056748784918,0.955748768700039,0.00128984600489058,imd 2),IMD dec 9
imd_decile_cat8,0.991187363672644,0.924920393698315,1.06220210582228,0.802028254757494,imd 2),IMD dec 8
imd_decile_cat7,0.949478842083512,0.884091427981609,1.01970231022645,0.154437628831997,imd 2),IMD dec 7
imd_decile_cat6,0.989352362258457,0.924314652062714,1.05896633199749,0.757662738257439,imd 2),IMD dec 6
imd_decile_cat5,0.989409474494763,0.923767713725648,1.0597156554345,0.761140473046829,imd 2),IMD dec 5
imd_decile_cat4,0.990916845468889,0.925525996596476,1.06092773000965,0.793347642614228,imd 2),IMD dec 4
imd_decile_cat3,0.98202245701573,0.91109027173184,1.05847700936384,0.635318368342311,imd 2),IMD dec 3
imd_decile_cat2,1.06735837098096,0.995610967578279,1.14427615725673,0.0663474255754988,imd 2),IMD dec 2
imd_decile_cat1,1.07167017955074,0.99567016733255,1.15347131150384,0.065133052901704,imd 2),IMD dec 1
congestive_heart_failure_chads,1.2198149362413,1.15697097465848,1.28607243506396,1.80174811883105e-13,comorbidity,Congestive heart failure
hypertension_chads,0.944654043871439,0.899920959293305,0.991610711348948,0.0214292000649887,comorbidity,Hypertension
vascular_disease_chads,1.07451054351333,1.02732436146415,1.12386404083304,0.00170966805256855,comorbidity,Vascular disease
diabetes_chads,1.14752037301398,1.1117755676665,1.18441441310495,1.5603322590155e-17,comorbidity,Diabetes
renal_disease_hasbled,1.18894943186947,1.09591900227582,1.28987703343697,3.13701732174282e-05,comorbidity,Renal disease
liver_disease_hasbled,1.05883646494299,0.907229503667111,1.23577843859932,0.468381380449787,comorbidity,Liver disease
alcohol_hasbled,0.938705366822569,0.835943645168009,1.05409948480964,0.284935706360583,comorbidity,Hazardous alcohol use
stroke_hasbled,0.905088288155465,0.850326123571774,0.963377210987268,0.00173838146907017,comorbidity,Stroke
bleeding_hasbled,1.10763678955317,1.05071825906549,1.16763865763865,0.000145844700738321,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.885990302197765,0.822149870393643,0.954787981919453,0.00151117314308475,comorbidity,Uncontrolled hypertension
fall,0.951977095811931,0.883248211637794,1.02605403442601,0.198013898906857,comorbidity,Fall
antihypertensives,1.09637528557377,0.998521137059906,1.20381905019689,0.0537386388436134,meds,Antihypertensives
lipid_regulating_drugs,1.09075210768508,1.02618435113361,1.15938248240207,0.00526783037736827,meds,Lipid regulating drugs
proton_pump_inhibitors,0.98275504219984,0.919044145534229,1.05088256931096,0.610979952552361,meds,Proton pump inhibitors
nsaids,0.811679973502528,0.662611866048531,0.99428400416966,0.0438697762620053,meds,NSAIDs
corticosteroids,1.36968244439816,1.29944712645646,1.44371399212554,1.09570746815981e-31,meds,Corticosteroids
other_immunosuppressants,1.28752294387821,1.15684245138479,1.43296550798984,3.69104931519726e-06,meds,Other immunosuppressants
bmi_z,1.12032874020709,1.09591597568383,1.14528532659707,5.09240041363098e-24,comorbidity,BMI (SD)
smoking_status,1.19157086980824,1.15280981597345,1.23163519090669,2.81688073605907e-25,comorbidity,Smoking status
vaccine_status,0.661010944614563,0.628564613641134,0.695132146191252,1.81631816013324e-58,meds,Vaccine status
prop_score_z,1.10597184471665,0.995991660699126,1.22809634816355,0.059455876762185,meds,AT propensity score (sd)
