var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
ac_only,0.89760506691479,0.828845297871007,0.972069043789754,0.0078923724054744,meds,AC vs AP
age_z,2.06518339841058,1.97024965065362,2.16469139718197,2.0455542868357e-200,dem,Age (SD)
female,0.626702162404301,0.590984821466322,0.664578151749721,6.48154696080228e-55,dem,Female
ethnicity_catBlack or Black British,1.33649374258932,1.00679002938176,1.77416886525712,0.0447726882169919,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.33818311155479,1.06182717328859,1.68646469510133,0.0135770560476458,eth 1),Asian or asian british
ethnicity_catMixed,2.09257516150942,1.3292062727378,3.29435009176335,0.00142747017512014,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.91164747813799,1.46177042635112,2.49997948706175,2.21046559232276e-06,eth 1),Other
region_catNorth West,0.883999933305653,0.804544104982613,0.971302725661369,0.0102906375768157,reg 3),North West
region_catEast of England,1.03538901596392,0.920033121404396,1.16520850112692,0.563909588142627,reg 3),East of England
region_catSouth West,0.916300926936038,0.800322856534154,1.04908585560059,0.205528876054383,reg 3),South West
region_catYorkshire and The Humber,0.844380929321632,0.759493653024665,0.938755907916598,0.00175357986384634,reg 3),The Humber
region_catWest Midlands,0.451029827047292,0.408037502153544,0.498551980670052,1.01927903464857e-54,reg 3),West Midlands
region_catEast Midlands,0.680844382761465,0.608857770316271,0.761342132986247,1.55835932838938e-11,reg 3),East Midlands
region_catLondon,1.03301182206404,0.92316804628257,1.15592543396745,0.571238116278018,reg 3),London
region_catNorth East,0.829096728386747,0.727974195462191,0.944266141995839,0.00474144324841512,reg 3),North East
imd_decile_cat9,0.912289010367766,0.806310464622451,1.0321969947736,0.145117146521637,imd 2),IMD dec 9
imd_decile_cat8,0.972124690968687,0.860277978484197,1.09851285099276,0.650307113440926,imd 2),IMD dec 8
imd_decile_cat7,0.897473311872136,0.792407225397917,1.0164702184767,0.0886041794895348,imd 2),IMD dec 7
imd_decile_cat6,0.959617297322394,0.848023957737319,1.08589545014432,0.513424829403625,imd 2),IMD dec 6
imd_decile_cat5,1.02561748416961,0.905225267179923,1.16202150113572,0.691337457101857,imd 2),IMD dec 5
imd_decile_cat4,1.01017340297737,0.892335330223326,1.14357267892496,0.872924808908889,imd 2),IMD dec 4
imd_decile_cat3,1.0883659257741,0.961988869987853,1.23134521130277,0.17875192873999,imd 2),IMD dec 3
imd_decile_cat2,1.11339519998728,0.983265341320424,1.26074704279722,0.090296040249598,imd 2),IMD dec 2
imd_decile_cat1,1.14459435061395,1.01052284453815,1.2964538451935,0.033616060455917,imd 2),IMD dec 1
congestive_heart_failure_chads,1.11957039462165,1.03227087659647,1.21425286417652,0.00639616397750371,comorbidity,Congestive heart failure
hypertension_chads,1.02989919735203,0.967055850075025,1.09682636904999,0.359075394162654,comorbidity,Hypertension
vascular_disease_chads,1.43249813782947,1.21823382711949,1.68444749210171,1.37396759644167e-05,comorbidity,Vascular disease
diabetes_chads,1.21717937464829,1.14870883449249,1.28973120566601,2.86811057416667e-11,comorbidity,Diabetes
renal_disease_hasbled,1.16580707642444,1.10382430275457,1.23127035348802,3.71806755181352e-08,comorbidity,Renal disease
liver_disease_hasbled,1.12774552833503,0.857875327573049,1.4825114277125,0.388976823605663,comorbidity,Liver disease
alcohol_hasbled,0.82611955843733,0.701433371724437,0.972969853365923,0.0221246623649405,comorbidity,Hazardous alcohol use
stroke_hasbled,1.17383481136852,1.10338579577178,1.24878185822284,3.86493944672974e-07,comorbidity,Stroke
bleeding_hasbled,1.0900553562262,1.03066277823621,1.15287046813785,0.00255695457678726,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.291408884683418,0.249835200274815,0.339900614401107,1.504090552309e-55,comorbidity,Uncontrolled hypertension
fall,1.23401186260302,1.15092971822844,1.32309145634791,3.3640699703439e-09,comorbidity,Fall
antihypertensives,0.847087787887693,0.794948964752615,0.902646273162664,3.05468967815734e-07,meds,Antihypertensives
lipid_regulating_drugs,0.947571827792767,0.891888375549584,1.00673177657825,0.0813627741647841,meds,Lipid regulating drugs
proton_pump_inhibitors,1.05665562570276,0.968476162923962,1.15286380199422,0.215156096291131,meds,Proton pump inhibitors
nsaids,0.840693892327077,0.657786383360348,1.07446161622484,0.165676587865167,meds,NSAIDs
corticosteroids,1.26079299350241,1.1598632578913,1.37050549851432,5.22266376233336e-08,meds,Corticosteroids
other_immunosuppressants,1.27560051699594,1.04399187702932,1.55859132121832,0.0172613219175318,meds,Other immunosuppressants
bmi_z,1.00500622681901,0.969393917657414,1.04192681380318,0.786168986527829,comorbidity,BMI (SD)
smoking_status,1.23528129214703,1.16485455945826,1.30996600248369,1.7277180451049e-12,comorbidity,Smoking status
prop_score_z,1.12369620991204,1.01829417476126,1.24000824463788,0.0203023023449421,meds,AT propensity score (sd)
