var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
ac_only,0.919543948400569,0.861946240551536,0.980990499475996,0.0110377962827173,meds,AC vs AP
age_z,2.04150570406356,1.96764181912542,2.118142387102,0,dem,Age (SD)
female,0.63746463133956,0.607833121529662,0.668540659953245,9.77720329073866e-77,dem,Female
ethnicity_catBlack or Black British,1.17410656262526,0.95596874130798,1.44202018416791,0.125876562131491,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.22483075273748,1.0368744559146,1.44685826166695,0.0170333453455563,eth 1),Asian or asian british
ethnicity_catMixed,1.52417964799604,1.07962305612816,2.15179139254095,0.0166023710228865,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.40188998529634,1.12637979174532,1.74478940875615,0.00247846630911018,eth 1),Other
region_catNorth West,0.94219064049819,0.87522477157985,1.01428025333422,0.113416629912033,reg 3),North West
region_catEast of England,1.14446753690009,1.05353050508723,1.24325393208211,0.00140098865528424,reg 3),East of England
region_catSouth West,0.839913995197163,0.756277057731859,0.932800370070437,0.00111486905741509,reg 3),South West
region_catYorkshire and The Humber,0.799574824995506,0.735100605016531,0.869703951273739,1.84338485787192e-07,reg 3),The Humber
region_catWest Midlands,0.60576442352702,0.560626145597649,0.654536966733578,6.96051997114606e-37,reg 3),West Midlands
region_catEast Midlands,0.84018490723259,0.771263627661845,0.915265096166232,6.67802429328013e-05,reg 3),East Midlands
region_catLondon,0.982162947684045,0.903246894033282,1.0679738421197,0.673650268353181,reg 3),London
region_catNorth East,0.83384883274363,0.749325213285588,0.927906686629688,0.000861933829935283,reg 3),North East
imd_decile_cat9,0.969054680149812,0.878126487879048,1.06939829976931,0.531781358679194,imd 2),IMD dec 9
imd_decile_cat8,1.01732071022116,0.922412344279085,1.12199433785088,0.731095408264148,imd 2),IMD dec 8
imd_decile_cat7,1.02081911088234,0.925180612722188,1.12634402711541,0.681407982093198,imd 2),IMD dec 7
imd_decile_cat6,1.07332982610191,0.97408428328304,1.18268709943369,0.152849648881901,imd 2),IMD dec 6
imd_decile_cat5,1.0883808124592,0.986258359747114,1.20107756879556,0.092043856262175,imd 2),IMD dec 5
imd_decile_cat4,1.06898666716813,0.967527047161101,1.1810858393429,0.189808505840058,imd 2),IMD dec 4
imd_decile_cat3,1.15134981222686,1.04303383213695,1.27091408664948,0.00517736929497017,imd 2),IMD dec 3
imd_decile_cat2,1.16169221098206,1.05262615159131,1.28205896368452,0.00288649939201271,imd 2),IMD dec 2
imd_decile_cat1,1.19083165511627,1.07562505764349,1.31837764539785,0.000767544717964452,imd 2),IMD dec 1
congestive_heart_failure_chads,1.17806981581976,1.10019910136689,1.2614521219126,2.64316851926537e-06,comorbidity,Congestive heart failure
hypertension_chads,0.99558509715924,0.947624676886966,1.04597285176418,0.860568905075158,comorbidity,Hypertension
vascular_disease_chads,1.1822029605012,1.02969026613312,1.35730509045826,0.0175423120893995,comorbidity,Vascular disease
diabetes_chads,1.19112361245624,1.13742763125035,1.2473544875916,1.07495658941622e-13,comorbidity,Diabetes
renal_disease_hasbled,1.1761092260518,1.12573851121444,1.22873375817261,3.77969302343699e-13,comorbidity,Renal disease
liver_disease_hasbled,1.07359813523186,0.858280109003653,1.34293331964941,0.53406081120509,comorbidity,Liver disease
alcohol_hasbled,0.808121837141285,0.703296747969455,0.928570913416153,0.00265209675499318,comorbidity,Hazardous alcohol use
stroke_hasbled,1.09460663320146,1.0429960558272,1.1487710569513,0.000244154034546738,comorbidity,Stroke
bleeding_hasbled,1.05662335402058,1.00949424058946,1.10595273095346,0.0179882258203944,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.646039596699588,0.587905157539988,0.709922604268663,1.07549211152433e-19,comorbidity,Uncontrolled hypertension
fall,1.16601619563285,1.10386368849101,1.23166816940657,3.89105260068804e-08,comorbidity,Fall
antihypertensives,0.884153723486546,0.842590136741848,0.927767573660346,5.39255900382059e-07,meds,Antihypertensives
lipid_regulating_drugs,0.930213699338631,0.884256862330406,0.978559017519886,0.00513571623415672,meds,Lipid regulating drugs
proton_pump_inhibitors,1.04509319247874,0.975498233883229,1.11965326335602,0.209686974867398,meds,Proton pump inhibitors
nsaids,0.758960545906207,0.618227868624716,0.931729447143235,0.00839566595438759,meds,NSAIDs
corticosteroids,1.31325157637733,1.22477679045205,1.40811755766617,1.89369193068685e-14,meds,Corticosteroids
other_immunosuppressants,1.28334342056255,1.09393272686515,1.50554992519592,0.00219953507954949,meds,Other immunosuppressants
bmi_z,1.04466224673943,1.01630308232774,1.07381275206124,0.00186066298503474,comorbidity,BMI (SD)
smoking_status,1.21069107048591,1.15521500934628,1.26883121868696,1.35913209917516e-15,comorbidity,Smoking status
vaccine_status,0.599556321080718,0.559191501214618,0.642834845248983,6.36804141333349e-47,meds,Vaccine status
prop_score_z,1.02976726894605,0.951896971972581,1.11400777543722,0.464687488078994,meds,AT propensity score (sd)
