var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
ac_only,1.14155046178628,1.06206010194592,1.22699031289928,0.000324414980205858,meds,AC vs AP
age_z,1.39471238014622,1.34267800973983,1.44876329933344,6.34745705737915e-66,dem*,Age (SD)
female,0.654293001333829,0.622324440143081,0.687903774912011,7.29802262597273e-62,dem*,Female
ethnicity_catBlack or Black British,2.10800067567859,1.62445926335325,2.73547447381885,2.02982430798411e-08,eth**,Black or black british
ethnicity_catAsian or Asian British,1.2093360910025,0.995698652988495,1.46881164960067,0.055301513246562,eth**,Asian or asian british
ethnicity_catMixed,1.30687405344008,0.853233064530553,2.00170371092521,0.218576428022935,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.36354237525256,1.04249835926881,1.78345394271262,0.023585435444291,eth**,Other
region_catNorth West,0.890654793284239,0.818065908838438,0.969684657714852,0.00759224369525547,reg****,North West
region_catEast of England,1.12223818175893,1.00660271575099,1.25115749927018,0.0376561716465812,reg****,East of England
region_catSouth West,0.775011323519308,0.686521220458836,0.874907480910366,3.78328710688206e-05,reg****,South West
region_catYorkshire and The Humber,0.727264571822124,0.662002981281267,0.798959781727775,3.16292264746273e-11,reg****,The Humber
region_catWest Midlands,0.359378681501301,0.329707655760498,0.391719859885301,7.58282058919457e-120,reg****,West Midlands
region_catEast Midlands,0.60742617870459,0.551180374839923,0.66941164710884,8.67695464205136e-24,reg****,East Midlands
region_catLondon,1.36482487048696,1.2292825819993,1.51531222712859,5.60375387514814e-09,reg****,London
region_catNorth East,0.633909074642242,0.56467130097798,0.71163651175085,1.1214076336136e-14,reg****,North East
imd_decile_cat2,0.93801932205162,0.852687316768664,1.03189085991869,0.188558617775712,imd***,IMD dec 2
imd_decile_cat3,0.834301475591008,0.757380761071808,0.919034372075025,0.000241829181854114,imd***,IMD dec 3
imd_decile_cat4,0.822840657759094,0.745313921224011,0.908431640387835,0.000112432412563236,imd***,IMD dec 4
imd_decile_cat5,0.820957505059703,0.742847514655489,0.907280716186311,0.000109981142865232,imd***,IMD dec 5
imd_decile_cat6,0.771421008461334,0.697475795110884,0.85320576924235,4.46860955050885e-07,imd***,IMD dec 6
imd_decile_cat7,0.747608198871866,0.676232641787892,0.826517361750997,1.33405332439845e-08,imd***,IMD dec 7
imd_decile_cat8,0.746730860975952,0.674722614199973,0.826424025219679,1.65299499822845e-08,imd***,IMD dec 8
imd_decile_cat9,0.674235282825479,0.608722529893901,0.746798737161885,4.08757727493445e-14,imd***,IMD dec 9
imd_decile_cat10,0.730997882819355,0.655134598383269,0.815645984817563,2.08196608377039e-08,imd***,IMD dec 10
congestive_heart_failure_chads,1.19037682799453,1.11082602184156,1.27562459355893,7.88052329728038e-07,comorbidity,Congestive heart failure
hypertension_chads,1.01783704312839,0.963109129153448,1.07567482749848,0.530676378592752,comorbidity,Hypertension
vascular_disease_chads,1.3875642213267,1.20251331378931,1.60109201804921,7.28645019671439e-06,comorbidity,Vascular disease
diabetes_chads,1.2286405704931,1.16762771076364,1.29284157745308,2.3108180492009e-15,comorbidity,Diabetes
liver_disease_hasbled,1.26286925984495,0.995431440858638,1.60215832251156,0.0545743643027418,comorbidity,Liver disease
renal_disease_hasbled,1.17085668957519,1.11535940766896,1.22911536684673,1.93250455350367e-10,comorbidity,Renal disease
alcohol_hasbled,1.03079523869061,0.902690527275083,1.17707984298303,0.654182990931117,comorbidity,Hazardous alcohol use
stroke_hasbled,0.925683715658437,0.875599260148317,0.978633012195627,0.00650830895737005,comorbidity,Stroke
bleeding_hasbled,1.19634440676545,1.13885484785132,1.2567360470031,9.70146324431841e-13,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.895861936507027,0.810884783220789,0.989744321128291,0.0305644113182182,comorbidity,Uncontrolled hypertension
antihypertensives,1.0782984644888,1.01907950516252,1.14095865202732,0.0089026585214924,meds,Antihypertensives
lipid_regulating_drugs,1.17517072102714,1.11531806289404,1.23823532452792,1.43000369661813e-09,meds,Lipid regulating drugs
proton_pump_inhibitors,1.06434080660779,0.987023706707585,1.14771443169209,0.10511982627248,meds,Proton pump inhibitors
nsaids,1.06362371840046,0.881567837812637,1.28327664170576,0.519601237223958,meds,NSAIDs
corticosteroids,1.60090120125729,1.48381863042282,1.7272223192512,6.18945903172719e-34,meds,Corticosteroids
other_immunosuppressants,1.37553175095937,1.14573784623064,1.65141406834218,0.00062913207653638,meds,Other immunosuppressants
bmi_z,1.10035167708179,1.06791275213746,1.13377596702849,3.7615928536162e-10,dem*,BMI (SD)
smoking_status,1.17571130899792,1.11826871839689,1.23610457787572,2.3933404808379e-10,dem*,Smoking status
prop_score_z,1.09682674586798,1.00638213256589,1.19539971102635,0.0353041629404682,meds,AT propensity score (sd)
