var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
ac_only,1.125830999273,1.06459168678325,1.19059302703544,3.27631032587608e-05,meds,AC vs AP
age_z,1.45001569847157,1.41030944866094,1.49083984923331,1.22012049211697e-151,dem,Age (SD)
female,0.644991559942862,0.620311476270675,0.670653580195891,1.51274926585718e-107,dem,Female
ethnicity_catBlack or Black British,1.5922121652937,1.35169778293064,1.87552248092969,2.59537180780978e-08,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.30961316832381,1.14772506797644,1.49433579391187,6.16115699855632e-05,eth 1),Asian or asian british
ethnicity_catMixed,1.42523717153232,1.07246128771816,1.89405530845723,0.0146019595987392,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.32551774827173,1.10013921227188,1.59706815408845,0.00304018130622381,eth 1),Other
region_catNorth West,1.06826555698786,1.00374935671003,1.13692854956046,0.0377360917178079,reg 3),North West
region_catEast of England,1.20614489934118,1.12315122148745,1.29527127814551,2.56496321300425e-07,reg 3),East of England
region_catSouth West,0.914393404697776,0.837476366599194,0.998374798264542,0.0459072700520864,reg 3),South West
region_catYorkshire and The Humber,0.969039918854242,0.904087233417855,1.03865902495166,0.374304845002121,reg 3),The Humber
region_catWest Midlands,0.647625002163818,0.607692176681504,0.690181903802103,8.00675519561416e-41,reg 3),West Midlands
region_catEast Midlands,0.847624797682773,0.788665492688008,0.910991801096823,6.98195061814443e-06,reg 3),East Midlands
region_catLondon,1.43089511968983,1.33466746658311,1.5340606516722,6.28981086988653e-24,reg 3),London
region_catNorth East,0.868246913440613,0.793948976083724,0.949497669759141,0.00196569711409787,reg 3),North East
imd_decile_cat9,0.900961447465762,0.829927906255655,0.978074750470616,0.0128083505631946,imd 2),IMD dec 9
imd_decile_cat8,1.00525732269973,0.926761038612771,1.09040221021166,0.899410798446995,imd 2),IMD dec 8
imd_decile_cat7,0.962464232016542,0.887028739943425,1.04431497672812,0.358244924061449,imd 2),IMD dec 7
imd_decile_cat6,0.989732421231042,0.912814742821793,1.07313151254296,0.802561623337826,imd 2),IMD dec 6
imd_decile_cat5,1.02426900885941,0.943767836008648,1.11163674208984,0.56585201360154,imd 2),IMD dec 5
imd_decile_cat4,1.03337721583813,0.951438620200718,1.12237242375981,0.436015007320073,imd 2),IMD dec 4
imd_decile_cat3,1.06481606736637,0.980800460100706,1.15602847209632,0.134222724370085,imd 2),IMD dec 3
imd_decile_cat2,1.16294234811195,1.07196939119601,1.26163574831481,0.000281024449901323,imd 2),IMD dec 2
imd_decile_cat1,1.19873828877031,1.10234173815154,1.30356443490342,2.25538884258284e-05,imd 2),IMD dec 1
congestive_heart_failure_chads,1.1283689753686,1.06734214152746,1.19288510688082,2.06938473393888e-05,comorbidity,Congestive heart failure
hypertension_chads,0.983660601680233,0.944124854029723,1.02485193051327,0.431218514787544,comorbidity,Hypertension
vascular_disease_chads,1.35466424174386,1.21000331245618,1.51661998687785,1.37678003119881e-07,comorbidity,Vascular disease
diabetes_chads,1.19896670261494,1.15416011965048,1.24551275815584,9.82427765486367e-21,comorbidity,Diabetes
renal_disease_hasbled,1.17297721640697,1.13061550543642,1.21692612881578,1.87492066686554e-17,comorbidity,Renal disease
liver_disease_hasbled,1.06634171057618,0.890234630406364,1.27728646457564,0.485509294454245,comorbidity,Liver disease
alcohol_hasbled,0.973776112205259,0.877536548090745,1.08057028367043,0.616720452930209,comorbidity,Hazardous alcohol use
stroke_hasbled,0.955104710138862,0.916860209283149,0.994944483459115,0.0275915386686874,comorbidity,Stroke
bleeding_hasbled,1.13299694654144,1.09107462825355,1.17653004444524,8.52370963537269e-11,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.936931951077206,0.872112619615519,1.00656894672198,0.0749181342771186,comorbidity,Uncontrolled hypertension
fall,1.05388609106668,1.00508978513024,1.10505141866493,0.0300176936707615,comorbidity,Fall
antihypertensives,0.980147204894753,0.941772731262801,1.02008532565477,0.325085584498394,meds,Antihypertensives
lipid_regulating_drugs,1.0898608460415,1.04535752376851,1.13625877915174,5.22451070860602e-05,meds,Lipid regulating drugs
proton_pump_inhibitors,1.12440168400845,1.06329217877776,1.18902327340948,3.91497998929698e-05,meds,Proton pump inhibitors
nsaids,0.990388805733835,0.855396490197586,1.14668460504944,0.897217189126878,meds,NSAIDs
corticosteroids,1.53844228848319,1.45158296548779,1.63049906981931,8.07610424983396e-48,meds,Corticosteroids
other_immunosuppressants,1.36648510396333,1.19482086014699,1.56281297191611,5.14757938313367e-06,meds,Other immunosuppressants
bmi_z,1.12170361865427,1.09775491599723,1.1461747879845,1.8053444090777e-25,comorbidity,BMI (SD)
smoking_status,1.2556169358333,1.20830707238341,1.30477916217239,3.40957782673447e-31,comorbidity,Smoking status
vaccine_status,0.624609413559152,0.5910122203829,0.660116501912514,1.73437105449915e-62,meds,Vaccine status
prop_score_z,1.11568414509482,1.04543477106971,1.19065401884643,0.000970158899099279,meds,AT propensity score (sd)
