var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,0.915813568221158,0.870562517177338,0.963416727907571,0.000670218266246603,meds,Any AT vs no AT
age_z,2.16161110639702,2.09900115109163,2.22608861975558,0,dem,Age (SD)
female,0.615536666107008,0.593196979726519,0.638717660863358,5.75915621246931e-146,dem,Female
ethnicity_catBlack or Black British,1.08430378252003,0.927707897412248,1.26733284912932,0.309129929591247,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.11011359208537,1.00307351511106,1.2285761400013,0.043457634226618,eth 1),Asian or asian british
ethnicity_catMixed,1.4275848980647,1.08105353429545,1.88519677937189,0.0120958317850144,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.42916647399556,1.19794871690399,1.70501189372415,7.3151725828998e-05,eth 1),Other
region_catNorth West,0.88659522857795,0.834905611105574,0.941484988100999,8.58923196394139e-05,reg 3),North West
region_catEast of England,1.06458650924919,0.994680214048607,1.13940583080703,0.0709117100565679,reg 3),East of England
region_catSouth West,0.857597754950376,0.789908639864373,0.931087308302141,0.000250158784059717,reg 3),South West
region_catYorkshire and The Humber,0.838355698121055,0.784771754575686,0.895598334769397,1.67747777721708e-07,reg 3),The Humber
region_catWest Midlands,0.545184076252643,0.512550974232017,0.579894863032495,1.09825233260844e-82,reg 3),West Midlands
region_catEast Midlands,0.770460422241955,0.717951342464967,0.82680987851237,4.46452912979781e-13,reg 3),East Midlands
region_catLondon,0.975714381832328,0.912742243356252,1.04303110965234,0.470135736549958,reg 3),London
region_catNorth East,0.847434690876126,0.777009302234811,0.924243188897233,0.000184294258778853,reg 3),North East
imd_decile_cat9,0.98909064058962,0.914181763098397,1.07013761900727,0.78486397257448,imd 2),IMD dec 9
imd_decile_cat8,0.977374302992553,0.903331712066683,1.05748587743553,0.56910478564639,imd 2),IMD dec 8
imd_decile_cat7,1.00030130627883,0.924121653556172,1.08276080264178,0.994052541316776,imd 2),IMD dec 7
imd_decile_cat6,1.03077237410403,0.952897593060739,1.11501140831231,0.449535827812161,imd 2),IMD dec 6
imd_decile_cat5,1.04520009465667,0.965582063355764,1.13138311007318,0.274141140733282,imd 2),IMD dec 5
imd_decile_cat4,1.05423809968608,0.974418258197752,1.14059641378781,0.188560445797668,imd 2),IMD dec 4
imd_decile_cat3,1.14705704496539,1.06018023724863,1.24105300040239,0.000639647296421931,imd 2),IMD dec 3
imd_decile_cat2,1.11082389089661,1.02601336166791,1.20264488035592,0.00949447773725584,imd 2),IMD dec 2
imd_decile_cat1,1.15869740651975,1.06913884502424,1.25575802069484,0.000332170240053336,imd 2),IMD dec 1
congestive_heart_failure_chads,1.27036002643514,1.21424714614996,1.3290659993571,2.9930675735835e-25,comorbidity,Congestive heart failure
hypertension_chads,1.00568569537862,0.967056228412668,1.04585823261724,0.776636955281805,comorbidity,Hypertension
vascular_disease_chads,1.21232935494656,1.1578649292881,1.2693557147195,2.21238060707778e-16,comorbidity,Vascular disease
diabetes_chads,1.21077886785466,1.1660429980864,1.25723105344249,2.34402992898126e-23,comorbidity,Diabetes
renal_disease_hasbled,1.20748976217067,1.16559170011129,1.25089388128603,1.26217678007846e-25,comorbidity,Renal disease
liver_disease_hasbled,0.958832890462468,0.803623202756458,1.14401937211267,0.6407912494798,comorbidity,Liver disease
alcohol_hasbled,0.851763755966823,0.764119869059563,0.949460320763045,0.00377866832774752,comorbidity,Hazardous alcohol use
stroke_hasbled,1.14089970223626,1.08731232463683,1.19712809380465,7.85962254001985e-08,comorbidity,Stroke
bleeding_hasbled,1.06966018672312,1.02892950374908,1.11200321391461,0.000674434818114938,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.61495525092951,0.571182003799158,0.66208311559261,4.20335651982722e-38,comorbidity,Uncontrolled hypertension
fall,1.16156612293771,1.11453192252693,1.21058520683506,1.2332405699928e-12,comorbidity,Fall
antihypertensives,0.940528600579532,0.892958535149084,0.990632838690998,0.0205931393910508,meds,Antihypertensives
lipid_regulating_drugs,0.978167608089074,0.909952772870686,1.05149618534178,0.549504901110956,meds,Lipid regulating drugs
proton_pump_inhibitors,1.01477528359467,0.975594758728015,1.05552932401692,0.465339120705382,meds,Proton pump inhibitors
nsaids,0.736225657969431,0.62973175546408,0.860728738465912,0.000122377256799145,meds,NSAIDs
corticosteroids,1.38153294019768,1.3107285661774,1.45616210259122,2.18110728865208e-33,meds,Corticosteroids
other_immunosuppressants,1.41424519292186,1.24407546133702,1.60769143662159,1.16606432502772e-07,meds,Other immunosuppressants
bmi_z,1.04106792848158,1.01989648934232,1.06267885323523,0.000123364116742533,comorbidity,BMI (SD)
smoking_status,1.23659360088242,1.19056502531899,1.28440169266154,5.17498951441391e-28,comorbidity,Smoking status
vaccine_status,0.531866704927151,0.502816418871934,0.562595375156424,1.44456531197458e-107,meds,Vaccine status
prop_score_z,0.935655430949858,0.883801300621864,0.990551931582333,0.0222368625725909,meds,AT propensity score (sd)
