var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,0.838363850652882,0.777898854532654,0.903528706831416,3.90858677733189e-06,meds,Any AT vs no AT
age_z,1.92287924599228,1.84007831606168,2.00940610103027,2.3832653270771e-186,dem,Age (SD)
female,0.667401687427917,0.630867979167134,0.70605107104925,5.17326765234869e-45,dem,Female
ethnicity_catBlack or Black British,1.0838450920054,0.846163204025923,1.388290317843,0.523830132431382,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.23698837267431,1.05741634290463,1.44705559394728,0.0078703910167657,eth 1),Asian or asian british
ethnicity_catMixed,1.7897849041258,1.16283824848642,2.75475115064898,0.00815352141711888,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.50813874968983,1.17008211610989,1.94386569711691,0.0015089737371925,eth 1),Other
region_catNorth West,1.08422713350192,0.986218399554442,1.1919758113952,0.0943500206698261,reg 3),North West
region_catEast of England,1.28455460974804,1.14425288680464,1.44205932486904,2.20104063885856e-05,reg 3),East of England
region_catSouth West,1.12842878619658,0.990211173235143,1.28593936317331,0.0699233216192771,reg 3),South West
region_catYorkshire and The Humber,0.903020147517933,0.813804372146256,1.00201647316385,0.0546045932780361,reg 3),The Humber
region_catWest Midlands,0.589479650558147,0.533229279557815,0.651663874703788,5.21629895001975e-25,reg 3),West Midlands
region_catEast Midlands,0.915631821983575,0.817802747425983,1.0251636303103,0.126294075513696,reg 3),East Midlands
region_catLondon,1.18500261765606,1.0620020996903,1.32224899014908,0.00239872924143922,reg 3),London
region_catNorth East,0.968186517805034,0.849519562748423,1.10342972000168,0.62794174923963,reg 3),North East
imd_decile_cat9,0.909106995181588,0.803537238833741,1.02854664195483,0.130266833331643,imd 2),IMD dec 9
imd_decile_cat8,0.972218487704235,0.860191171409411,1.09883572309304,0.651946278062846,imd 2),IMD dec 8
imd_decile_cat7,0.936531251981967,0.827780013602785,1.05956989964219,0.297788307008262,imd 2),IMD dec 7
imd_decile_cat6,0.943089677929472,0.833485096789217,1.06710743124666,0.352603422608063,imd 2),IMD dec 6
imd_decile_cat5,1.02117099270524,0.902293647864554,1.1557104483785,0.7400650951647,imd 2),IMD dec 5
imd_decile_cat4,1.06878157207084,0.945836100571899,1.20770823624466,0.286036940965038,imd 2),IMD dec 4
imd_decile_cat3,1.14134834399145,1.01172532239587,1.2875787661884,0.0315958712970286,imd 2),IMD dec 3
imd_decile_cat2,1.16056385333691,1.02840794230325,1.30970250449023,0.0157741281837572,imd 2),IMD dec 2
imd_decile_cat1,1.20702145184846,1.06851238529614,1.36348516430024,0.00248186791539216,imd 2),IMD dec 1
congestive_heart_failure_chads,1.1894113260559,1.11146355842489,1.27282562871867,5.28241368816757e-07,comorbidity,Congestive heart failure
hypertension_chads,0.986904865278931,0.930143177606577,1.04713041664989,0.662726346221549,comorbidity,Hypertension
vascular_disease_chads,1.10782054288195,1.03272155336567,1.18838069296759,0.0042504553419355,comorbidity,Vascular disease
diabetes_chads,1.21882979939504,1.15116390300405,1.29047312551818,1.11719344185625e-11,comorbidity,Diabetes
renal_disease_hasbled,1.17685558056531,1.11503858763867,1.24209966620145,3.31269288460292e-09,comorbidity,Renal disease
liver_disease_hasbled,1.10416038949773,0.853299885200162,1.4287710415545,0.451139441053928,comorbidity,Liver disease
alcohol_hasbled,0.810533647155389,0.686476302727243,0.957010155428552,0.0131972806401266,comorbidity,Hazardous alcohol use
stroke_hasbled,1.14552753858009,1.06456333382087,1.23264938774057,0.00028029210333427,comorbidity,Stroke
bleeding_hasbled,1.04224829261302,0.980865395422836,1.10747255283329,0.18150522898358,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.306606266570389,0.262041387071393,0.358750210227746,2.96611218466518e-49,comorbidity,Uncontrolled hypertension
fall,1.16849593459538,1.09749394741527,1.24409137050966,1.12414570286802e-06,comorbidity,Fall
antihypertensives,0.881521445485082,0.814120479932823,0.954502531264451,0.00188760711840147,meds,Antihypertensives
lipid_regulating_drugs,0.954165634345298,0.854205889896019,1.06582273493383,0.405999363643645,meds,Lipid regulating drugs
proton_pump_inhibitors,1.01002108574287,0.951865598751479,1.07172965908557,0.741739715735569,meds,Proton pump inhibitors
nsaids,0.679702199444479,0.529891357165322,0.871867551116755,0.00237097593881778,meds,NSAIDs
corticosteroids,1.30298439234937,1.20502872725879,1.40890278239934,3.19818079757488e-11,meds,Corticosteroids
other_immunosuppressants,1.12787405340612,0.921968719265708,1.37976468589944,0.241992075760035,meds,Other immunosuppressants
bmi_z,1.04904389973314,1.01677040706948,1.08234179114156,0.00267214477557812,comorbidity,BMI (SD)
smoking_status,1.23152497460683,1.16196030669053,1.30525436570209,2.22062938843176e-12,comorbidity,Smoking status
prop_score_z,0.983231977837152,0.90196846522955,1.07181698641263,0.700828817898915,meds,AT propensity score (sd)
