var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,1.20092572015989,1.14747505598595,1.25686617571163,3.22332986507273e-15,meds,Any AT vs no AT
age_z,1.46107985694872,1.42797950735478,1.49494746765361,9.95996940180957e-231,dem*,Age (SD)
female,0.660883105883805,0.639729140599574,0.68273657072003,1.97993551828001e-137,dem*,Female
ethnicity_catBlack or Black British,1.39945004649012,1.21840670808741,1.6073946569906,1.98673383909319e-06,eth**,Black or black british
ethnicity_catAsian or Asian British,0.9731359986456,0.892976066283711,1.06049166110472,0.534684239588367,eth**,Asian or asian british
ethnicity_catMixed,1.06915365692231,0.83443794852435,1.36989160683768,0.596980586780566,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.17381831797413,0.995885082705315,1.38354260701315,0.0560302013615245,eth**,Other
region_catNorth West,1.01635728695145,0.962726051202056,1.07297619447352,0.557473037317407,reg****,North West
region_catEast of England,1.00786604466546,0.947336982658403,1.07226254499122,0.804174422466253,reg****,East of England
region_catSouth West,0.800106092682318,0.743261473751675,0.861298186647634,3.01098728350704e-09,reg****,South West
region_catYorkshire and The Humber,0.848410156088124,0.799881608011097,0.899882914851929,4.49387061247571e-08,reg****,The Humber
region_catWest Midlands,0.474266223099065,0.449446566696597,0.500456488133531,6.31158446197906e-163,reg****,West Midlands
region_catEast Midlands,0.772824667404953,0.726039053539915,0.822625124141123,6.06035984948569e-16,reg****,East Midlands
region_catLondon,1.3165251509193,1.23912086457551,1.39876465852009,5.8408009671222e-19,reg****,London
region_catNorth East,0.76923492546518,0.711861886229398,0.831231987555431,3.26825245791516e-11,reg****,North East
imd_decile_cat2,0.954019590818442,0.894493353129355,1.01750714690193,0.1521503846755,imd***,IMD dec 2
imd_decile_cat3,0.857723593588528,0.803914607192099,0.915134215023191,3.43701867526164e-06,imd***,IMD dec 3
imd_decile_cat4,0.840580336068031,0.787065696205969,0.897733575215223,2.28709275252449e-07,imd***,IMD dec 4
imd_decile_cat5,0.826988360724879,0.774128714458694,0.883457409602283,1.73248808423861e-08,imd***,IMD dec 5
imd_decile_cat6,0.796029781901874,0.74487818696382,0.850694012476865,1.67475852268082e-11,imd***,IMD dec 6
imd_decile_cat7,0.785193893607588,0.734963441492239,0.838857303305955,7.53356306537203e-13,imd***,IMD dec 7
imd_decile_cat8,0.769073331565228,0.719559254401513,0.821994555287588,1.0486420817202e-14,imd***,IMD dec 8
imd_decile_cat9,0.713551755637798,0.667057682816269,0.76328647595237,9.46546456755483e-23,imd***,IMD dec 9
imd_decile_cat10,0.781719338564056,0.727959999000938,0.839448767959348,1.25093843798194e-11,imd***,IMD dec 10
congestive_heart_failure_chads,1.25795510183555,1.20800150416069,1.30997439389246,1.24966516896143e-28,comorbidity,Congestive heart failure
hypertension_chads,1.02070364465831,0.985833133298044,1.05680758236778,0.247904678831735,comorbidity,Hypertension
vascular_disease_chads,1.12993557324311,1.08378708475367,1.17804909990271,9.36457627949318e-09,comorbidity,Vascular disease
diabetes_chads,1.2439201048164,1.20294672422073,1.28628907333266,2.33555195396745e-37,comorbidity,Diabetes
liver_disease_hasbled,1.24970552094341,1.07000676400758,1.45958319293894,0.00488921639681472,comorbidity,Liver disease
renal_disease_hasbled,1.20150780757462,1.16374253229817,1.24049862542353,1.92305727945938e-29,comorbidity,Renal disease
alcohol_hasbled,1.03805014794987,0.948073747497707,1.13656570757577,0.419509249765428,comorbidity,Hazardous alcohol use
stroke_hasbled,0.915023236789401,0.876533815747205,0.955202764368902,5.11626965561357e-05,comorbidity,Stroke
bleeding_hasbled,1.18464949286311,1.14406483472728,1.22667385478669,1.61688307590266e-21,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.996119789939829,0.937804809517501,1.058060937457,0.899484868367428,comorbidity,Uncontrolled hypertension
antihypertensives,1.08450567589104,1.03400477941065,1.1374730411887,0.000854824011427781,meds,Antihypertensives
lipid_regulating_drugs,1.11252715329176,1.04129514912213,1.18863193385174,0.00158544600983515,meds,Lipid regulating drugs
proton_pump_inhibitors,1.04297740879409,1.00722159385748,1.08000253557785,0.0180664218189779,meds,Proton pump inhibitors
nsaids,0.917792402647725,0.810820565254646,1.03887707151747,0.174862798084024,meds,NSAIDs
corticosteroids,1.62861231332239,1.55054479769345,1.71061040677505,2.382091930791e-84,meds,Corticosteroids
other_immunosuppressants,1.41007511414825,1.25001555729924,1.59062966531082,2.27008338052589e-08,meds,Other immunosuppressants
bmi_z,1.12334988239118,1.10368708750024,1.14336298083037,3.95427558658914e-38,dem*,BMI (SD)
smoking_status,1.21895552304347,1.17951384915206,1.25971608406831,3.99412437728416e-32,dem*,Smoking status
vaccine_status,0.569844484958875,0.544034374060179,0.596879080662881,5.2711013995137e-125,meds,Vaccine status
prop_score_z,1.00350002515333,0.953345062978286,1.05629361244794,0.893750188160093,meds,AT propensity score (sd)
