var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
any_at,1.10544256291038,1.03630695860209,1.1791904413556,0.00234788205480761,meds,Any AT vs no AT
age_z,1.30688881512881,1.26507236743538,1.3500874883318,1.54311014718633e-58,dem,Age (SD)
female,0.683350090267359,0.652927059809269,0.715190676895542,2.40513376349767e-60,dem,Female
ethnicity_catBlack or Black British,1.74763047367383,1.43956585259911,2.12162039478713,1.67690746544158e-08,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.1387079869138,1.00564829398236,1.28937312102079,0.0404813799495587,eth 1),Asian or asian british
ethnicity_catMixed,1.48175052483955,1.0246241009633,2.1428196114049,0.0366890487534965,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.33808739301617,1.07180378387849,1.67052766399992,0.0100981260227513,eth 1),Other
region_catNorth West,1.00878760248191,0.932982849662356,1.09075148304118,0.826247431381395,reg 3),North West
region_catEast of England,1.24661822922442,1.13105065161712,1.37399417719508,8.95850638801363e-06,reg 3),East of England
region_catSouth West,0.876189802661245,0.784109022281484,0.979083964693821,0.0196436351497303,reg 3),South West
region_catYorkshire and The Humber,0.857369642109117,0.788081383004197,0.93274973760724,0.000344647262348839,reg 3),The Humber
region_catWest Midlands,0.525476478530467,0.484997779696337,0.569333595014942,9.0496287105919e-56,reg 3),West Midlands
region_catEast Midlands,0.769792922395539,0.702115210037727,0.843994169188306,2.51286079828762e-08,reg 3),East Midlands
region_catLondon,1.53307916621337,1.40029188013285,1.67845844371712,2.38277615393321e-20,reg 3),London
region_catNorth East,0.782071799013532,0.701817655794486,0.87150315151286,8.60117830492066e-06,reg 3),North East
imd_decile_cat9,0.890334558491526,0.804724404457822,0.98505230070458,0.0243260055548738,imd 2),IMD dec 9
imd_decile_cat8,1.00804708979449,0.912225484446595,1.1139339478765,0.875029760939621,imd 2),IMD dec 8
imd_decile_cat7,0.942794794173253,0.852762346616464,1.0423326351673,0.250012741364901,imd 2),IMD dec 7
imd_decile_cat6,0.963373425541042,0.871354148156339,1.06511039053683,0.466317278940497,imd 2),IMD dec 6
imd_decile_cat5,1.03040612469419,0.931381907010763,1.13995856459666,0.561218819200255,imd 2),IMD dec 5
imd_decile_cat4,1.03636119120385,0.937601576516852,1.14552337105008,0.484554865494423,imd 2),IMD dec 4
imd_decile_cat3,1.05261033097669,0.953138371055998,1.16246343922897,0.311374667324948,imd 2),IMD dec 3
imd_decile_cat2,1.15032089995654,1.04195776680145,1.26995374960239,0.0055342540741066,imd 2),IMD dec 2
imd_decile_cat1,1.22506853341817,1.10903330433258,1.35324422243075,6.3789956608665e-05,imd 2),IMD dec 1
congestive_heart_failure_chads,1.14451809431114,1.08299731343911,1.20953362667713,1.68141035004619e-06,comorbidity,Congestive heart failure
hypertension_chads,0.980481023996962,0.933848382540077,1.02944231246968,0.427867140039459,comorbidity,Hypertension
vascular_disease_chads,1.08565430369807,1.02498745757983,1.14991189250366,0.00509143377933825,comorbidity,Vascular disease
diabetes_chads,1.2246802597334,1.16906745014166,1.28293858356839,1.25465656138508e-17,comorbidity,Diabetes
renal_disease_hasbled,1.15549793944198,1.10506921912085,1.20822792360181,2.17910529229264e-10,comorbidity,Renal disease
liver_disease_hasbled,1.14451141194963,0.929958194053217,1.40856479405135,0.202530974642758,comorbidity,Liver disease
alcohol_hasbled,1.02463708842517,0.907903275783606,1.15637997017939,0.693300705032166,comorbidity,Hazardous alcohol use
stroke_hasbled,0.912646240598394,0.859167101378251,0.969454206454402,0.00300845570662708,comorbidity,Stroke
bleeding_hasbled,1.10979797167269,1.05622086892353,1.16609278813443,3.68225099743986e-05,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.771151174362767,0.70262573710802,0.846359736505997,4.41949009734866e-08,comorbidity,Uncontrolled hypertension
fall,1.04807744091156,0.993172393487122,1.1060177763207,0.0871888115844448,comorbidity,Fall
antihypertensives,0.978959495648629,0.91636715728889,1.04582719546166,0.528174203044551,meds,Antihypertensives
lipid_regulating_drugs,1.02074257621387,0.930917509058294,1.11923494483385,0.662232974380734,meds,Lipid regulating drugs
proton_pump_inhibitors,0.984316495473525,0.937949299266563,1.03297583783996,0.520803466940801,meds,Proton pump inhibitors
nsaids,1.02621256827852,0.866960722307063,1.21471735477286,0.763621172996106,meds,NSAIDs
corticosteroids,1.55804111831045,1.46119065685726,1.66131101027374,8.81463913897887e-42,meds,Corticosteroids
other_immunosuppressants,1.47073512079315,1.2541199907635,1.72476462496829,2.08068071557611e-06,meds,Other immunosuppressants
bmi_z,1.11745769803581,1.09058298143339,1.14499467547005,3.84479713128448e-19,comorbidity,BMI (SD)
smoking_status,1.2202832434849,1.1644546978762,1.27878842950775,7.93849965844048e-17,comorbidity,Smoking status
prop_score_z,1.08147081417653,1.00636778460447,1.1621786187992,0.0329396611620265,meds,AT propensity score (sd)
