var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
dabigatran,0.743969348255181,0.619462034876494,0.893501715974557,0.00155067617098819,meds,Dabigatran vs Factor Xa
age_z,1.85222817112407,1.72895269777339,1.98429326743518,6.9848415078496e-69,dem,Age (SD)
female,0.540176775034425,0.49266797342777,0.592266930315029,2.82801766317891e-39,dem,Female
ethnicity_catBlack or Black British,0.863749932492027,0.59975723077605,1.24394322835361,0.431257798573573,eth 1),Black or black british
ethnicity_catAsian or Asian British,0.80719847778681,0.629464974861825,1.03511618368341,0.0914176266510481,eth 1),Asian or asian british
ethnicity_catMixed,2.26124399346134,1.20303045908389,4.25028673160838,0.0112753728033888,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.81441667477441,1.31108241567242,2.51098468742027,0.000325847531483213,eth 1),Other
region_catNorth West,0.989858258529425,0.872833384525054,1.1225732073849,0.873831589729716,reg 3),North West
region_catEast of England,1.07275841272599,0.92486886367553,1.24429598321749,0.353413369936125,reg 3),East of England
region_catSouth West,0.869447174694835,0.737866421807615,1.02449219430929,0.0947311950644944,reg 3),South West
region_catYorkshire and The Humber,0.898309704042351,0.788625165423769,1.02324952303929,0.106517179019431,reg 3),The Humber
region_catWest Midlands,0.703917461240348,0.581266958653887,0.852447889669402,0.000325266865546416,reg 3),West Midlands
region_catEast Midlands,0.664425672611746,0.573931861841388,0.769187953791585,4.42790790818739e-08,reg 3),East Midlands
region_catLondon,0.875202345905649,0.727192117616795,1.05333807631066,0.158474808690717,reg 3),London
region_catNorth East,1.02354135939268,0.855337699549733,1.22482256416256,0.799471814079197,reg 3),North East
imd_decile_cat9,0.863187954034016,0.73702346251354,1.01094942276107,0.0680180371974676,imd 2),IMD dec 9
imd_decile_cat8,0.796685365650236,0.667699273484974,0.950588980767453,0.0116595168864391,imd 2),IMD dec 8
imd_decile_cat7,0.84718986424348,0.723518857816551,0.991999943502326,0.0394243723646156,imd 2),IMD dec 7
imd_decile_cat6,0.85981484833556,0.725578004992335,1.01888641652817,0.0811713351368554,imd 2),IMD dec 6
imd_decile_cat5,0.876378627027859,0.73898025121549,1.03932344152357,0.129353188752677,imd 2),IMD dec 5
imd_decile_cat4,0.825450705380933,0.690674940921489,0.986526116185432,0.0349345812779812,imd 2),IMD dec 4
imd_decile_cat3,0.925404426522736,0.779832917983601,1.09814978680585,0.37465758463827,imd 2),IMD dec 3
imd_decile_cat2,0.847025544073764,0.696208077341213,1.03051414607738,0.0970116297008025,imd 2),IMD dec 2
imd_decile_cat1,0.753685630793725,0.59824216914281,0.949518538418736,0.0164169607619072,imd 2),IMD dec 1
congestive_heart_failure_chads,1.10172888770397,1.02469478265937,1.18455423267723,0.00880378304830712,comorbidity,Congestive heart failure
hypertension_chads,0.9491495583837,0.87174350375466,1.03342884724669,0.229214007505493,comorbidity,Hypertension
vascular_disease_chads,1.24172933761114,1.14217071386522,1.34996610328616,3.82606655222223e-07,comorbidity,Vascular disease
diabetes_chads,1.07426707364658,0.987051328328615,1.16918919249656,0.097262217130211,comorbidity,Diabetes
renal_disease_hasbled,1.03566424834552,0.956638890307015,1.12121767802777,0.38685908432665,comorbidity,Renal disease
liver_disease_hasbled,1.38621170460105,0.977476718520115,1.96586051981085,0.0669278164848575,comorbidity,Liver disease
alcohol_hasbled,0.77961055164364,0.635809208364379,0.955935529461187,0.0167042956103856,comorbidity,Hazardous alcohol use
stroke_hasbled,1.37951778535278,1.23041070201029,1.54669438179897,3.53169765618289e-08,comorbidity,Stroke
bleeding_hasbled,0.995816520145473,0.927601247835973,1.06904830508593,0.907818012031589,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.270637371901602,0.223746697735124,0.327354941150973,2.56672549186769e-41,comorbidity,Uncontrolled hypertension
fall,1.03011358181158,0.933216646884233,1.13707143456509,0.556100444864228,comorbidity,Fall
antihypertensives,1.02480695374279,0.936621773185013,1.12129498000909,0.593509587265702,meds,Antihypertensives
lipid_regulating_drugs,0.92881630482088,0.86202589801697,1.00078168194911,0.0524475456194313,meds,Lipid regulating drugs
proton_pump_inhibitors,1.09266330273295,1.003299975821,1.189986167559,0.0417862383440709,meds,Proton pump inhibitors
nsaids,0.66005416250224,0.4922994016655,0.884972632431833,0.00549084631896467,meds,NSAIDs
corticosteroids,1.2357880311782,1.10969395566996,1.37621012550374,0.0001155147240402,meds,Corticosteroids
other_immunosuppressants,1.27198492719831,0.99076666850465,1.63302390608439,0.0591337689386997,meds,Other immunosuppressants
bmi_z,1.1186409586795,1.06479436946983,1.17521056676742,8.41892512349136e-06,comorbidity,BMI (SD)
smoking_status,1.26547907638645,1.17521920366897,1.36267114064534,4.4752853232047e-10,comorbidity,Smoking status
prop_score_z,0.704843712078818,0.60512492070714,0.820995205215626,6.98232555605022e-06,meds,AT propensity score (sd)
