var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
dabigatran,0.774408509939335,0.669240788729719,0.896102793442645,0.000596784120749165,meds,Dabigatran vs Factor Xa
age_z,1.96913159023437,1.86680743087509,2.07706438035837,1.02198401645481e-136,dem,Age (SD)
female,0.603319882058349,0.563859938741081,0.645541303926619,1.52341896118507e-48,dem,Female
ethnicity_catBlack or Black British,0.923489216792763,0.702173250271568,1.21456112605069,0.569079808036616,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.07944966506557,0.902022400896296,1.29177676546875,0.404021268147165,eth 1),Asian or asian british
ethnicity_catMixed,1.75868097515036,1.14007120915269,2.71295226782767,0.0106893058176006,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.33946778069232,1.02377113942028,1.75251466507328,0.0330663157248905,eth 1),Other
region_catNorth West,0.961034206555719,0.8747841299912,1.05578818191349,0.40742900560837,reg 3),North West
region_catEast of England,1.11443751946513,0.996299138741381,1.24658442078005,0.0580773955943487,reg 3),East of England
region_catSouth West,0.80895005991368,0.7127964720487,0.918074408468222,0.00102384134574983,reg 3),South West
region_catYorkshire and The Humber,0.799190300039755,0.714670937172778,0.893705203970287,8.47724671738707e-05,reg 3),The Humber
region_catWest Midlands,0.695187515763713,0.623201605530126,0.77548850610328,7.08237562565324e-11,reg 3),West Midlands
region_catEast Midlands,0.808695772190779,0.713973304957086,0.915985019914083,0.000835942568562153,reg 3),East Midlands
region_catLondon,0.879028864658367,0.737883790257264,1.0471726782793,0.148791025549051,reg 3),London
region_catNorth East,0.879387676648088,0.766810867188725,1.00849207924722,0.0659190128662179,reg 3),North East
imd_decile_cat9,0.940897225361989,0.831832400357035,1.06426196949519,0.332464064426635,imd 2),IMD dec 9
imd_decile_cat8,0.97012133425558,0.857894964904524,1.09702870593554,0.628668226539142,imd 2),IMD dec 8
imd_decile_cat7,0.980253367099375,0.866921592050999,1.10840088944645,0.750363734443733,imd 2),IMD dec 7
imd_decile_cat6,1.0298253987046,0.909068508786581,1.16662313298334,0.644199859512363,imd 2),IMD dec 6
imd_decile_cat5,1.03005276576588,0.910119607668903,1.16579039867024,0.639200027543917,imd 2),IMD dec 5
imd_decile_cat4,0.99448683515784,0.876884754129454,1.12786094255238,0.931388785222024,imd 2),IMD dec 4
imd_decile_cat3,1.07741199961182,0.951212627326793,1.22035450703572,0.240773943695854,imd 2),IMD dec 3
imd_decile_cat2,1.05223793527241,0.913818106515912,1.21162479111707,0.479202960193184,imd 2),IMD dec 2
imd_decile_cat1,1.06961271362341,0.922022863442644,1.24082753530981,0.374370297556165,imd 2),IMD dec 1
congestive_heart_failure_chads,1.13323574298974,1.06961447675248,1.2006412376622,2.20700481227698e-05,comorbidity,Congestive heart failure
hypertension_chads,0.977125544418244,0.91495572355543,1.04351970808433,0.490255430649944,comorbidity,Hypertension
vascular_disease_chads,1.15482194470733,1.07920971929745,1.23573175827752,3.09595418377163e-05,comorbidity,Vascular disease
diabetes_chads,1.1443475512701,1.06463917351341,1.2300236086338,0.000251891390886658,comorbidity,Diabetes
renal_disease_hasbled,1.10762678888154,1.0398552192174,1.17981530579936,0.00150795210959506,comorbidity,Renal disease
liver_disease_hasbled,1.05338208146782,0.787771622500612,1.40854757630802,0.725728312452859,comorbidity,Liver disease
alcohol_hasbled,0.791826903619716,0.661542784437557,0.947769154233999,0.0109329833718921,comorbidity,Hazardous alcohol use
stroke_hasbled,1.19851788949079,1.08850913927854,1.31964452993158,0.000227383694358861,comorbidity,Stroke
bleeding_hasbled,1.00940240219557,0.956172454323388,1.06559565165385,0.734932487770059,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.657856211814704,0.585202457111224,0.73953003813335,2.32536202091032e-12,comorbidity,Uncontrolled hypertension
fall,1.12788409997538,1.05493805309328,1.20587416412477,0.000419141052044354,comorbidity,Fall
antihypertensives,0.984275960810377,0.912890174861043,1.0612439411747,0.679914644932598,meds,Antihypertensives
lipid_regulating_drugs,0.917584399069392,0.864394762091077,0.974047005304302,0.00475704522954543,meds,Lipid regulating drugs
proton_pump_inhibitors,1.0192462735554,0.959717687172093,1.08246725057,0.534685908248744,meds,Proton pump inhibitors
nsaids,0.707699588968615,0.555228182020315,0.90204122277068,0.00522654184438708,meds,NSAIDs
corticosteroids,1.35373675306233,1.24596624388965,1.47082892941845,8.32945580459759e-13,meds,Corticosteroids
other_immunosuppressants,1.25837178706212,1.02607229326079,1.54326314517437,0.027303539405572,meds,Other immunosuppressants
bmi_z,1.07209735316702,1.03742377080874,1.10792982290323,3.32051337177114e-05,comorbidity,BMI (SD)
smoking_status,1.21101950504354,1.14124380515442,1.28506129450354,2.55733999750138e-10,comorbidity,Smoking status
vaccine_status,0.616924486760206,0.564860783534928,0.673786946196822,6.79999649481921e-27,meds,Vaccine status
prop_score_z,0.885234074033667,0.795556734325613,0.985020089729399,0.0252912281956789,meds,AT propensity score (sd)
