var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
dabigatran,0.877751760912617,0.789906245934735,0.975366580211669,0.015369523836751,meds,Dabigatran vs Factor Xa
age_z,1.45407310285498,1.3984038486964,1.51195850212891,8.11832154469168e-79,dem,Age (SD)
female,0.646456765692829,0.612851534789852,0.68190471294705,9.76116719424248e-58,dem,Female
ethnicity_catBlack or Black British,1.27062893198183,1.02104337086813,1.58122360798108,0.0318246238597487,eth 1),Black or black british
ethnicity_catAsian or Asian British,0.902336375993204,0.785761457534883,1.03620625271557,0.14537878718869,eth 1),Asian or asian british
ethnicity_catMixed,1.55442955068749,1.07522331196455,2.24720874367552,0.0189943839572248,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.17964950637644,0.940546274269266,1.47953694141773,0.152833346741428,eth 1),Other
region_catNorth West,1.00887378986905,0.934943165370913,1.08865047800092,0.82001564221769,reg 3),North West
region_catEast of England,1.00403119749734,0.915363464620941,1.10128783211311,0.932035584587149,reg 3),East of England
region_catSouth West,0.780103212153845,0.706087921502982,0.861877116262463,1.04766322528947e-06,reg 3),South West
region_catYorkshire and The Humber,0.884275617630864,0.809727845819203,0.965686646413096,0.00620026377388543,reg 3),The Humber
region_catWest Midlands,0.573600523638373,0.526982782785433,0.624342144498825,8.39773589236371e-38,reg 3),West Midlands
region_catEast Midlands,0.717536625391453,0.650162625293224,0.791892349311763,4.16716107590905e-11,reg 3),East Midlands
region_catLondon,1.08146931456858,0.942699401056713,1.24066683085021,0.263652900548658,reg 3),London
region_catNorth East,0.794849755673705,0.712379414484337,0.886867477146112,3.98917589672172e-05,reg 3),North East
imd_decile_cat9,0.885348136358614,0.802978025572847,0.976167837213822,0.0145221569752313,imd 2),IMD dec 9
imd_decile_cat8,1.02298992266636,0.927929298797366,1.12778892016153,0.647830643727551,imd 2),IMD dec 8
imd_decile_cat7,1.00971880648511,0.916301050030348,1.11266059133726,0.845187212019696,imd 2),IMD dec 7
imd_decile_cat6,1.01615548854553,0.919879714139525,1.12250760727678,0.752331335695375,imd 2),IMD dec 6
imd_decile_cat5,1.06189585499648,0.962531675684506,1.17151760855744,0.230874186191912,imd 2),IMD dec 5
imd_decile_cat4,1.03801234901712,0.939539869055887,1.14680565689539,0.463181459311544,imd 2),IMD dec 4
imd_decile_cat3,1.05545188004947,0.955636418370442,1.16569298708763,0.286998927774226,imd 2),IMD dec 3
imd_decile_cat2,1.1480681701056,1.02652461598642,1.28400284092852,0.0155851060769959,imd 2),IMD dec 2
imd_decile_cat1,1.13967030613115,1.0136372915799,1.28137393667968,0.0287794473885344,imd 2),IMD dec 1
congestive_heart_failure_chads,1.27464012660812,1.216277715841,1.33580302524588,3.390769020111e-24,comorbidity,Congestive heart failure
hypertension_chads,0.971968073328067,0.922444331610812,1.02415062155497,0.286606362864352,comorbidity,Hypertension
vascular_disease_chads,1.17122205364364,1.10672082722474,1.23948250109389,4.53963502890317e-08,comorbidity,Vascular disease
diabetes_chads,1.17571897459865,1.1101342156057,1.24517836474133,3.24629796859999e-08,comorbidity,Diabetes
renal_disease_hasbled,1.11766367323627,1.06221997780256,1.17600131100544,1.82595906267563e-05,comorbidity,Renal disease
liver_disease_hasbled,1.2010548619453,0.955151073351838,1.51026661818038,0.117024822964752,comorbidity,Liver disease
alcohol_hasbled,1.0514040479432,0.920260718433996,1.20123618219029,0.460851083267744,comorbidity,Hazardous alcohol use
stroke_hasbled,1.01425952379084,0.939405536391745,1.09507804856222,0.717377636188691,comorbidity,Stroke
bleeding_hasbled,1.14525130406541,1.0966505952563,1.19600587018054,8.78757870240481e-10,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.98342780349775,0.902281192025936,1.0718723311974,0.703702233070253,comorbidity,Uncontrolled hypertension
fall,0.973723187652998,0.920991249068381,1.02947432685402,0.348560501727339,comorbidity,Fall
antihypertensives,1.19148483097023,1.12283915302906,1.264327217841,7.17513924686436e-09,meds,Antihypertensives
lipid_regulating_drugs,1.10789112526985,1.0566567292437,1.1616097370905,2.22318012991187e-05,meds,Lipid regulating drugs
proton_pump_inhibitors,1.09319092249265,1.04230110704782,1.14656540700143,0.000248884869032328,meds,Proton pump inhibitors
nsaids,0.897744891469037,0.767279848967016,1.05039366176994,0.178196191133581,meds,NSAIDs
corticosteroids,1.62642732611844,1.51606747574431,1.74482065572054,6.28425970233011e-42,meds,Corticosteroids
other_immunosuppressants,1.37594880185987,1.15852606043446,1.63417567372599,0.000276055348448405,meds,Other immunosuppressants
bmi_z,1.14588677440826,1.11742157276615,1.17507709871156,2.66435008100265e-26,comorbidity,BMI (SD)
smoking_status,1.23792322908728,1.18224830504382,1.29622001958131,9.84674852733859e-20,comorbidity,Smoking status
vaccine_status,0.563473208992531,0.527778488949854,0.601582034698097,3.75694243698664e-66,meds,Vaccine status
prop_score_z,0.889919559623876,0.822895002523475,0.962403247282525,0.00350949852729422,meds,AT propensity score (sd)
