var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
dabigatran,0.718976249054882,0.613957949802598,0.84195806385638,4.21744660792946e-05,meds,Dabigatran vs Factor Xa
age_z,1.25806020503891,1.18827116207377,1.33194806877277,3.17123433380329e-15,dem,Age (SD)
female,0.632256915241529,0.583513372399975,0.685072229324544,4.07427412016168e-29,dem,Female
ethnicity_catBlack or Black British,1.34169965979903,0.974519108237953,1.84722696752425,0.0715848782156422,eth 1),Black or black british
ethnicity_catAsian or Asian British,0.86781862125915,0.705005087243108,1.06823223410931,0.181112242261396,eth 1),Asian or asian british
ethnicity_catMixed,2.49287683138574,1.42172133516917,4.37106396502121,0.00143240896146163,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.50204492317598,1.10012279765045,2.05080647002064,0.0104509110455425,eth 1),Other
region_catNorth West,1.09450442633521,0.976379570734607,1.22692032399456,0.121205737036464,reg 3),North West
region_catEast of England,1.26136048153528,1.10023753376923,1.44607888346467,0.000868641872135215,reg 3),East of England
region_catSouth West,0.774332584618857,0.66417185799977,0.902764765445281,0.0010891239911468,reg 3),South West
region_catYorkshire and The Humber,0.926169325644054,0.822713757952772,1.04263434453615,0.204398102279337,reg 3),The Humber
region_catWest Midlands,0.773516554188696,0.65536266472189,0.912972147807444,0.00239295403614837,reg 3),West Midlands
region_catEast Midlands,0.756064414234648,0.663412518317781,0.861656032541375,2.76097968606681e-05,reg 3),East Midlands
region_catLondon,1.25816402068531,1.06885379387715,1.48100396145384,0.00577486306138048,reg 3),London
region_catNorth East,0.856520310282788,0.72724275208966,1.00877876035054,0.0635587097136423,reg 3),North East
imd_decile_cat9,0.830529144098124,0.719514558276886,0.958672275997116,0.011197289768002,imd 2),IMD dec 9
imd_decile_cat8,0.886300504048145,0.757458339487918,1.0370584658254,0.132079747086504,imd 2),IMD dec 8
imd_decile_cat7,0.880401565128779,0.764393633859539,1.01401539932714,0.0772449010688294,imd 2),IMD dec 7
imd_decile_cat6,0.858756636020968,0.737748868877901,0.999612457599173,0.0494181730057418,imd 2),IMD dec 6
imd_decile_cat5,0.930065524941669,0.798925209125432,1.08273198893291,0.349824404928855,imd 2),IMD dec 5
imd_decile_cat4,0.859832066720967,0.733971862904866,1.00727455686878,0.0614557310247311,imd 2),IMD dec 4
imd_decile_cat3,0.906110093924986,0.778035380196742,1.05526756650209,0.20476847330078,imd 2),IMD dec 3
imd_decile_cat2,0.953784262642708,0.802902338704228,1.13302001477917,0.590195631331548,imd 2),IMD dec 2
imd_decile_cat1,0.884106650890978,0.723647557331054,1.08014538601154,0.228021431359393,imd 2),IMD dec 1
congestive_heart_failure_chads,1.17988299461821,1.1056241217812,1.25912943971093,6.11942245003222e-07,comorbidity,Congestive heart failure
hypertension_chads,0.895787178869619,0.830408692088765,0.966312946229875,0.00442446797281539,comorbidity,Hypertension
vascular_disease_chads,1.19205269948438,1.10439758767387,1.28666492412478,6.53862195683035e-06,comorbidity,Vascular disease
diabetes_chads,1.128502663373,1.04748313007767,1.21578880334381,0.00147078358657667,comorbidity,Diabetes
renal_disease_hasbled,1.06925186330892,0.996031559564543,1.14785474035524,0.0642995702046365,comorbidity,Renal disease
liver_disease_hasbled,1.30287050107629,0.956468187735094,1.7747286991263,0.0934006842516184,comorbidity,Liver disease
alcohol_hasbled,1.01744350059448,0.86017966022146,1.20345937572557,0.840025516512394,comorbidity,Hazardous alcohol use
stroke_hasbled,1.08238065639749,0.97906828234565,1.19659466706109,0.121944111766213,comorbidity,Stroke
bleeding_hasbled,1.04254817837688,0.978548694223908,1.11073338572995,0.197364964983742,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.806901223493742,0.710173287551571,0.916803822233905,0.000990484211983646,comorbidity,Uncontrolled hypertension
fall,0.889075144376051,0.8142523774667,0.970773477882321,0.00876017895613666,comorbidity,Fall
antihypertensives,1.17691003491165,1.08777901631098,1.27334431856677,5.03683769462787e-05,meds,Antihypertensives
lipid_regulating_drugs,1.13713517397195,1.0638853120981,1.2154283823452,0.000155043734724553,meds,Lipid regulating drugs
proton_pump_inhibitors,1.11440071699009,1.03406978317065,1.20097209902039,0.00454478133431505,meds,Proton pump inhibitors
nsaids,0.94708970252405,0.760542501616554,1.17939352859379,0.627171851274984,meds,NSAIDs
corticosteroids,1.46983876840149,1.33570808461891,1.61743874277171,3.05182407477304e-15,meds,Corticosteroids
other_immunosuppressants,1.44642585469139,1.15391374457365,1.81308851112848,0.00136547358700664,meds,Other immunosuppressants
bmi_z,1.19209865074344,1.14283714467666,1.24348355294874,3.32926143341058e-16,comorbidity,BMI (SD)
smoking_status,1.23544457251655,1.15682032211509,1.31941258515405,2.93707439897321e-10,comorbidity,Smoking status
prop_score_z,0.780153288798629,0.690013613075213,0.882068328059165,7.39718403376366e-05,meds,AT propensity score (sd)
