var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,1.02239338679758,0.950945726793402,1.09920914297828,0.549065267543919,meds,DOACs vs warfarin
age_z,1.93154921311399,1.82640132424292,2.04275057905349,1.43016123720821e-117,dem,Age (SD)
female,0.672805863243637,0.598781045449086,0.755982062317144,2.66950772546265e-11,dem,Female
ethnicity_catBlack or Black British,1.14035278377459,0.829045014925681,1.56855713266552,0.419430548623841,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.22674320376674,0.993619045976618,1.51456324642884,0.0573760139379058,eth 1),Asian or asian british
ethnicity_catMixed,1.79464915788017,1.03234824341733,3.11984412277243,0.0381905266618747,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.8497702771532,1.3071241110823,2.61769333855092,0.000517103297615544,eth 1),Other
region_catNorth West,1.1093344099332,0.926642065091596,1.32804550907171,0.258417934393216,reg 3),North West
region_catEast of England,1.29300646324896,1.11383847345063,1.50099476167689,0.000733781112964248,reg 3),East of England
region_catSouth West,1.03796876542514,0.842685864048405,1.278506266644,0.726014432776376,reg 3),South West
region_catYorkshire and The Humber,0.887743520990376,0.759889271661171,1.0371097322345,0.133427266171555,reg 3),The Humber
region_catWest Midlands,0.559937296155042,0.48674937519401,0.644129795750538,4.87770798997461e-16,reg 3),West Midlands
region_catEast Midlands,0.88830469094655,0.760714314844174,1.03729509036422,0.134361632311197,reg 3),East Midlands
region_catLondon,1.20967244128042,1.05095856403891,1.39235500357858,0.00798773344120949,reg 3),London
region_catNorth East,0.965570889385572,0.793738271226304,1.1746027326973,0.72602924274142,reg 3),North East
imd_decile_cat9,0.90017607793191,0.772859268808351,1.04846639483315,0.176483779884338,imd 2),IMD dec 9
imd_decile_cat8,0.986810269515539,0.84744161408489,1.14909923213162,0.864287558603794,imd 2),IMD dec 8
imd_decile_cat7,0.946180486136635,0.810808339521231,1.10415429727128,0.482521421639381,imd 2),IMD dec 7
imd_decile_cat6,1.05161351344595,0.90563610052623,1.22112069187563,0.509237240531426,imd 2),IMD dec 6
imd_decile_cat5,1.10184990895259,0.94771293272326,1.2810558766674,0.207135364362165,imd 2),IMD dec 5
imd_decile_cat4,1.05910901788492,0.911756524744011,1.23027571651335,0.452454677674318,imd 2),IMD dec 4
imd_decile_cat3,1.1151108507502,0.927762581911932,1.34029139965776,0.24564394963103,imd 2),IMD dec 3
imd_decile_cat2,1.20478515315196,1.03296557266964,1.4051845517988,0.0176391647019667,imd 2),IMD dec 2
imd_decile_cat1,1.19237977417893,1.02087081053705,1.39270269185485,0.0263739137244517,imd 2),IMD dec 1
congestive_heart_failure_chads,1.18562796037866,1.06178880990634,1.32391078839459,0.00248502039222875,comorbidity,Congestive heart failure
hypertension_chads,0.980679870180955,0.892594170438476,1.0774583115479,0.684531597919036,comorbidity,Hypertension
vascular_disease_chads,1.14683088248572,1.05188845417028,1.25034272199556,0.00188793947160118,comorbidity,Vascular disease
diabetes_chads,1.22959074170755,1.14588993300986,1.31940542327805,9.14089286817172e-09,comorbidity,Diabetes
renal_disease_hasbled,1.13951831499052,0.972147488920353,1.33570472073217,0.107084338650651,comorbidity,Renal disease
liver_disease_hasbled,1.07684423173026,0.770904122656449,1.50419937490398,0.664176852521386,comorbidity,Liver disease
alcohol_hasbled,0.859645696046778,0.663631122563305,1.11355645871062,0.252055381996381,comorbidity,Hazardous alcohol use
stroke_hasbled,1.09918280077912,0.971709198643587,1.24337901834742,0.132672668077444,comorbidity,Stroke
bleeding_hasbled,1.00907062086977,0.905270637746757,1.12477249945595,0.870488535624674,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.297641194749551,0.237595731186445,0.372861416194477,5.55415925673536e-26,comorbidity,Uncontrolled hypertension
fall,1.1845142121961,1.01302227456245,1.38503757925815,0.033828671921441,comorbidity,Fall
antihypertensives,0.891310073218571,0.735696485933011,1.07983884905117,0.239856391692937,meds,Antihypertensives
lipid_regulating_drugs,0.931781768677768,0.819017490000043,1.0600717018146,0.283011081438843,meds,Lipid regulating drugs
proton_pump_inhibitors,1.01229899304568,0.887655870544585,1.15444429009703,0.85531612121445,meds,Proton pump inhibitors
nsaids,0.657599420430736,0.412253088213105,1.04895999597049,0.0785203654641306,meds,NSAIDs
corticosteroids,1.27083576200015,1.14017028422478,1.41647572851504,1.49351141907411e-05,meds,Corticosteroids
other_immunosuppressants,1.17881898062393,0.920443896166701,1.50972177105682,0.192489955969331,meds,Other immunosuppressants
bmi_z,1.03878182929549,0.990321378709181,1.08961364671433,0.118532900343891,comorbidity,BMI (SD)
smoking_status,1.22122489059536,1.13699375133198,1.31169606839308,4.22972802155882e-08,comorbidity,Smoking status
prop_score_z,1.00455832503249,0.80985850084524,1.24606635275033,0.966997427894491,meds,AT propensity score (sd)
