var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,0.859324315242068,0.825055470268542,0.895016523587075,2.84176780742991e-13,meds,DOACs vs warfarin
age_z,1.54470450790696,1.50282462027514,1.58775148114835,4.38142509535881e-211,dem*,Age (SD)
female,0.636327414238604,0.590723704705853,0.685451717759001,1.00002207002868e-32,dem*,Female
ethnicity_catBlack or Black British,1.51249772953402,1.27045909708691,1.80064780290135,3.31257846336542e-06,eth**,Black or black british
ethnicity_catAsian or Asian British,1.01403743143193,0.907138666347892,1.13353332901666,0.80625766104975,eth**,Asian or asian british
ethnicity_catMixed,1.21869893241302,0.893549641558917,1.66216516552282,0.211620283601225,eth**,Mixed
ethnicity_catOther Ethnic Groups,1.09953469335024,0.88047114807752,1.37310182681234,0.402576750397766,eth**,Other
region_catNorth West,1.03563480520057,0.92272528995828,1.16236052204803,0.552182117309842,reg****,North West
region_catEast of England,1.03047404509445,0.952599553786363,1.11471473337628,0.454011279772536,reg****,East of England
region_catSouth West,0.758945871298333,0.666174081205794,0.864637114848736,3.37727694835775e-05,reg****,South West
region_catYorkshire and The Humber,0.892677515084215,0.822440018429141,0.968913389524693,0.00662252684130621,reg****,The Humber
region_catWest Midlands,0.479196834283856,0.44674712498598,0.51400354505891,5.91527148665606e-94,reg****,West Midlands
region_catEast Midlands,0.761889855265332,0.703099915496613,0.825595535943461,3.18844753209283e-11,reg****,East Midlands
region_catLondon,1.27492779718628,1.18309293628688,1.37389112738657,1.91515494014678e-10,reg****,London
region_catNorth East,0.816494606440407,0.722020203949469,0.923330730497027,0.00123195644547455,reg****,North East
imd_decile_cat2,0.966950257090083,0.893821689986291,1.04606188254496,0.402245257617526,imd***,IMD dec 2
imd_decile_cat3,0.861227463501984,0.796160881093556,0.931611639686808,0.000193492302326906,imd***,IMD dec 3
imd_decile_cat4,0.856714137381475,0.786670381197628,0.93299446722769,0.000379892668733126,imd***,IMD dec 4
imd_decile_cat5,0.855080328164596,0.783839731572205,0.932795746583969,0.000419658530685216,imd***,IMD dec 5
imd_decile_cat6,0.845674307085511,0.776274069637848,0.921279045167902,0.000124701194018257,imd***,IMD dec 6
imd_decile_cat7,0.815083258714948,0.751996008797849,0.883463091379214,6.54075667759459e-07,imd***,IMD dec 7
imd_decile_cat8,0.809945181536702,0.745915601512517,0.879471076572612,5.25917232308937e-07,imd***,IMD dec 8
imd_decile_cat9,0.735879248963521,0.676467959123546,0.800508378485102,9.29459701600781e-13,imd***,IMD dec 9
imd_decile_cat10,0.812265025727558,0.740325523659565,0.891195090449947,1.11021348564321e-05,imd***,IMD dec 10
congestive_heart_failure_chads,1.30596811070349,1.22333431152521,1.39418365863377,1.2006991317471e-15,comorbidity,Congestive heart failure
hypertension_chads,0.983270821874743,0.923885367704481,1.04647345108672,0.595569392387175,comorbidity,Hypertension
vascular_disease_chads,1.14863643879834,1.08246554576632,1.21885234471949,4.70533992089424e-06,comorbidity,Vascular disease
diabetes_chads,1.23446896323699,1.18576589997154,1.28517241154598,1.10531274842113e-24,comorbidity,Diabetes
liver_disease_hasbled,1.27177791427758,1.04269954432325,1.55118420454858,0.0176630343648348,comorbidity,Liver disease
renal_disease_hasbled,1.22636685788729,1.10511724005612,1.36091956184482,0.000122166781352135,comorbidity,Renal disease
alcohol_hasbled,1.02691097700433,0.884845487597684,1.19178565011958,0.726675394601904,comorbidity,Hazardous alcohol use
stroke_hasbled,0.892579525581216,0.821651748382276,0.969630030064905,0.00714509466520643,comorbidity,Stroke
bleeding_hasbled,1.19349987447334,1.11819528433073,1.27387583396978,1.0400981222397e-07,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.933008371122748,0.848544499954882,1.02587975130522,0.15207978614066,comorbidity,Uncontrolled hypertension
antihypertensives,1.14803610328492,1.01286356684868,1.30124820122247,0.0307772477920067,meds,Antihypertensives
lipid_regulating_drugs,1.11516634597112,1.03072328324225,1.20652749327123,0.0066641718470988,meds,Lipid regulating drugs
proton_pump_inhibitors,1.00888094556815,0.92471144513634,1.1007117600674,0.842320623080956,meds,Proton pump inhibitors
nsaids,0.814680376737128,0.635567161472379,1.04427062389911,0.105663357523446,meds,NSAIDs
corticosteroids,1.61431691131429,1.50383680277715,1.73291349522949,5.11873401338127e-40,meds,Corticosteroids
other_immunosuppressants,1.45155995363523,1.2498450839972,1.68582996883014,1.05308582240553e-06,meds,Other immunosuppressants
bmi_z,1.13335317272379,1.10219347104958,1.16539377873461,1.35955740603557e-18,dem*,BMI (SD)
smoking_status,1.20217211853691,1.15600382800367,1.25018427065531,3.09787744372113e-20,dem*,Smoking status
vaccine_status,0.57333556462235,0.537980187630663,0.611014452239455,8.90887060601396e-66,meds,Vaccine status
prop_score_z,1.07299971632488,0.939932034880147,1.22490600225163,0.296961690038025,meds,AT propensity score (sd)
