var,or,ci_or_lower,ci_or_upper,p,var_group,clean_var
doacs,0.95561086206447,0.916467771709587,0.996425785919479,0.0333569880938032,meds,DOACs vs warfarin
age_z,1.4803763224765,1.43334195949313,1.52895409335818,2.40883072560715e-125,dem,Age (SD)
female,0.642605942662237,0.598850705481686,0.689558171619205,1.01445621656476e-34,dem,Female
ethnicity_catBlack or Black British,1.50404685829109,1.27052302719664,1.78049268176324,2.1250868740271e-06,eth 1),Black or black british
ethnicity_catAsian or Asian British,1.1170436875857,0.996495340867851,1.25217504668748,0.0574715089647802,eth 1),Asian or asian british
ethnicity_catMixed,1.51702231293372,1.11525993015705,2.06351598915123,0.00793302197352056,eth 1),Mixed
ethnicity_catOther Ethnic Groups,1.23226114381565,0.989256906040682,1.53495772158441,0.0623801069550403,eth 1),Other
region_catNorth West,1.15930666906439,1.03527287224289,1.29820068599445,0.0104555389034712,reg 3),North West
region_catEast of England,1.24810165281637,1.1488765331182,1.35589655707825,1.57483986989974e-07,reg 3),East of England
region_catSouth West,0.819790074263894,0.719352619701706,0.934250807538981,0.00288373993195007,reg 3),South West
region_catYorkshire and The Humber,1.00818573718429,0.926532837754955,1.09703449164816,0.849945824783856,reg 3),The Humber
region_catWest Midlands,0.663258042526956,0.617072610546722,0.712900270499659,7.19901672241784e-29,reg 3),West Midlands
region_catEast Midlands,0.875984699780241,0.806485979649345,0.951472454093644,0.00169274331209156,reg 3),East Midlands
region_catLondon,1.46356558197735,1.35752133106402,1.57789359454838,3.24441869499519e-23,reg 3),London
region_catNorth East,0.939403761891513,0.827258310419086,1.06675196458149,0.335182432676317,reg 3),North East
imd_decile_cat9,0.858439801750093,0.785999054402688,0.937556971730395,0.000690279931878672,imd 2),IMD dec 9
imd_decile_cat8,0.989372620041181,0.906493020201251,1.07982980505447,0.810829118758435,imd 2),IMD dec 8
imd_decile_cat7,0.937212282724357,0.856591207898596,1.02542129173171,0.157666098062284,imd 2),IMD dec 7
imd_decile_cat6,0.987240741349259,0.905855610146481,1.07593778794639,0.769871904071085,imd 2),IMD dec 6
imd_decile_cat5,0.993361663983524,0.910769735367556,1.08344333057344,0.88045950074885,imd 2),IMD dec 5
imd_decile_cat4,0.993955348973594,0.911528257293587,1.08383610474844,0.890818950818593,imd 2),IMD dec 4
imd_decile_cat3,0.993885217889661,0.903838412152429,1.09290312633116,0.899271998567772,imd 2),IMD dec 3
imd_decile_cat2,1.11406010339939,1.0192179517716,1.21772768212032,0.0173463421835382,imd 2),IMD dec 2
imd_decile_cat1,1.11597804242459,1.01630293859606,1.22542889907831,0.0215198800716667,imd 2),IMD dec 1
congestive_heart_failure_chads,1.27799761356238,1.194792541724,1.36699706705101,9.24292369526361e-13,comorbidity,Congestive heart failure
hypertension_chads,0.932949329373423,0.877567898347345,0.991825763929454,0.0262266570545768,comorbidity,Hypertension
vascular_disease_chads,1.10655898604227,1.04393665086336,1.17293782968365,0.000657760461882462,comorbidity,Vascular disease
diabetes_chads,1.20218720672559,1.15402475854264,1.25235968233456,1.07433436193469e-18,comorbidity,Diabetes
renal_disease_hasbled,1.23466115432873,1.11417346777396,1.36817848396083,5.73259855684381e-05,comorbidity,Renal disease
liver_disease_hasbled,1.08016464219988,0.883661006158064,1.32036566752172,0.451627048333014,comorbidity,Liver disease
alcohol_hasbled,0.942155312250148,0.812986004141791,1.09184737237661,0.42836308484202,comorbidity,Hazardous alcohol use
stroke_hasbled,0.889644176959247,0.822338013908483,0.962459169114342,0.00357684074955704,comorbidity,Stroke
bleeding_hasbled,1.13815482611254,1.06470841917423,1.2166677607452,0.000143409234566358,comorbidity,Major bleeding event
uncontrolled_hypertension_hasbled,0.879224787477726,0.800719533553741,0.965426962277759,0.00699086082981061,comorbidity,Uncontrolled hypertension
fall,0.956421814516186,0.87048621457107,1.05084109543673,0.353627524767197,comorbidity,Fall
antihypertensives,1.10028952805708,0.978371452972146,1.23740021427887,0.110703162398499,meds,Antihypertensives
lipid_regulating_drugs,1.10733898638989,1.02545025758519,1.19576705131124,0.00929247059229959,meds,Lipid regulating drugs
proton_pump_inhibitors,0.991506737013428,0.911380712411435,1.07867721595935,0.84273766374127,meds,Proton pump inhibitors
nsaids,0.792072397813511,0.615975540608731,1.01851233047021,0.0692196017841512,meds,NSAIDs
corticosteroids,1.55930198309371,1.45427062279498,1.67191899249604,8.90993126306681e-36,meds,Corticosteroids
other_immunosuppressants,1.395670959958,1.20498235134708,1.61653606485812,8.68211699120876e-06,meds,Other immunosuppressants
bmi_z,1.16217061220704,1.13019368409191,1.1950522736843,4.68464844090266e-26,comorbidity,BMI (SD)
smoking_status,1.24847297701847,1.19808743294316,1.30097748418608,4.63630828209883e-26,comorbidity,Smoking status
vaccine_status,0.620026280312275,0.584345407382507,0.657885872672274,2.80265952744901e-56,meds,Vaccine status
prop_score_z,1.11161743809487,0.973730954923,1.26902952240469,0.117347842510821,meds,AT propensity score (sd)
