var,or,ci_or_lower,ci_or_upper,p
ac_only,0.925551120902735,0.882801820163492,0.970370538254737,0.00134326642286555
age_z,1.87433529691535,1.82102576134245,1.92920544005533,0
female,0.669026546881705,0.645763418216699,0.693127711799647,9.14989162825462e-110
ethnicity_catBlack or Black British,1.23610324166827,1.06055215477182,1.44071295050223,0.00668349819063754
ethnicity_catAsian or Asian British,1.11680654802841,0.979528271525202,1.27332400909374,0.0987655163552772
ethnicity_catMixed,1.27488112447589,0.98392328764713,1.65187865959709,0.0661590393373952
ethnicity_catOther Ethnic Groups,1.41349957592069,1.21023161192608,1.65090800094719,1.24946228215835e-05
region_catNorth West,0.918017242666541,0.869600411437565,0.969129782769871,0.00197313779783426
region_catEast of England,1.06117642245571,0.999001486238727,1.12722094520168,0.0539131131843755
region_catSouth West,0.86754791293762,0.802907355630942,0.937392559632213,0.000322551244804383
region_catYorkshire and The Humber,0.890302188681034,0.836953461465135,0.947051447499459,0.000228246176356217
region_catWest Midlands,0.623395040817792,0.588046167405237,0.660868820267998,1.07410999478369e-56
region_catEast Midlands,0.822990968983538,0.772093884064958,0.877243232989368,2.2178919107998e-09
region_catLondon,0.99922080744782,0.939947391695369,1.06223202581136,0.980068166859762
region_catNorth East,0.897387027800381,0.830127721464306,0.970095874215457,0.00645442147947262
imd_decile_cat2,0.95678400593235,0.894394765748701,1.02352525871687,0.199111478826838
imd_decile_cat3,0.977796021450395,0.914294456505637,1.0457080350441,0.512206819770666
imd_decile_cat4,0.92213824528674,0.861158262026879,0.987436317941251,0.020224285031067
imd_decile_cat5,0.912165429643239,0.850507021385695,0.97829382958017,0.0100379883755642
imd_decile_cat6,0.919989966450792,0.857388815280498,0.987161860856831,0.0203769726448491
imd_decile_cat7,0.892007993204795,0.830844369086405,0.957674252298504,0.00161451712942529
imd_decile_cat8,0.878549294803967,0.81928951308348,0.942095377854424,0.000278999665766294
imd_decile_cat9,0.872062446680849,0.812627057247485,0.935844929267941,0.000144113850507496
imd_decile_cat10,0.880571502679541,0.816446259589914,0.949733264404661,0.000977693044628269
congestive_heart_failure_chads,1.17238680847636,1.1133890236871,1.23451084881151,1.56879632831712e-09
hypertension_chads,1.01545758295698,0.978403823342982,1.05391462930063,0.418634405676445
stroke_chads,1.10707077199292,1.06874875774803,1.14676689475971,1.52210598167527e-08
vascular_disease_chads,1.21856646718679,1.09625551730955,1.35452384184699,0.000249435919355299
diabetes_chads,1.16957983327805,1.13035081598198,1.21017030029066,2.27595066877389e-19
liver_disease_hasbled,1.0863408551088,0.92029983189193,1.28233909491477,0.327797541387179
renal_disease_hasbled,1.16773710650354,1.13036064369178,1.20634945803816,9.39223719888584e-21
uncontrolled_hypertension_hasbled,0.653676501278206,0.607306981575807,0.703586458391438,9.88099465389195e-30
antihypertensives,0.900044604904073,0.867186900295094,0.934147287673819,2.85568546687531e-08
lipid_regulating_drugs,0.932301315641933,0.897091745834703,0.968892810778168,0.000358600665044274
proton_pump_inhibitors,1.02719797221754,0.970798461101995,1.08687406954694,0.351666366121648
nsaids,0.818014941857445,0.698267655099029,0.958297925180481,0.0128666566050698
corticosteroids,1.26331150033175,1.20063519764355,1.3292596702169,2.19984115128765e-19
other_immunosuppressants,1.33472348431179,1.18993603738545,1.49712818471128,8.29522182587849e-07
bmi_z,1.01651912826935,0.995101469931822,1.03839776079145,0.131555486209547
smoking_status,1.20380641859384,1.16230096647211,1.2467940191483,3.71343802467023e-25
prop_score_z,1.0310599553896,0.970677289999387,1.09519882927176,0.320516299202771
