var,or,ci_or_lower,ci_or_upper,p
ac_only,1.1131822888144,1.07224616061123,1.15568127324762,2.03514350958733e-08
age_z,1.30896266790945,1.28378261828614,1.33463659779724,1.60153361146869e-162
female,0.731125822725983,0.71234107877758,0.750405928539257,5.94128185660745e-123
ethnicity_catBlack or Black British,1.29959351679199,1.1703567788597,1.44310123151791,9.41220218176528e-07
ethnicity_catAsian or Asian British,0.986010043964269,0.899656114504221,1.08065269731889,0.763201672783163
ethnicity_catMixed,1.05683790479887,0.875479833905844,1.27576480207057,0.564941639504302
ethnicity_catOther Ethnic Groups,1.06830820065723,0.948122792810274,1.20372848353183,0.277865814150884
region_catNorth West,1.00055201877588,0.960791880453124,1.04195753798871,0.9787192453254
region_catEast of England,0.989278259291367,0.944245991487914,1.03645817205366,0.650194734812047
region_catSouth West,0.842994202860926,0.794699966397716,0.894223299490467,1.39331105068481e-08
region_catYorkshire and The Humber,0.907601200921435,0.866761136813039,0.950365567776618,3.67351322521864e-05
region_catWest Midlands,0.59953893215102,0.573738105242345,0.626500014345321,5.13260586900463e-115
region_catEast Midlands,0.819978128338778,0.781542771556897,0.860303690883816,5.36031667525202e-16
region_catLondon,1.1493729189045,1.09897271293541,1.20208453873477,1.16427709113673e-09
region_catNorth East,0.859890649201204,0.81060398457386,0.912174061138352,5.37707144646337e-07
imd_decile_cat2,0.96128399759879,0.915994501198413,1.00881274159456,0.10879783303367
imd_decile_cat3,0.910205678548284,0.866515959657973,0.956098232268628,0.000177698968560689
imd_decile_cat4,0.902196670506477,0.858451968244132,0.948170500369211,4.93459822457016e-05
imd_decile_cat5,0.892177367324037,0.847872465940144,0.938797386093491,1.13253632048709e-05
imd_decile_cat6,0.876320424094599,0.832173689732336,0.922809138477258,5.55839830423389e-07
imd_decile_cat7,0.870021882164017,0.826030193994133,0.916356424919736,1.44455581091367e-07
imd_decile_cat8,0.859689821775692,0.81673034996238,0.904908933161066,7.45596854419437e-09
imd_decile_cat9,0.825701254052123,0.783637470149264,0.870022921202818,7.01080225172859e-13
imd_decile_cat10,0.861133447304167,0.814191726681933,0.910781563806836,1.71722377594541e-07
congestive_heart_failure_chads,1.16902287754572,1.12641145593085,1.21324626186079,1.67559511779151e-16
hypertension_chads,1.02510969687568,0.996974827218912,1.05403853932795,0.0807094143654803
stroke_chads,0.942867012504656,0.917732829325244,0.968689551972423,1.97628453088175e-05
vascular_disease_chads,1.14293084912606,1.05892124185967,1.23360536576821,0.000604189953020795
diabetes_chads,1.15635772290813,1.12773830167526,1.18570343965697,6.492902941888e-30
liver_disease_hasbled,1.16842874598312,1.0422685106617,1.30985990699552,0.00758259531269755
renal_disease_hasbled,1.14178272882728,1.1142095871323,1.17003821803723,2.14525372252681e-26
uncontrolled_hypertension_hasbled,0.982477954655628,0.936400799648205,1.03082241252565,0.470726707068119
antihypertensives,1.05760226247615,1.0288207116997,1.08718898528664,6.94023221022218e-05
lipid_regulating_drugs,1.07831760988494,1.04814295000313,1.10936095862163,1.91924127907168e-07
proton_pump_inhibitors,1.0609943457578,1.01897176045051,1.10474995031492,0.00408586246761262
nsaids,0.949279861909055,0.857151835100074,1.05130995387867,0.31763903146207
corticosteroids,1.3498405254268,1.30087810739073,1.4006457897421,5.0915058446104e-57
other_immunosuppressants,1.26947168343776,1.16655491454387,1.38146806031882,3.17863775858499e-08
bmi_z,1.07018380925899,1.0544840451468,1.08611732047652,2.34835996041257e-19
smoking_status,1.15746793288088,1.12791574719994,1.18779440660654,1.53581928026747e-28
prop_score_z,1.02479312188073,0.980569930913708,1.07101075562807,0.276524351589392
