var,or,ci_or_lower,ci_or_upper,p
any_at,0.922057373643939,0.885347822710224,0.960289028202001,9.04719028966753e-05
age_z,1.86847257705131,1.82474277061289,1.913250364609,0
female,0.671473209198713,0.651518921462211,0.692038643574176,1.2430393358055e-147
ethnicity_catBlack or Black British,1.1121229597666,0.980063777785182,1.26197652201275,0.0994081422223759
ethnicity_catAsian or Asian British,1.09992114357236,1.01144265821154,1.19613950653097,0.0260222807380197
ethnicity_catMixed,1.31323166543605,1.05603328308407,1.63307107335427,0.0142778223222187
ethnicity_catOther Ethnic Groups,1.34159389644919,1.17105852057847,1.53696348334552,2.27043569644655e-05
region_catNorth West,0.915994759826604,0.872663335626647,0.961477772441638,0.000387032559774081
region_catEast of England,1.06132375001873,1.00586617658559,1.11983892944627,0.0297372836706007
region_catSouth West,0.872548214055673,0.815950282523631,0.933072029213613,6.76313647468537e-05
region_catYorkshire and The Humber,0.889316225250052,0.843033152711473,0.938140268801127,1.69532075856214e-05
region_catWest Midlands,0.620208199510364,0.589025280398101,0.653041938165898,1.29002611645094e-73
region_catEast Midlands,0.828196915580908,0.781876216677629,0.877261792016542,1.36870534124678e-10
region_catLondon,1.0024816327544,0.950268460739425,1.05756369439847,0.92763580963778
region_catNorth East,0.897203572512855,0.836407145424932,0.962419145906348,0.00244607489310008
imd_decile_cat2,0.955108898111884,0.899860928428335,1.01374887878038,0.130840454721861
imd_decile_cat3,0.976119827258772,0.920035868113912,1.03562257754252,0.423377692974427
imd_decile_cat4,0.927009715975534,0.872164537590028,0.985303777527569,0.0148599029260856
imd_decile_cat5,0.902551305570737,0.848996077576726,0.959484832382897,0.00101935261374629
imd_decile_cat6,0.898441588215843,0.844927001474615,0.95534559320159,0.000631012127355061
imd_decile_cat7,0.878093312096691,0.825933372228236,0.933547294098037,3.17184181894965e-05
imd_decile_cat8,0.856110197754131,0.804749509549826,0.910748825567615,8.58200300593176e-07
imd_decile_cat9,0.881663811089381,0.828567873368439,0.93816222034353,7.06120957439724e-05
imd_decile_cat10,0.876628575516916,0.820841434004385,0.936207198586314,8.67848408850984e-05
congestive_heart_failure_chads,1.22343679886208,1.17838315703774,1.27021299640143,6.00239292135702e-26
hypertension_chads,1.00244311596369,0.970969978922274,1.03493642703389,0.880823980987562
stroke_chads,1.13530370696822,1.09259060379107,1.17968661142014,8.82876781280637e-11
vascular_disease_chads,1.17172442657112,1.13106841179263,1.21384181319982,1.42220942107064e-18
diabetes_chads,1.17167824365102,1.13652986576999,1.20791362197514,2.07542580643758e-24
liver_disease_hasbled,0.981955799716919,0.847485663944542,1.13776224615971,0.808522181886863
renal_disease_hasbled,1.1740136289358,1.14069738906881,1.20830293304358,9.02860610706164e-28
uncontrolled_hypertension_hasbled,0.656512853579261,0.616194318984525,0.699469491418029,1.028767908804e-38
antihypertensives,0.941866524669236,0.900117329857877,0.985552128445938,0.0096228312559661
lipid_regulating_drugs,0.982373780608533,0.922112320649197,1.04657341976265,0.581916504567824
proton_pump_inhibitors,1.01945186727866,0.987654087341219,1.05227338500235,0.233422450472479
nsaids,0.73677165905355,0.642053204389701,0.845463388194606,1.35531351636868e-05
corticosteroids,1.28983456826096,1.23731992895334,1.34457804691487,3.50892738654731e-33
other_immunosuppressants,1.3325702135818,1.20489643538539,1.47377261810678,2.30703851294742e-08
bmi_z,1.03648110813077,1.01862133040416,1.05465402642388,5.33509736540981e-05
smoking_status,1.2005409865788,1.163494892647,1.23876664140449,2.99877009888665e-30
prop_score_z,0.944642442771189,0.898872124653397,0.992743372733699,0.0246159264908199
