var,or,ci_or_lower,ci_or_upper,p
any_at,1.13712007534964,1.10001720089816,1.17547440595238,3.14738312184364e-14
age_z,1.28162490219308,1.26119182759983,1.30238902122238,3.86851295415579e-201
female,0.743927998428004,0.727319733601102,0.760915511125983,2.01422300292643e-145
ethnicity_catBlack or Black British,1.2714775247004,1.16789096351458,1.38425173781053,3.0341502157123e-08
ethnicity_catAsian or Asian British,0.938210985260897,0.8840474972875,0.995692941346523,0.0355328441238015
ethnicity_catMixed,1.0117753140157,0.8562937330097,1.19548847152425,0.890622709662163
ethnicity_catOther Ethnic Groups,1.08163874785603,0.975376105176878,1.19947820605202,0.136905453016107
region_catNorth West,1.01384801020695,0.977431349381224,1.05162146523263,0.461192749277576
region_catEast of England,0.990572298110061,0.949909516612474,1.03297573150154,0.657821500492459
region_catSouth West,0.837245412634723,0.79454194876028,0.882244017539442,2.92066347348747e-11
region_catYorkshire and The Humber,0.894834994247753,0.859223140945696,0.931922836772133,8.19832429314611e-08
region_catWest Midlands,0.595964301387199,0.572922546952237,0.619932747309982,5.80961356258878e-146
region_catEast Midlands,0.830061824804538,0.794606614090842,0.867099040933821,6.13444921624646e-17
region_catLondon,1.18940913395258,1.14312137244115,1.23757119938081,1.08338139442221e-17
region_catNorth East,0.843715244863223,0.799390327211277,0.890497908447255,6.742831027544e-10
imd_decile_cat2,0.952684706925708,0.912520132857066,0.994617124740509,0.0274148688058779
imd_decile_cat3,0.902266410599401,0.863549248339342,0.942719453767648,4.30779680914996e-06
imd_decile_cat4,0.891059162772703,0.852003315265975,0.931905331041262,4.56067519545996e-07
imd_decile_cat5,0.883354568760597,0.844452710266605,0.924048540153141,6.75811885021561e-08
imd_decile_cat6,0.857862005069193,0.819651522378304,0.897853782551353,4.257829480941e-11
imd_decile_cat7,0.860848825010699,0.822658048038451,0.900812556674416,9.69173963530823e-11
imd_decile_cat8,0.843772817618992,0.805939830414313,0.883381787182173,3.93611602555393e-13
imd_decile_cat9,0.811940508086229,0.774809947764661,0.85085044477457,2.71015725146119e-18
imd_decile_cat10,0.856070344236966,0.814869829269886,0.899353992451321,6.61039948477113e-10
congestive_heart_failure_chads,1.1709615080123,1.13880565432197,1.20402532955705,1.13435157635516e-28
hypertension_chads,1.02572107419433,1.0011072061411,1.05094011469745,0.0404369003213047
stroke_chads,0.931941100137564,0.905221166641883,0.959449741268819,2.04444424457418e-06
vascular_disease_chads,1.07048680473228,1.04228738455242,1.09944916928839,5.70965411226147e-07
diabetes_chads,1.15855621018056,1.13268478615671,1.18501855816596,2.32916192678542e-37
liver_disease_hasbled,1.21306793961652,1.09641536058496,1.34213171305842,0.0001809046279943
renal_disease_hasbled,1.14199790896703,1.11729825147388,1.16724359173093,1.15795493239788e-32
uncontrolled_hypertension_hasbled,0.978191682259774,0.93814764824389,1.01994496179076,0.301169209174909
antihypertensives,1.04905937853791,1.01339275361985,1.08598129971548,0.00665171622494426
lipid_regulating_drugs,1.05175395739579,1.00167547705651,1.10433609710432,0.0426398491199562
proton_pump_inhibitors,1.0338727513108,1.00970427025592,1.05861973390688,0.0057770708327254
nsaids,0.947311220506931,0.865881606830258,1.036398673236,0.237865939525075
corticosteroids,1.36486207425439,1.32367479662676,1.40733092938329,4.38247806093186e-88
other_immunosuppressants,1.26061938709952,1.16974951713279,1.35854831812747,1.29887042272727e-09
bmi_z,1.07460109373441,1.06140863744167,1.08795752165588,3.47452902646527e-30
smoking_status,1.16133911081329,1.13443404378262,1.18888227808073,6.84733724076052e-36
prop_score_z,1.02561905343998,0.987298425399284,1.06542704385831,0.192909775488497
