var,or,ci_or_lower,ci_or_upper,p
doacs,1.00739036772936,0.969817825530043,1.0464185399348,0.704185511222003
age_z,1.87414105584965,1.82059470048278,1.92926228791604,0
female,0.691033388731633,0.641466078997917,0.74443085920912,2.21163224198154e-22
ethnicity_catBlack or Black British,1.25805414262455,1.07798961848916,1.46819616685456,0.00358158981078332
ethnicity_catAsian or Asian British,1.05386133717886,0.941070675954074,1.18017035954759,0.363702141272769
ethnicity_catMixed,1.14832045146408,0.859948187156189,1.5333945450962,0.348582800279872
ethnicity_catOther Ethnic Groups,1.43564755271991,1.19037940963798,1.7314512322231,0.000154842043996947
region_catNorth West,0.882898559805425,0.790502583135236,0.986094016056033,0.0272264551293218
region_catEast of England,1.05617443154219,0.985537697193098,1.13187393340764,0.121747206019094
region_catSouth West,0.905423398014039,0.793141975474911,1.03359997960065,0.14135959749107
region_catYorkshire and The Humber,0.877443492199089,0.812184563034,0.947945968249464,0.000914252304951716
region_catWest Midlands,0.618649735796755,0.578544151546437,0.661535501790783,8.53482462873847e-45
region_catEast Midlands,0.820681787576351,0.761415786771148,0.884560851194892,2.37358974044054e-07
region_catLondon,1.02169178977059,0.954847091404647,1.09321599519044,0.534198396039068
region_catNorth East,0.869418778014216,0.774780377885758,0.975617133756566,0.0173229838990868
imd_decile_cat2,0.951767603637252,0.884692366390811,1.02392832327575,0.184910747978127
imd_decile_cat3,0.975301174726431,0.906687835874923,1.04910680808337,0.501622675000843
imd_decile_cat4,0.899927338274636,0.829327068613835,0.976537779633449,0.0114215636308281
imd_decile_cat5,0.901036467376908,0.829793976716366,0.978395527472675,0.0131500431780553
imd_decile_cat6,0.916278936468179,0.843994473491288,0.994754249920954,0.0370320659738216
imd_decile_cat7,0.875479756897947,0.811448894258378,0.944563249961166,0.000599734070149499
imd_decile_cat8,0.884263611733334,0.818352786269762,0.95548295081863,0.00185703651297838
imd_decile_cat9,0.8626307688478,0.797211338727997,0.933418539367813,0.000240402114012753
imd_decile_cat10,0.867086480266006,0.793990624587877,0.946911639731684,0.00150362760694183
congestive_heart_failure_chads,1.1590362898972,1.0872213379725,1.23559488245864,6.11441767994196e-06
hypertension_chads,1.02285703246534,0.964238576226927,1.08503905014642,0.452923560741519
stroke_chads,1.12315394919699,1.03731117586765,1.21610064843045,0.00419683705713726
vascular_disease_chads,1.19006127332733,1.12982082723965,1.25351365466824,5.19027603705929e-11
diabetes_chads,1.1739120544014,1.130883088162,1.21857822961051,3.90841255170869e-17
liver_disease_hasbled,1.04604669848351,0.869274784212298,1.2587661753007,0.633614887878488
renal_disease_hasbled,1.09677720025985,0.986088399734163,1.21989086103653,0.0887801927235321
uncontrolled_hypertension_hasbled,0.68782196240698,0.623478187785661,0.75880609977655,8.14916941025821e-14
antihypertensives,0.861281380931788,0.763661050093264,0.971380715369957,0.0149721804716611
lipid_regulating_drugs,0.885006232769453,0.818368533576812,0.957070072840557,0.00222399720872003
proton_pump_inhibitors,1.03913838466232,0.957732435486404,1.12746372835354,0.35632949683017
nsaids,0.897410717081494,0.686072751710362,1.17384926470992,0.429503731473446
corticosteroids,1.31384538283419,1.23282686947949,1.40018824437493,4.26537172768278e-17
other_immunosuppressants,1.29843971921463,1.14313278691772,1.47484677522029,5.86657022753061e-05
bmi_z,1.01186777880178,0.984020572738057,1.04050304449254,0.407325777831117
smoking_status,1.20476254399878,1.15989483508275,1.25136585104189,6.58700534921443e-22
prop_score_z,0.931114569340831,0.819236375381886,1.05827129665064,0.274483549778623
