var,or,ci_or_lower,ci_or_upper,p
doacs,0.899646365441738,0.875366809844423,0.924599349381746,3.56050044184905e-14
age_z,1.32929628463905,1.30380905337696,1.3552817475676,1.28363999117339e-182
female,0.716829460630775,0.67816710608885,0.757695958731574,5.65971714156923e-32
ethnicity_catBlack or Black British,1.30243762438548,1.1710843283036,1.44852400840524,1.1065315312746e-06
ethnicity_catAsian or Asian British,0.952282765452924,0.880964997529213,1.0293740022839,0.218308786415688
ethnicity_catMixed,1.04579424997729,0.852215755965569,1.28334357306784,0.668109320737912
ethnicity_catOther Ethnic Groups,1.00905629355496,0.875416981857065,1.16309670096063,0.901017810776547
region_catNorth West,1.03973086517402,0.957838411093823,1.12862489066502,0.351938967240815
region_catEast of England,1.00223420877727,0.950845952206742,1.05639973216712,0.933770191028706
region_catSouth West,0.79107135986366,0.716213141839832,0.873753719163795,3.82344142948986e-06
region_catYorkshire and The Humber,0.933284961807183,0.881427215394852,0.988193698495281,0.0179260576593423
region_catWest Midlands,0.603728713805073,0.574436956117603,0.634514120289482,5.30462797890408e-88
region_catEast Midlands,0.828348355298579,0.783382874575225,0.875894814649758,3.75829143987252e-11
region_catLondon,1.15861766512547,1.10290373396715,1.21714602335436,4.75868946872563e-09
region_catNorth East,0.89223048757097,0.818650897554734,0.972423343489837,0.00941027938826961
imd_decile_cat2,0.961273010580384,0.912728434686784,1.01239948899738,0.135210083226472
imd_decile_cat3,0.901473484531973,0.854996225772727,0.950477228808534,0.000122735010413792
imd_decile_cat4,0.91457146841352,0.862159039195104,0.970170157488516,0.00301981844089722
imd_decile_cat5,0.909078089984562,0.856311388005218,0.965096325082323,0.00178141034034353
imd_decile_cat6,0.90272439436062,0.849965722587731,0.95875787754445,0.000866291165679249
imd_decile_cat7,0.878565351933232,0.831645145174632,0.92813272835914,3.77702424561215e-06
imd_decile_cat8,0.877217096798191,0.829101877411837,0.928124583817352,5.32647810781189e-06
imd_decile_cat9,0.832296209726871,0.785430529238065,0.881958308136698,5.37148517637614e-10
imd_decile_cat10,0.888025693730442,0.832382600413565,0.947388415295594,0.000321940595720553
congestive_heart_failure_chads,1.22195683589538,1.16513179639575,1.28155330874197,1.57775967426143e-16
hypertension_chads,0.995234667341078,0.952341438417621,1.04005979696029,0.831707554528732
stroke_chads,0.91439863882525,0.861544637665312,0.970495124839119,0.00322079863990041
vascular_disease_chads,1.08139013225711,1.03991625341728,1.12451806989289,8.79696320781181e-05
diabetes_chads,1.15163546056148,1.12071157252007,1.18341263402891,2.80926226309196e-24
liver_disease_hasbled,1.20500458050444,1.0613898527618,1.36805155547548,0.00397508513441999
renal_disease_hasbled,1.18003091736392,1.0898286162522,1.27769903007621,4.50081215560508e-05
uncontrolled_hypertension_hasbled,0.934702835554116,0.873397035413781,1.00031183455872,0.0510622834383567
antihypertensives,1.12386776207597,1.02850007552182,1.22807841894694,0.00984894196337102
lipid_regulating_drugs,1.08876615218755,1.02714886796121,1.15407977472849,0.00422111277045756
proton_pump_inhibitors,1.00615157007445,0.946761362226645,1.06926731735481,0.843386924511677
nsaids,0.841171356413911,0.694173613391875,1.01929724380316,0.0775762140023982
corticosteroids,1.34769729597533,1.28628024549809,1.41204687542712,4.57612386014051e-36
other_immunosuppressants,1.28480246153312,1.17135642558818,1.40923576214872,1.07646992816196e-07
bmi_z,1.08869896139302,1.0670139467406,1.11082468243162,1.24398691778487e-16
smoking_status,1.1465580748917,1.11533788021102,1.17865217565339,2.74442107755212e-22
prop_score_z,1.07029554719115,0.973604458989195,1.17658926863021,0.159652872191875
