var,or,ci_or_lower,ci_or_upper,p
ac_only,0.921788596949361,0.868951721358047,0.977838234945804,0.00684907592315812
age_z,2.14259432737813,2.06887007000314,2.21894575124574,0
female,0.616480015941228,0.590519655835352,0.643581642540382,1.27648961094862e-107
ethnicity_catBlack or Black British,1.24490886183337,1.02976073901194,1.50500792616962,0.0236415193900943
ethnicity_catAsian or Asian British,1.08255910017381,0.92346424520864,1.26906289166003,0.327994885675954
ethnicity_catMixed,1.34348728110819,0.974608244486406,1.85198317858539,0.0714009614652974
ethnicity_catOther Ethnic Groups,1.48465597485627,1.21577625974437,1.81300082643486,0.000105929065532109
region_catNorth West,0.908876664711292,0.850043386415011,0.97178191708608,0.00513756733732779
region_catEast of England,1.08434843512775,1.00535480116931,1.16954882733581,0.0358743911629179
region_catSouth West,0.829042996221043,0.754339523242122,0.911144475937205,9.96776847766914e-05
region_catYorkshire and The Humber,0.866829649465788,0.803520423300868,0.935126997900378,0.000221310375634558
region_catWest Midlands,0.572845117939014,0.534237229241257,0.614243094987251,3.3302236571383e-55
region_catEast Midlands,0.799349262290983,0.739379994763395,0.864182487557848,1.81727608613483e-08
region_catLondon,0.985466811357115,0.913673167296807,1.06290178046882,0.704442237960037
region_catNorth East,0.875760384144644,0.795773382729115,0.963787262910062,0.00663243183036894
imd_decile_cat2,0.952832179012147,0.877607871977884,1.03450435023436,0.24952424420028
imd_decile_cat3,0.987554172918718,0.909489109387719,1.0723198709941,0.765641626081707
imd_decile_cat4,0.905511726402855,0.833108939849418,0.984206803495931,0.0195765427584519
imd_decile_cat5,0.900351609020327,0.826773662912774,0.980477555380251,0.0158124487258834
imd_decile_cat6,0.90776152126006,0.832938943286308,0.989305382011814,0.0274576631317022
imd_decile_cat7,0.874337793887907,0.801872250679714,0.953352079676988,0.00234881946566802
imd_decile_cat8,0.854771346289315,0.785130512806301,0.930589300147991,0.000295705829981074
imd_decile_cat9,0.835886467647876,0.767027362282592,0.910927329525205,4.37265620765434e-05
imd_decile_cat10,0.861729585119519,0.785727480213004,0.945083246508002,0.00158344387225739
congestive_heart_failure_chads,1.23896212716681,1.16371200095586,1.31907821805813,2.0496152618068e-11
hypertension_chads,1.01882670204733,0.973631591229087,1.06611972963438,0.420431033166562
stroke_chads,1.11931618096328,1.07168989428552,1.1690589970539,3.75674937200245e-07
vascular_disease_chads,1.24016145909379,1.08877210774217,1.41260088652626,0.00119379026944544
diabetes_chads,1.22017114174984,1.17002163938519,1.2724701535789,1.50046792070624e-20
liver_disease_hasbled,1.09466425841547,0.894553776980065,1.33953918645073,0.379875469129487
renal_disease_hasbled,1.2081009856241,1.16099126094895,1.25712228899377,1.21329078159998e-20
uncontrolled_hypertension_hasbled,0.612034949902089,0.56188574497012,0.666660051896443,2.16635439449446e-29
antihypertensives,0.883080185402556,0.84392069603556,0.92405674788399,7.74869451821062e-08
lipid_regulating_drugs,0.910926894707601,0.86920147821675,0.954655310991901,9.62929111950023e-05
proton_pump_inhibitors,1.02098570564075,0.953322733617236,1.09345112034355,0.55275777564116
nsaids,0.78556258913462,0.654331301144898,0.943113343910217,0.00965405713834901
corticosteroids,1.36946507854911,1.28497885679368,1.4595061945573,3.75275455422769e-22
other_immunosuppressants,1.4150438566356,1.22303019031228,1.63720334302696,3.07282706956349e-06
bmi_z,1.0250993457249,0.999248897663857,1.05161854174905,0.0571314122956569
smoking_status,1.25255970215996,1.20078200758519,1.30657004982127,1.39264020461905e-25
prop_score_z,1.01954016823211,0.946373969324362,1.09836300271536,0.610527834768256
