var,or,ci_or_lower,ci_or_upper,p
ac_only,1.16752554469976,1.10658181977878,1.23182567539287,1.49164458829545e-08
age_z,1.48138735077968,1.44053493680778,1.52339830640489,5.37834984783453e-167
female,0.636038970996713,0.612657318645601,0.66031296830157,5.93655299461043e-124
ethnicity_catBlack or Black British,1.49827552404939,1.26469730082353,1.77499354549403,2.92990551119949e-06
ethnicity_catAsian or Asian British,1.01279901757441,0.886846396023918,1.1566398133866,0.851113995679562
ethnicity_catMixed,1.10024080657299,0.832151939244202,1.45469808500098,0.502576830234161
ethnicity_catOther Ethnic Groups,1.13389227177128,0.942112820139846,1.36471095233772,0.183783979460677
region_catNorth West,1.02363882598391,0.963899672567834,1.08708040461336,0.446341214688081
region_catEast of England,1.01335969728015,0.94594853579572,1.08557478257303,0.705535702360626
region_catSouth West,0.795174474423169,0.731462521393466,0.864435875087081,7.49944798864775e-08
region_catYorkshire and The Humber,0.895202428916534,0.836969486974705,0.957486982751,0.00125594814968291
region_catWest Midlands,0.503707021185246,0.474158576241468,0.535096855576234,1.63851182503534e-109
region_catEast Midlands,0.776981277006254,0.725280568808118,0.832367404810463,6.84109778911141e-13
region_catLondon,1.26649940500738,1.18315674125946,1.35571280367855,1.02776349362105e-11
region_catNorth East,0.804988814558084,0.739044204169202,0.87681763541071,6.54353444334139e-07
imd_decile_cat2,0.963461888245343,0.896226608402103,1.03574118576583,0.31321492488993
imd_decile_cat3,0.864442038609946,0.803706310909025,0.929767538183117,8.88691374578866e-05
imd_decile_cat4,0.848934402056002,0.789001841375635,0.913419438587937,1.16352201751974e-05
imd_decile_cat5,0.83680337144195,0.776452428419038,0.901845183075023,3.08486200235873e-06
imd_decile_cat6,0.811818453973895,0.752551642037255,0.875752792763077,7.04055356610192e-08
imd_decile_cat7,0.80587662883487,0.746931392537359,0.869473618850169,2.56164616949725e-08
imd_decile_cat8,0.786576796097424,0.729915288051965,0.847636796059054,3.10260191301744e-10
imd_decile_cat9,0.73560117732673,0.681989248444193,0.793427599216397,1.81976282301798e-15
imd_decile_cat10,0.788700704063588,0.727004451098597,0.855632726388957,1.11927024983014e-08
congestive_heart_failure_chads,1.26203563503503,1.19534375388792,1.33244846004992,4.40901730275707e-17
hypertension_chads,1.02925352898379,0.988849443765302,1.07130851274163,0.158193722718582
stroke_chads,0.921819499563359,0.886510511869056,0.958534815321802,4.40431784076847e-05
vascular_disease_chads,1.23091669841552,1.09762374099416,1.38039645267315,0.000381046391648361
diabetes_chads,1.25090614295702,1.20519762387265,1.29834821069391,4.54504642853693e-32
liver_disease_hasbled,1.2709487866288,1.06361042342682,1.51870532918331,0.00832380882578303
renal_disease_hasbled,1.21966096169337,1.17681480051441,1.26406709095478,1.38749070163312e-27
uncontrolled_hypertension_hasbled,0.994156584106332,0.927469809075499,1.06563826019,0.868606318700989
antihypertensives,1.07144126754974,1.02942605403115,1.1151712989128,0.000722514602079224
lipid_regulating_drugs,1.11636188464912,1.07168490335169,1.16290138416585,1.2760204542676e-07
proton_pump_inhibitors,1.09676942181839,1.0338349975425,1.16353496205412,0.00218689369421462
nsaids,0.908761954308795,0.787646778669033,1.04850081529523,0.189864812328546
corticosteroids,1.61861799582705,1.52639241132896,1.71641590784256,3.05260074767735e-58
other_immunosuppressants,1.48936213811263,1.29786065589124,1.70911998015703,1.40504157277799e-08
bmi_z,1.11385355413364,1.09029685834569,1.13791921031361,4.7552503448964e-23
smoking_status,1.2272029092306,1.18337242997527,1.272656808859,2.63494803627304e-28
prop_score_z,1.0359521835552,0.970113982811857,1.10625858984338,0.291747779850484
