var,or,ci_or_lower,ci_or_upper,p
any_at,0.909155996667201,0.864413946821017,0.956213894183127,0.000216545098972427
age_z,2.14093255719378,2.07999312096542,2.20365739109984,0
female,0.617107243777574,0.594784799888946,0.640267455378582,2.00163256717148e-145
ethnicity_catBlack or Black British,1.1264853088806,0.96367715916476,1.31679903280438,0.134805915867035
ethnicity_catAsian or Asian British,1.09009611147258,0.985204664332483,1.2061550003448,0.0946826254730352
ethnicity_catMixed,1.39269922092472,1.05811526163451,1.83308113046979,0.0181310551262432
ethnicity_catOther Ethnic Groups,1.40345491678805,1.17893834976828,1.67072833269329,0.000138532292184265
region_catNorth West,0.909647892509347,0.856685480354184,0.965884571785431,0.00197421226078393
region_catEast of England,1.0866631972776,1.01584534205967,1.16241799359279,0.015640796542137
region_catSouth West,0.845624170855482,0.778787101160019,0.918197331812372,6.56637219517567e-05
region_catYorkshire and The Humber,0.871324258406528,0.815762669228671,0.93067014699942,4.18174931807928e-05
region_catWest Midlands,0.568755438633646,0.534681118782949,0.605001257032731,1.12729732061979e-71
region_catEast Midlands,0.806599892825853,0.751719093196853,0.865487378190491,2.25693193358446e-09
region_catLondon,0.993371857089955,0.929507172762216,1.0616245633973,0.844494053574711
region_catNorth East,0.871311343601921,0.799225791463332,0.949898596364573,0.00176865699460539
imd_decile_cat2,0.95001140068265,0.883183147428122,1.02189638021876,0.168219154162081
imd_decile_cat3,0.985731019533361,0.916455604784478,1.06024300336816,0.699086556383452
imd_decile_cat4,0.910628482296403,0.84514651698782,0.981183991297689,0.0139379187832704
imd_decile_cat5,0.890863804913955,0.82665258995973,0.960062701726285,0.00246341271781072
imd_decile_cat6,0.879078253714435,0.815415691756611,0.94771119070429,0.00077898018290966
imd_decile_cat7,0.856176679019002,0.794396854491531,0.922761087926516,4.83142212109486e-05
imd_decile_cat8,0.829894376598537,0.769570113428823,0.894947275487685,1.2819171718744e-06
imd_decile_cat9,0.845231725801451,0.783338236759728,0.912015572297961,1.46663596828842e-05
imd_decile_cat10,0.853251173182501,0.787233316226663,0.924805327125783,0.000112207113650018
congestive_heart_failure_chads,1.29037875211309,1.23206888317471,1.35144824014585,3.2359400457337e-27
hypertension_chads,1.00768931522743,0.969077011791508,1.0478401031785,0.700791931850103
stroke_chads,1.15787837305288,1.10435763882389,1.21399289473959,1.27170879923975e-09
vascular_disease_chads,1.22261716980107,1.1698776880907,1.27773421025916,4.10910550803527e-19
diabetes_chads,1.22322736793714,1.17807903601845,1.27010595038464,8.54359593776885e-26
liver_disease_hasbled,0.986624013275454,0.82490930360033,1.18004117461547,0.882787779109296
renal_disease_hasbled,1.22262627401131,1.18022629863989,1.26654948091348,6.27268183981945e-29
uncontrolled_hypertension_hasbled,0.616922627460388,0.573076234205746,0.66412373355547,9.68810694660041e-38
antihypertensives,0.929832884144925,0.879000173286778,0.98360525823832,0.0112042434123922
lipid_regulating_drugs,0.975061104566345,0.901072733865039,1.05512476618846,0.530493254881966
proton_pump_inhibitors,1.0236761948352,0.984677389832533,1.06421957353007,0.237685720998869
nsaids,0.701696524485769,0.598615783493553,0.822527614627639,1.24191271132956e-05
corticosteroids,1.3968517452285,1.32533417470764,1.47222854083449,1.1735949537374e-35
other_immunosuppressants,1.43457598157472,1.26168598030022,1.63115726024107,3.6371711264146e-08
bmi_z,1.04470775500732,1.0230012493269,1.06687483919552,4.45064443323521e-05
smoking_status,1.24895436907656,1.20253463257524,1.29716598073764,1.26051503155246e-30
prop_score_z,0.934516920331334,0.879244947583551,0.993263454951583,0.0294607519311774
