var,or,ci_or_lower,ci_or_upper,p
any_at,1.19348536699836,1.14053431101678,1.24889475702783,2.18600444526252e-14
age_z,1.44034912335892,1.4075003124336,1.47396457310462,5.49717042906906e-211
female,0.648257062725548,0.627628149820973,0.669564007754313,4.14137519691334e-152
ethnicity_catBlack or Black British,1.41561164025162,1.23189969637153,1.62672035874217,9.55297421040477e-07
ethnicity_catAsian or Asian British,0.931860618048017,0.855572496821984,1.01495105872894,0.105356801937204
ethnicity_catMixed,1.00374200826864,0.786909829729727,1.2803220662642,0.976004089972773
ethnicity_catOther Ethnic Groups,1.14904230380941,0.977776991009721,1.35030608010136,0.0915920372349159
region_catNorth West,1.04519443081651,0.990206444656039,1.10323600104351,0.108924837937994
region_catEast of England,1.0144127452169,0.953934872794951,1.07872481340733,0.648195523440195
region_catSouth West,0.786500727575641,0.730720245698939,0.846539285202552,1.56693896775989e-10
region_catYorkshire and The Humber,0.87714965301594,0.82702988898049,0.930306780973105,1.2628595204461e-05
region_catWest Midlands,0.501606408370473,0.475308737846248,0.529359064717459,3.77302696267557e-139
region_catEast Midlands,0.795685134819641,0.747561790929937,0.846906358048852,6.95685772028052e-13
region_catLondon,1.32446539886791,1.24711731054959,1.40661073177253,5.54322509976526e-20
region_catNorth East,0.781563724780984,0.723478467581713,0.844312420154418,3.97452187589286e-10
imd_decile_cat2,0.953220277743345,0.893726166338797,1.01667482963305,0.145108922148127
imd_decile_cat3,0.852437431346283,0.798921828203652,0.909537765408283,1.39119209826246e-06
imd_decile_cat4,0.842279778498396,0.788505017572105,0.899721890739182,3.41029936979181e-07
imd_decile_cat5,0.825371611404818,0.772620138857523,0.881724747584674,1.23085504296299e-08
imd_decile_cat6,0.791791509260919,0.740836225303576,0.846251536742528,6.03589303923374e-12
imd_decile_cat7,0.790673073289891,0.740061440687144,0.844745955477993,3.43035542465187e-12
imd_decile_cat8,0.768104160409554,0.718610574843517,0.821006567245325,8.25843533956866e-15
imd_decile_cat9,0.720222013915751,0.673249434421259,0.770471867941135,1.46143526025619e-21
imd_decile_cat10,0.787260108483892,0.733023968448493,0.845509158072802,5.10393452521423e-11
congestive_heart_failure_chads,1.2910596788305,1.23849637129801,1.34585383771048,2.03392458487487e-33
hypertension_chads,1.03066053361702,0.995490568507816,1.06707302827387,0.0882271102848531
stroke_chads,0.923860179257074,0.885434142136548,0.963953828070577,0.000258498756490035
vascular_disease_chads,1.12787572660463,1.08333527167645,1.17424742637186,4.80759111551996e-09
diabetes_chads,1.24889674772752,1.20779408149865,1.29139818647648,9.75764689955779e-39
liver_disease_hasbled,1.30876552268338,1.11722553281756,1.53314361608348,0.000859242079522662
renal_disease_hasbled,1.22463393841794,1.18615769036166,1.26435826813867,1.55285258522763e-35
uncontrolled_hypertension_hasbled,0.992037942869724,0.93403271796966,1.05364540359191,0.794827523392859
antihypertensives,1.09346822224593,1.03909821557879,1.15068309726205,0.000595034088201965
lipid_regulating_drugs,1.13584945052834,1.05742374605386,1.2200917362412,0.00048380983863177
proton_pump_inhibitors,1.07304128012949,1.03667293933789,1.11068548736049,6.14322093150549e-05
nsaids,0.867204446079038,0.764846557351876,0.983260686827235,0.0261895305859585
corticosteroids,1.65382531486043,1.57452126632786,1.73712367725091,1.46150258455998e-89
other_immunosuppressants,1.47995732305865,1.31082405025508,1.67091355826796,2.43330245810418e-10
bmi_z,1.12652755922932,1.10636703538684,1.14705545367179,3.0111438921026e-38
smoking_status,1.23665196407363,1.19670463924991,1.27793277479539,7.78207101466023e-37
prop_score_z,0.988996027828944,0.936648895402422,1.04426871996811,0.690047857817528
