var,or,ci_or_lower,ci_or_upper,p
doacs,1.00617555079097,0.960724396283675,1.05377696551237,0.794057398004516
age_z,2.14927057828894,2.07514976606477,2.22603885957517,0
female,0.632887046165241,0.578282993040852,0.692647056932328,2.87033090794064e-23
ethnicity_catBlack or Black British,1.2982021661063,1.07051655343826,1.57431368872362,0.00798901751021368
ethnicity_catAsian or Asian British,1.03884978909351,0.9075548946119,1.18913896085718,0.580346883409904
ethnicity_catMixed,1.19181901731369,0.837742714288845,1.6955475061772,0.329245094129729
ethnicity_catOther Ethnic Groups,1.51226719642251,1.19373136107117,1.91580128323299,0.000609471194313009
region_catNorth West,0.882898180280104,0.772012571592301,1.00971049620883,0.068936179154745
region_catEast of England,1.08642381728048,0.996911012300832,1.18397399185125,0.0588323628902025
region_catSouth West,0.859684029089586,0.732304683376507,1.00922013288795,0.0646319899440193
region_catYorkshire and The Humber,0.86331134766744,0.785703373076787,0.948585062188007,0.00222632575408666
region_catWest Midlands,0.571729406597484,0.527869312137932,0.61923378922035,6.8224607780504e-43
region_catEast Midlands,0.798331266772632,0.728860148297672,0.874424007123111,1.24192476354241e-06
region_catLondon,1.01206901256166,0.931088811099872,1.10009235851258,0.77798798365781
region_catNorth East,0.85974405320127,0.747266452859792,0.989151639533905,0.0346490563209477
imd_decile_cat2,0.950955704227328,0.870118076823267,1.03930348706705,0.267234513751654
imd_decile_cat3,0.982812068484718,0.899050438142304,1.07437749983758,0.702856897720703
imd_decile_cat4,0.886174522993574,0.802527436710731,0.978540108761354,0.0169033582841537
imd_decile_cat5,0.896158440951129,0.810929706300419,0.990344717980327,0.0315357929448482
imd_decile_cat6,0.911874809637729,0.824956137987384,1.0079513687606,0.0710741130989289
imd_decile_cat7,0.857626522845661,0.78212987937888,0.940410630102057,0.00108789846303459
imd_decile_cat8,0.865299646598624,0.787635213231336,0.950622148204782,0.00256678240418773
imd_decile_cat9,0.829485365700758,0.753814620002204,0.912752225354436,0.000127920458632785
imd_decile_cat10,0.85080243225239,0.764527087870642,0.946813775745591,0.00305857301197222
congestive_heart_failure_chads,1.2198745780022,1.12842910991593,1.31873059014483,5.75931972791426e-07
hypertension_chads,1.02147435777637,0.950973965334599,1.09720129217998,0.560365852305702
stroke_chads,1.12810263976102,1.02449227348369,1.24219147257048,0.0141971296817112
vascular_disease_chads,1.23060582972165,1.15382177669078,1.31249967606631,2.74266313482034e-10
diabetes_chads,1.22776006627033,1.17284770245801,1.28524340983828,1.50540277834432e-18
liver_disease_hasbled,1.0637785354198,0.849303437731326,1.33241515593378,0.590454899215277
renal_disease_hasbled,1.14000111525242,1.00204118210715,1.2969552209859,0.046486661058437
uncontrolled_hypertension_hasbled,0.648248724079302,0.577404709468318,0.727784864549154,2.1165789653706e-13
antihypertensives,0.84804555259146,0.733608019375954,0.980334511449218,0.0258468072583201
lipid_regulating_drugs,0.869789087778556,0.791170109775623,0.956220473790657,0.0039003231703928
proton_pump_inhibitors,1.03845081620632,0.940871479708761,1.14615026699861,0.453618554351344
nsaids,0.861545280657027,0.626785559153553,1.18423320349752,0.358533611071257
corticosteroids,1.41686091963955,1.30956812649339,1.53294420121331,4.22301753272482e-18
other_immunosuppressants,1.37294136620026,1.16909998968337,1.61232401989359,0.000110993686305439
bmi_z,1.018903702349,0.985360802116461,1.05358844438568,0.272863019795989
smoking_status,1.25185107177867,1.19619820918101,1.31009317175483,3.62314310146082e-22
prop_score_z,0.937127309816407,0.802469497291013,1.09438127899989,0.411959849934159
