var,or,ci_or_lower,ci_or_upper,p
doacs,0.861326221976691,0.827043518217874,0.897030016344557,5.85816863449345e-13
age_z,1.51570968494595,1.47428743694917,1.55829575119561,3.32244802327809e-190
female,0.630363013805129,0.582342339826476,0.682343532314495,3.54510498695692e-30
ethnicity_catBlack or Black British,1.51672568234941,1.27238958582604,1.80798147133908,3.3539020142763e-06
ethnicity_catAsian or Asian British,0.956734299413435,0.855916841303325,1.06942692970068,0.436271973107308
ethnicity_catMixed,1.06318629326018,0.787705349340204,1.43501005182096,0.688844526865379
ethnicity_catOther Ethnic Groups,1.0830481045428,0.872885932422355,1.34381040315148,0.468563990937077
region_catNorth West,1.05117441645695,0.933925326404451,1.18314347258111,0.408183009799837
region_catEast of England,1.02451600954841,0.947912576429663,1.10730997765053,0.541300873447595
region_catSouth West,0.74954426467274,0.650969472724468,0.863046007906418,6.14205105469292e-05
region_catYorkshire and The Humber,0.916085267914303,0.843053582215942,0.995443511293523,0.0386678241845977
region_catWest Midlands,0.506326461235514,0.47269768955999,0.542347658999385,6.46872635790927e-84
region_catEast Midlands,0.781273038158954,0.721220196212306,0.846326216819422,1.45986861926051e-09
region_catLondon,1.27466235705241,1.18284531661416,1.37360659222732,1.9857085401004e-10
region_catNorth East,0.82623965752609,0.729999894522496,0.93516721959991,0.00252095818606917
imd_decile_cat2,0.961732893055667,0.889726977414688,1.03956627264785,0.325760675576385
imd_decile_cat3,0.853408623820194,0.789017929038486,0.923054156827852,7.48399180811648e-05
imd_decile_cat4,0.856432221655748,0.785340693057068,0.933959180741066,0.00045619801391037
imd_decile_cat5,0.846157048608989,0.775290847602025,0.923500842458294,0.000181632809933463
imd_decile_cat6,0.836358000911959,0.765793982255371,0.9134241348167,7.08099974314094e-05
imd_decile_cat7,0.815056633626265,0.75201902390635,0.883378338711958,6.38373552078025e-07
imd_decile_cat8,0.803385627999229,0.739792264365244,0.872445547709944,1.95986013018436e-07
imd_decile_cat9,0.73602186513055,0.676855643716181,0.800360004351845,7.59111688706063e-13
imd_decile_cat10,0.813783669464666,0.740841222421265,0.893907953073924,1.70256151180306e-05
congestive_heart_failure_chads,1.32336266666712,1.23505640813787,1.4179828030436,1.84060688083032e-15
hypertension_chads,1.00095574188833,0.94004944873286,1.06580818548402,0.976207018257064
stroke_chads,0.900862368566283,0.827573070323887,0.980642116328454,0.0158882518788412
vascular_disease_chads,1.14653605164935,1.08138918110032,1.21560760982844,4.61514294798839e-06
diabetes_chads,1.24648620719484,1.19709268449782,1.29791776764451,1.25776209090379e-26
liver_disease_hasbled,1.32660795379456,1.08684481876386,1.61926397650093,0.00545672858658742
renal_disease_hasbled,1.23767239808136,1.10459451876309,1.38678305835502,0.000238822850002298
uncontrolled_hypertension_hasbled,0.938913238589676,0.852195426898871,1.03445529249897,0.202367095135937
antihypertensives,1.13007558701325,0.995890840521246,1.28234017263873,0.0579445765084191
lipid_regulating_drugs,1.10763855212814,1.01946569536164,1.20343741603323,0.0157146545239685
proton_pump_inhibitors,1.04148323437106,0.955226751532536,1.13552863310808,0.356798080518402
nsaids,0.810808237776058,0.619700733423126,1.06085076713415,0.126205886388875
corticosteroids,1.64103558087864,1.52795587132949,1.76248400116851,4.13750764159711e-42
other_immunosuppressants,1.51490620025855,1.3029143947077,1.76139031459289,6.65710796722786e-08
bmi_z,1.13381194096976,1.10165136435037,1.16691138329746,1.18862445274867e-17
smoking_status,1.21306184342605,1.16672893577293,1.26123471430095,2.45854692774952e-22
prop_score_z,1.05901092389546,0.923907787774165,1.21387020628086,0.410284826887019
