var,or,ci_or_lower,ci_or_upper,p
ac_only,0.922280702312289,0.869440030335386,0.978332793728774,0.00719564051026939
age_z,2.13357734408115,2.06842015973931,2.20078704113485,0
female,0.619065441697053,0.594856739415247,0.644259358110829,9.50109168255486e-123
ethnicity_catBlack or Black British,1.22132856797082,1.02532250471827,1.45480418510029,0.0250812978553227
ethnicity_catAsian or Asian British,1.05299266776182,0.93574491670694,1.18493142582298,0.391269115724085
ethnicity_catMixed,1.33848790987681,0.971269105572744,1.84454532179312,0.0747820985507128
ethnicity_catOther Ethnic Groups,1.48337143919385,1.21476303622194,1.81137453231991,0.000109408611624769
region_catNorth West,0.908422306209971,0.849642930045743,0.971268114212889,0.00489085156899394
region_catEast of England,1.08442428822772,1.00542723406828,1.16962819093314,0.0357095820811754
region_catSouth West,0.82643384184901,0.752552695740469,0.907568199302361,6.6133873804161e-05
region_catYorkshire and The Humber,0.863201499977191,0.801547110258088,0.929598298124927,9.99183884300878e-05
region_catWest Midlands,0.572387612777849,0.533847013283197,0.61371061579345,1.83753379112654e-55
region_catEast Midlands,0.801061015260458,0.741288401127853,0.865653299301307,2.06669486513094e-08
region_catLondon,0.984535770746567,0.912889440233244,1.06180512246026,0.686001249963992
region_catNorth East,0.876540836213384,0.796532862527085,0.964585233950134,0.00696928201877231
imd_decile_cat2,0.95500968160326,0.880025367365071,1.03638318368794,0.269860122120743
imd_decile_cat3,0.989033333807291,0.911032253696975,1.07371273784487,0.792479088494479
imd_decile_cat4,0.906368056599491,0.833960223425596,0.985062633622394,0.0206541495524708
imd_decile_cat5,0.903593923242234,0.83068764975264,0.982898901125378,0.0181849924152726
imd_decile_cat6,0.912478433586496,0.839231968588382,0.992117701570588,0.031927137931172
imd_decile_cat7,0.878744949183751,0.807682823918499,0.956059312948659,0.00266112671779652
imd_decile_cat8,0.857519873549034,0.788365327007959,0.932740581479337,0.000339680699129713
imd_decile_cat9,0.838677197744268,0.770328561525393,0.913090176253308,4.98706597773851e-05
imd_decile_cat10,0.86703685265632,0.793001474397301,0.947984244840814,0.00173061148134906
congestive_heart_failure_chads,1.2544174939159,1.20449445655749,1.30640970614309,7.46209498684632e-28
hypertension_chads,1.01611197561496,0.972181791647713,1.06202724208425,0.478433788557041
stroke_chads,1.11686783280377,1.07022485359246,1.16554362549574,3.81111832786025e-07
vascular_disease_chads,1.20174000959517,1.14558346024807,1.2606493553504,5.21841187265699e-14
diabetes_chads,1.21937965567547,1.16934972531969,1.27155008675332,1.70881319352461e-20
liver_disease_hasbled,1.0834094936109,0.888843823753942,1.32056509757687,0.427639964777345
renal_disease_hasbled,1.20647969800312,1.15982408133063,1.2550121049597,1.07455646206967e-20
uncontrolled_hypertension_hasbled,0.608786379454479,0.560291343213001,0.661478818651669,1.03239261309865e-31
antihypertensives,0.887815295503655,0.852646134213543,0.924435081919734,7.92608732996635e-09
lipid_regulating_drugs,0.905607271283341,0.869130855180732,0.943614560353765,2.28054727792919e-06
proton_pump_inhibitors,1.00603321049952,0.968087190414709,1.04546659706799,0.759125539843277
nsaids,0.772813037243018,0.650917844219114,0.917535132639158,0.00325407326287302
corticosteroids,1.37810025685804,1.29927034527128,1.46171297210332,1.38685026838018e-26
other_immunosuppressants,1.41217609577061,1.2207968519374,1.63355706750149,3.40034261826598e-06
bmi_z,1.02911531403474,1.00810453738549,1.05056399441225,0.0063927750195236
smoking_status,1.25222134247287,1.2004740972827,1.30619918754923,1.53369801767022e-25
