var,or,ci_or_lower,ci_or_upper,p
ac_only,1.1687004232517,1.10772480539966,1.23303249385655,1.1832721428137e-08
age_z,1.47052335552109,1.43511015311388,1.50681042458029,4.63422000543594e-211
female,0.640762477549893,0.61882913300759,0.66347321212953,1.88914438258814e-138
ethnicity_catBlack or Black British,1.44977780464329,1.23777618575817,1.69809025817449,4.13366320532062e-06
ethnicity_catAsian or Asian British,0.965176606384998,0.874966497135946,1.06468748753488,0.478967613600942
ethnicity_catMixed,1.0932917988094,0.827105458015508,1.44514456501323,0.530959565225249
ethnicity_catOther Ethnic Groups,1.13207117635006,0.940630612520983,1.36247442009976,0.189377128498785
region_catNorth West,1.02272811659819,0.963065797451124,1.08608654076262,0.46366995993903
region_catEast of England,1.01348169822298,0.946063977791471,1.08570369102388,0.702984188055144
region_catSouth West,0.790810446944979,0.727904779701996,0.859152433719899,2.86283463796689e-08
region_catYorkshire and The Humber,0.888543446516635,0.831947170673989,0.948989892841455,0.000432909990271625
region_catWest Midlands,0.502990457868989,0.47351178983917,0.534304332302239,3.61227854738629e-110
region_catEast Midlands,0.779944963228166,0.728315787534846,0.835234051048057,1.14101427149153e-12
region_catLondon,1.26442364504073,1.18129692617075,1.35339991048702,1.36097120765212e-11
region_catNorth East,0.80628978810817,0.74028071024142,0.878184739131601,7.78421143158131e-07
imd_decile_cat2,0.967434291955681,0.900286940097831,1.03958978806256,0.367015537410148
imd_decile_cat3,0.866829852222969,0.806071107143202,0.932168373293904,0.000116004912107867
imd_decile_cat4,0.850446479473352,0.790465524473937,0.914978822042815,1.41802999990261e-05
imd_decile_cat5,0.842186965922396,0.782196268013845,0.906778662305016,5.22767653924006e-06
imd_decile_cat6,0.819302869851401,0.760970631237263,0.882106568889977,1.23140462123169e-07
imd_decile_cat7,0.813095256963538,0.755006103764727,0.875653711407107,4.47284034295328e-08
imd_decile_cat8,0.791120678514568,0.734699342539147,0.851874898663056,5.41071170094379e-10
imd_decile_cat9,0.739973732037512,0.686598200157815,0.797498630173611,3.17550518848017e-15
imd_decile_cat10,0.797416769822655,0.736958762670668,0.862834580445252,1.82985975947968e-08
congestive_heart_failure_chads,1.28959951932173,1.24334569799398,1.33757403344705,2.09336817103335e-42
hypertension_chads,1.02442028819588,0.985159887056541,1.0652452872425,0.226247640338514
stroke_chads,0.918161656878291,0.883614389108165,0.954059642478607,1.28101904788978e-05
vascular_disease_chads,1.16284469177588,1.11266098756693,1.21529180253567,2.04299923402867e-11
diabetes_chads,1.24944390827039,1.20386635969464,1.29674699134376,7.41104760618276e-32
liver_disease_hasbled,1.24825076970558,1.04792436276688,1.48687256392874,0.0129752961527388
renal_disease_hasbled,1.21676779536965,1.17434542160436,1.26072264651576,2.32205341203496e-27
uncontrolled_hypertension_hasbled,0.984869625867047,0.920853048482544,1.05333655739522,0.65660252620975
antihypertensives,1.08165133125797,1.04350091066499,1.12119653222589,1.83393254213643e-05
lipid_regulating_drugs,1.10516425924569,1.06578271690485,1.14600098175839,6.61483026221754e-08
proton_pump_inhibitors,1.0685900906316,1.03295634727687,1.10545308599569,0.000126175441733788
nsaids,0.883601075567848,0.773404585292965,1.00949861895234,0.0686281047203388
corticosteroids,1.63663090715099,1.54913748492605,1.7290658526475,3.8788665850042e-69
other_immunosuppressants,1.4842289183789,1.2935752593391,1.70298207719102,1.80685567828022e-08
bmi_z,1.12134573780624,1.10203932384999,1.14099037709782,3.24401468473408e-38
smoking_status,1.22670031985322,1.18289790557015,1.27212472660748,3.27201482255582e-28
