var,or,ci_or_lower,ci_or_upper,p
any_at,0.904902369331452,0.860517102821287,0.95157701728066,9.85031305327009e-05
age_z,2.11638229468818,2.06015576639872,2.17414337805111,0
female,0.623821856088053,0.602054692995267,0.646376006467244,1.699003248826e-149
ethnicity_catBlack or Black British,1.15371458514941,0.988419240127247,1.3466526044304,0.0699361423089077
ethnicity_catAsian or Asian British,1.10163403178684,0.996094352892606,1.21835600861174,0.059591501366056
ethnicity_catMixed,1.41413987480703,1.07476723649193,1.86067412330749,0.0133254342502242
ethnicity_catOther Ethnic Groups,1.4212527175689,1.19432395940873,1.69129930893875,7.47192108721098e-05
region_catNorth West,0.901781277882816,0.849713507138402,0.957039597827068,0.000656657884459571
region_catEast of England,1.08032626888637,1.01013024641236,1.15540035692536,0.0241956410369078
region_catSouth West,0.844213353124156,0.777493517127856,0.916658685754587,5.54025658859229e-05
region_catYorkshire and The Humber,0.870284956857933,0.81479712904875,0.929551515501104,3.57623658339121e-05
region_catWest Midlands,0.567190198409705,0.53323468702325,0.60330794113927,1.82497998871645e-72
region_catEast Midlands,0.796739099652259,0.74318145901983,0.85415639102718,1.55352069743135e-10
region_catLondon,0.998866414547451,0.934821097014701,1.06729952639825,0.973238080171982
region_catNorth East,0.866581682959364,0.795000732474805,0.944607699797916,0.00113205922500074
imd_decile_cat2,0.945129764583534,0.878778465762008,1.01649085259179,0.128625486631893
imd_decile_cat3,0.981699983122296,0.91279591943371,1.05580539564661,0.618886441212774
imd_decile_cat4,0.900703002784356,0.836486035312994,0.969849901823165,0.00558534010676937
imd_decile_cat5,0.886382799468689,0.822611300365542,0.955098072254566,0.00154590826853785
imd_decile_cat6,0.870852151723416,0.808174213447733,0.938391076505623,0.000285064322659161
imd_decile_cat7,0.853339139848193,0.791813171257607,0.919645838222546,3.26781722374758e-05
imd_decile_cat8,0.822301109254115,0.762876521022022,0.886354600839824,3.18522189336999e-07
imd_decile_cat9,0.837295228384101,0.776353143200397,0.903021138788409,4.11123901440489e-06
imd_decile_cat10,0.842034079724364,0.777574591055677,0.911837140221687,2.32326266870934e-05
congestive_heart_failure_chads,1.25027716947758,1.20551422473732,1.29670224410457,3.23872986152247e-33
hypertension_chads,1.00803525914448,0.969408712944599,1.04820089824853,0.688081654831697
stroke_chads,1.12280994412699,1.08054253123709,1.16673072478425,3.28432047439177e-09
vascular_disease_chads,1.20340385213093,1.15424062845632,1.2546611127875,3.31465869541278e-18
diabetes_chads,1.22823413665109,1.18312071206941,1.27506777545666,4.92324963062579e-27
liver_disease_hasbled,1.05092950793599,0.886862335075022,1.24534867134386,0.566246172877996
renal_disease_hasbled,1.21810275454746,1.17605119796464,1.26165793054251,3.54627357603227e-28
uncontrolled_hypertension_hasbled,0.61524100068641,0.571540198005828,0.662283230901906,3.41103788235692e-38
antihypertensives,0.886671174773915,0.854962770897518,0.919555563044737,9.5656620566667e-11
lipid_regulating_drugs,0.902600917232683,0.869616007078566,0.936836959253072,6.85470740667624e-08
proton_pump_inhibitors,1.00311660654634,0.969329682026879,1.03808120703059,0.858717108210352
nsaids,0.75212643790298,0.649971249529423,0.870337232611728,0.000130997827096583
corticosteroids,1.39029225210245,1.3193415657543,1.46505847797724,6.28090502646153e-35
other_immunosuppressants,1.43289353109223,1.26020951712076,1.62924009345442,4.02343827434383e-08
bmi_z,1.03288833338464,1.01412936861138,1.05199429408392,0.000539555564860915
smoking_status,1.24191711258234,1.19617594455102,1.28940739993211,1.09724780022431e-29
