var,or,ci_or_lower,ci_or_upper,p
doacs,0.861637939994118,0.827348874748083,0.897348098603948,6.59520161611197e-13
age_z,1.51040088262921,1.47102402654131,1.55083179138205,1.37319749398549e-205
female,0.649145757428112,0.625378168192943,0.673816637386851,4.0396725672282e-114
ethnicity_catBlack or Black British,1.49944979886566,1.26056325799981,1.78360719706032,4.75770060814414e-06
ethnicity_catAsian or Asian British,0.949809071778254,0.850863978972671,1.06026027088549,0.358909416687972
ethnicity_catMixed,1.04871094648826,0.778355308396875,1.41297250422752,0.754526880465331
ethnicity_catOther Ethnic Groups,1.12255187234517,0.920838992499045,1.36845063726704,0.252658430422591
region_catNorth West,1.00825746444914,0.945424271775398,1.07526657075176,0.802207388259564
region_catEast of England,1.01386760518732,0.941907270221228,1.09132560427826,0.713877959065612
region_catSouth West,0.784849374650894,0.718250860395673,0.857623115899312,8.56410599546908e-08
region_catYorkshire and The Humber,0.899468090109152,0.838044848020451,0.965393256739957,0.0033258825450597
region_catWest Midlands,0.501356495547593,0.469995960842896,0.534809565548126,1.87424611894265e-97
region_catEast Midlands,0.770751987219932,0.716362774469081,0.82927065304831,3.08190157285643e-12
region_catLondon,1.26558726717228,1.17673451753834,1.36114910114073,2.27018018366364e-10
region_catNorth East,0.797741635701421,0.72804912239859,0.874105465899002,1.26735441889671e-06
imd_decile_cat2,0.959195701491335,0.88760479103526,1.03656086926519,0.292502084183343
imd_decile_cat3,0.854937606786005,0.790525532166902,0.924597981666031,8.79730677036312e-05
imd_decile_cat4,0.843648201731602,0.779627374064293,0.912926241384478,2.41677161570899e-05
imd_decile_cat5,0.833274167727415,0.769609635198778,0.902205230866786,6.86568246044901e-06
imd_decile_cat6,0.822956338155448,0.760204095875909,0.890888562932415,1.47240376849786e-06
imd_decile_cat7,0.810929519294223,0.748894511764249,0.878103224062313,2.45142558512394e-07
imd_decile_cat8,0.796008205913585,0.735183409581194,0.86186529187692,1.85114423350914e-08
imd_decile_cat9,0.728807981953097,0.672467287331027,0.789869016033011,1.29514286692146e-14
imd_decile_cat10,0.799856712753866,0.735087239372182,0.870333106970857,2.17871629196398e-07
congestive_heart_failure_chads,1.29207190055653,1.24260777243633,1.34350503291521,6.9636279328601e-38
hypertension_chads,1.02080644601549,0.978919984762222,1.06448516369793,0.335387586524762
stroke_chads,0.929305158296596,0.891514433395845,0.968697807782107,0.000537422833449873
vascular_disease_chads,1.16215259822735,1.10676105175106,1.22031639930744,1.62938222958383e-09
diabetes_chads,1.24987161533123,1.20096544555481,1.300769360678,6.49569447724924e-28
liver_disease_hasbled,1.29569339844149,1.070110622305,1.56882975252475,0.00794783219945258
renal_disease_hasbled,1.1832154676406,1.13878506786337,1.2293793467899,6.98197619332891e-18
uncontrolled_hypertension_hasbled,0.964404625821122,0.896558744359303,1.03738465343933,0.330144399167161
antihypertensives,1.0743682339935,1.03361779821326,1.11672525783671,0.000276964019827352
lipid_regulating_drugs,1.07404934741735,1.03316290145028,1.11655383586492,0.000309132405488421
proton_pump_inhibitors,1.07636335859263,1.03790286019947,1.11624904810278,7.37356035979416e-05
nsaids,0.891087733101509,0.769117229802432,1.03240093618492,0.12468887033302
corticosteroids,1.66909540315986,1.57363786929802,1.77034343110472,3.54696631097581e-65
other_immunosuppressants,1.49962436467158,1.29228747109942,1.74022675713431,9.42997503450924e-08
bmi_z,1.12335065108794,1.10279976618354,1.14428450566942,5.04322512115638e-35
smoking_status,1.21225326957819,1.16598990865571,1.26035223692226,3.15113482944099e-22
